District name	Dist. ID	ISD	County	Authorizing agency	Date opened	Services
Weston Preparatory Academy	82943	Wayne County RESA	Wayne	Oakland University	01 Sep 1998	KG-Part, 1-7, 9-12, SpecEd
White Pine Academy	33906	Ingham ISD	Ingham	Saginaw Valley State University	01 Sep 1999	KG,1-8, GenEd, SpecEd
Will Carleton Charter School Academy	30902	Hillsdale ISD	Hillsdale	Hillsdale ISD	01 Aug 1998	KG-Part,1-12, SpecEd
William C. Abney Academy	41917	Kent County ISD	Kent	Grand Valley State University	01 Aug 1998	KG-Part, 1-5, SpecEd
Windemere Park Charter Academy	33909	Ingham ISD	Ingham	Grand Valley State University	01 Sep 1999	KG-Part,1-8, SpecEd
Windover High School	56901	Midland County ESA	Midland	Midland County ESA	30 Aug 1995	9-12, Alt,SpecEd
Woodland Park Academy	25902	Eaton ISD	Genesee	Central Michigan University	06 Jan 1996	KG-Part, 1-8, SpecEd
Woodland School	28901	Traverse Bay Area ISD	Grand Traverse	Saginaw Valley State University	03 Sep 1996	KG,1-8, GenEd,SpecEd
Woodmont Academy	63919	Oakland ISD	Oakland	Bay Mills Community College	08 Sep 2004	KG-Part, 1-7, SpecEd
Woodward Academy	82913	Wayne County RESA	Wayne	Central Michigan University	03 Sep 1996	KG,1-8, GenEd,PK,SpecEd,OSTime
