CDP name	County	Pop. (2010)	Land ( sq mi )	Water (sq mi)	Coordinates	FIPS code	ANSI code
New Suffolk	Suffolk	349	0.556	0.054	40.996754, -72.477472	3650727	02389544
New Windsor	Orange	8,922	3.762	0.042	41.469830, -74.031832	3650837	02389545
Newfane	Niagara	3,822	5.303	0.000	43.285683, -78.693945	3650221	02389548
Newfield Hamlet	Tompkins	759	1.257	0.001	42.357511, -76.593810	3650257	02389549
Niskayuna	Schenectady	4,859	1.008	0.000	42.816948, -73.897735	3651275	02389554
Niverville	Columbia	1,662	2.874	0.545	42.449226, -73.648775	3651297	02389555
Norfolk	St. Lawrence	1,327	2.702	0.112	44.788637, -74.988027	3651319	02389558
North Amityville	Suffolk	17,862	2.354	0.000	40.700427, -73.411780	3651396	02389559
North Babylon	Suffolk	17,509	3.370	0.053	40.729957, -73.326213	3651440	02389560
North Ballston Spa	Saratoga	1,338	0.824	0.004	43.019756, -73.850346	3651467	02389561
North Bay Shore	Suffolk	18,944	3.252	0.000	40.760039, -73.261772	3651495	02389562
North Bellmore	Nassau	19,941	2.620	0.000	40.690346, -73.539016	3651517	02389564
North Bellport	Suffolk	11,545	4.936	0.000	40.786894, -72.945562	3651528	02389565
North Boston	Erie	2,521	4.074	0.000	42.677320, -78.779633	3651583	02389567
North Creek	Warren	616	1.595	0.051	43.691282, -73.985525	3651847	02631632
North Gates	Monroe	9,512	2.662	0.026	43.171506, -77.706853	3652040	02584279
North Great River	Suffolk	4,001	2.325	0.023	40.756197, -73.163100	3652078	02389570
North Lindenhurst	Suffolk	11,652	1.920	0.000	40.707182, -73.385970	3653198	02389573
North Lynbrook	Nassau	793	0.087	0.000	40.668563, -73.673588	3653231	02389574
North Massapequa	Nassau	17,886	2.995	0.005	40.703007, -73.469122	3653253	02389575
North Merrick	Nassau	12,272	1.719	0.007	40.688369, -73.560577	3653264	02389576
North New Hyde Park	Nassau	14,899	1.973	0.022	40.745779, -73.687778	3653275	02389578
North Patchogue	Suffolk	7,246	1.978	0.052	40.784034, -73.023889	3653319	02389579
North Rose	Wayne	636	1.690	0.000	43.187220, -76.886401	3653462	02631641
North Sea	Suffolk	4,458	11.052	1.041	40.931122, -72.406050	3653561	02389582
North Valley Stream	Nassau	16,628	1.864	0.033	40.684307, -73.708033	3653748	02389586
North Wantagh	Nassau	11,960	1.902	0.009	40.693878, -73.516360	3653792	02389589
Northampton	Suffolk	570	11.551	0.100	40.875817, -72.684606	3651418	02389590
Northeast Ithaca	Tompkins	2,641	1.469	0.004	42.468570, -76.463401	3651915	02389591
Northville	Suffolk	1,340	7.404	0.021	40.975572, -72.630246	3653775	02389592
Northwest Harbor	Suffolk	3,317	14.473	1.580	41.001728, -72.222953	3653852	02389593
Northwest Ithaca	Tompkins	1,413	2.908	0.662	42.471183, -76.542685	3653853	02389595
Noyack	Suffolk	3,568	8.404	0.322	40.978485, -72.346015	3654056	02389596
Oak Beach-Captree	Suffolk	286	2.756	0.920	40.650796, -73.272514	3654112	02584280
Oakdale	Suffolk	7,974	3.417	0.394	40.737986, -73.134420	3654144	02389603
Oceanside	Nassau	32,109	4.944	0.473	40.633020, -73.637701	3654441	02389611
Olcott	Niagara	1,241	4.547	0.744	43.330670, -78.704768	3654540	02389614
Old Bethpage	Nassau	5,523	4.361	0.004	40.750828, -73.458387	3654551	02389615
Old Forge	Herkimer	756	1.786	0.178	43.706412, -74.969214	3654639	02631633
Ontario	Wayne	2,160	3.796	0.000	43.217635, -77.279334	3655002	02631644
Orange Lake	Orange	6,982	6.044	0.656	41.535964, -74.094267	3655189	02389623
Orangeburg	Rockland	4,568	3.073	0.000	41.048736, -73.940835	3655167	02389624
Orient	Suffolk	743	5.122	1.032	41.144799, -72.255347	3655321	02389627
Oxbow	Jefferson	108	0.202	0.000	44.286909, -75.622546	3655937	02584281
Oyster Bay	Nassau	6,707	1.233	0.370	40.868057, -73.531053	3655992	02389634
Palenville	Greene	1,037	3.325	0.009	42.185728, -74.028971	3656132	02389635
Pamelia Center	Jefferson	264	1.041	0.000	44.040937, -75.901631	3656212	02584282
Parc	Clinton	254	1.231	0.000	44.663830, -73.452953	3656291	02389640
Parishville	St. Lawrence	647	3.292	0.067	44.629716, -74.792731	3656363	02627949
Paul Smiths	Franklin	671	0.255	0.135	44.432387, -74.249338	3656770	02631629
Pavilion	Genesee	646	3.312	0.000	42.879399, -78.022039	3656781	02628177
Peach Lake	Putnam	1,629	2.664	0.380	41.366952, -73.576503	3656869	02389652
Pearl River	Rockland	15,876	6.799	0.400	41.061561, -74.007832	3656902	02389653
Peconic	Suffolk	683	3.380	0.126	41.039067, -72.464419	3656968	02389654
Perrysburg	Cattaraugus	401	0.984	0.003	42.458422, -79.001067	3657287	02391059
Peru	Clinton	1,591	1.590	0.000	44.578950, -73.534112	3657364	02389665
Phoenicia	Ulster	309	0.456	0.000	42.083154, -74.314328	3657650	02389666
Pierrepont Manor	Jefferson	228	0.684	0.004	43.738846, -76.062967	3657782	02584283
Piffard	Livingston	220	0.934	0.000	42.831854, -77.858397	3657804	02584284
Pike	Wyoming	371	1.494	0.001	42.553994, -78.147560	3657815	02628178
Pine Bush	Orange	1,780	2.106	0.003	41.609545, -74.296524	3657980	02389671
Pine Hill	Ulster	275	2.078	0.010	42.132857, -74.473801	3658057	02389674
Pine Plains	Dutchess	1,353	2.078	0.224	41.977691, -73.658200	3658145	02389675
Pine Valley	Chemung	813	1.204	0.014	42.230281, -76.848036	3658189	02631234
Plainedge	Nassau	8,817	1.404	0.000	40.724010, -73.476994	3658409	02389678
Plainview	Nassau	26,217	5.733	0.011	40.781700, -73.473035	3658442	02389681
Plattekill	Ulster	1,260	2.550	0.073	41.619772, -74.058675	3658541	02389682
Plattsburgh West	Clinton	1,364	1.774	0.055	44.683099, -73.502531	3658601	02389683
Pleasant Valley	Dutchess	1,145	0.934	0.025	41.746266, -73.826294	3658684	02389687
Plessis	Jefferson	164	0.346	0.000	44.273537, -75.857487	3658739	02584285
Poestenkill	Rensselaer	1,061	5.876	0.066	42.696684, -73.540064	3658794	02389691
Point Lookout	Nassau	1,219	0.226	0.000	40.590326, -73.579456	3658849	02389692
Port Ewen	Ulster	3,546	1.973	0.653	41.904162, -73.977243	3659311	02389694
Port Gibson	Ontario	453	1.171	0.032	43.034372, -77.156819	3659322	02628179
Port Jefferson Station	Suffolk	7,838	2.666	0.000	40.925952, -73.065039	3659377	02389695
Port Washington	Nassau	15,846	4.185	1.429	40.827452, -73.680008	3659520	02389700
Pottersville	Warren	424	2.279	0.047	43.737987, -73.821517	3659619	02631631
Prattsburgh	Steuben	656	1.640	0.000	42.524795, -77.288316	3659708	02631235
Prattsville	Greene	355	4.038	0.000	42.347243, -74.428721	3659740	02628181
Preston-Potter Hollow	Albany	366	10.134	0.000	42.433039, -74.228758	3659831	02389706
Pultneyville	Wayne	698	2.242	0.000	43.273718, -77.172372	3659993	02631637
Putnam Lake	Putnam	3,844	3.841	0.419	41.474832, -73.548908	3660103	02389714
Quiogue	Suffolk	816	1.258	0.430	40.819696, -72.628150	3660411	02389720
Randolph	Cattaraugus	1,286	3.251	0.011	42.162290, -78.979690	3660576	02391086
Ransomville	Niagara	1,419	6.243	0.000	43.238847, -78.911378	3660598	02389726
Rapids	Niagara	1,636	3.644	0.000	43.097626, -78.644065	3660609	02389727
Red Oaks Mill	Dutchess	3,613	2.276	0.031	41.650959, -73.873444	3660983	02389733
Redford	Clinton	477	1.347	0.108	44.606489, -73.808945	3660884	02389734
Redwood	Jefferson	605	2.021	0.534	44.298188, -75.807880	3661016	02389736
Remsenburg-Speonk	Suffolk	2,642	3.602	0.081	40.816233, -72.705765	3661142	02389741
Retsof	Livingston	340	0.451	0.000	42.832436, -77.875748	3661236	02584286
Rhinecliff	Dutchess	425	0.994	0.014	41.924369, -73.941058	3661368	02584287
Ridge	Suffolk	13,336	13.211	0.093	40.901497, -72.885405	3661665	02389750
Rifton	Ulster	456	1.175	0.000	41.828723, -74.038052	3661797	02389751
Ripley	Chautauqua	872	1.372	0.000	42.265687, -79.712302	3661874	02389753
Riverhead	Suffolk	13,299	15.082	0.305	40.949476, -72.675229	3661973	02389757
Riverside	Suffolk	2,911	2.717	0.113	40.906601, -72.674102	3662066	02389759
Rock Hill	Sullivan	1,742	3.657	0.946	41.608746, -74.584322	3663132	02389765
Rocky Point	Suffolk	14,014	11.298	0.000	40.935745, -72.936391	3663319	02389766
Rodman	Jefferson	153	0.116	0.000	43.851246, -75.940557	3663330	02584288
Romulus	Seneca	409	0.609	0.000	42.751799, -76.835069	3663429	02628183
Ronkonkoma	Suffolk	19,082	7.833	0.332	40.803296, -73.126125	3663473	02389770
Roosevelt	Nassau	16,258	1.770	0.010	40.679422, -73.583372	3663506	02389771
Roscoe	Sullivan	541	0.718	0.002	41.933791, -74.916099	3663583	02389773
Rosendale Hamlet	Ulster	1,349	1.904	0.055	41.853172, -74.071420	3663742	02389777
Roslyn Heights	Nassau	6,577	1.476	0.000	40.778751, -73.639597	3663814	02389779
Rotterdam	Schenectady	20,652	6.933	0.006	42.778495, -73.953995	3663924	02389786
Rushford	Allegany	363	0.559	0.000	42.389023, -78.252304	3664155	02628184
Saddle Rock Estates	Nassau	466	0.078	0.000	40.793964, -73.741490	3664441	02389794
Salisbury Mills	Orange	536	0.499	0.005	41.432323, -74.106274	3664859	02584289
Salisbury	Nassau	12,093	1.737	0.024	40.745822, -73.560330	3664842	02389795
Salt Point	Dutchess	190	0.829	0.004	41.807806, -73.788026	3664892	02584290
Sanborn	Niagara	1,645	2.633	0.000	43.145054, -78.877748	3664958	02631646
Sand Ridge	Oswego	849	2.399	0.036	43.258696, -76.243426	3665024	02389801
Saugerties South	Ulster	2,218	0.953	0.210	42.057887, -73.948804	3665310	02390256
Savannah	Wayne	558	1.180	0.000	43.066711, -76.759545	3665332	02631236
Sayville	Suffolk	16,853	5.289	0.065	40.747637, -73.085326	3665409	02390258
Schenevus	Otsego	551	1.029	0.000	42.549673, -74.826932	3665519	02390260
Schroon Lake	Essex	833	2.886	0.799	43.835063, -73.766919	3665640	02631630
Scio	Allegany	609	1.352	0.000	42.173414, -77.979656	3665761	02628186
Scotchtown	Orange	9,212	4.226	0.012	41.474901, -74.368078	3665882	02390264
Scotts Corners	Westchester	711	1.773	0.000	41.188877, -73.556069	3665948	02390266
Scottsburg	Livingston	117	0.164	0.000	42.663823, -77.712307	3665926	02584291
Seaford	Nassau	15,294	2.611	0.054	40.667790, -73.491831	3666058	02390268
Searingtown	Nassau	4,915	0.929	0.000	40.770430, -73.660333	3666102	02390269
Selden	Suffolk	19,851	4.321	0.000	40.870022, -73.046188	3666212	02390271
Seneca Falls	Seneca	6,681	4.414	0.157	42.909180, -76.798951	3666322	02391127
Seneca Knolls	Onondaga	2,011	1.248	0.000	43.119964, -76.287317	3666366	02390275
Setauket-East Setauket	Suffolk	15,477	8.520	0.805	40.928956, -73.102970	3666481	02390276
Shelter Island	Suffolk	1,333	6.549	0.142	41.055701, -72.316976	3666828	02390288
Shelter Island Heights	Suffolk	1,048	5.370	0.279	41.066842, -72.368991	3666850	02390289
Shenorock	Westchester	1,898	0.700	0.029	41.330331, -73.740565	3666872	02390291
Shinnecock Hills	Suffolk	2,188	2.839	0.201	40.888057, -72.455687	3667048	02390295
Shirley	Suffolk	27,854	11.455	0.432	40.795503, -72.873566	3667070	02390296
Shokan	Ulster	1,183	3.891	0.000	41.980915, -74.212963	3667081	02390297
Shrub Oak	Westchester	2,011	1.580	0.027	41.328528, -73.829416	3667279	02390299
Smallwood	Sullivan	580	1.505	0.118	41.662176, -74.821813	3667730	02390307
Smithtown	Suffolk	26,470	11.629	0.485	40.863410, -73.224444	3667851	02390309
Smithville Flats	Chenango	351	1.422	0.000	42.394324, -75.810584	3668088	02628187
Sound Beach	Suffolk	7,612	1.637	0.000	40.957875, -72.972479	3668374	02390313
South Fallsburg	Sullivan	2,870	5.947	0.155	41.725760, -74.635186	3668968	02390314
South Farmingdale	Nassau	14,486	2.218	0.004	40.716625, -73.447915	3669001	02390315
South Hempstead	Nassau	3,243	0.578	0.000	40.681341, -73.623335	3669188	02390317
South Hill	Tompkins	6,673	5.896	0.094	42.411477, -76.493761	3669199	02390318
South Huntington	Suffolk	9,422	3.409	0.000	40.822511, -73.392207	3669254	02390319
South Lima	Livingston	240	0.883	0.000	42.857448, -77.676012	3669364	02584292
South Lockport	Niagara	8,324	5.714	0.014	43.137383, -78.682773	3669386	02390322
South Valley Stream	Nassau	5,962	0.873	0.000	40.655775, -73.718564	3669892	02390326
Southold	Suffolk	5,748	10.465	0.855	41.059912, -72.427282	3669452	02390327
Southport	Chemung	7,238	6.377	0.239	42.064682, -76.822465	3669606	02390328
Spackenkill	Dutchess	4,123	1.775	0.001	41.654009, -73.911367	3670035	02390329
Sparkill	Rockland	1,565	0.529	0.000	41.028908, -73.933288	3670068	02631237
Springs	Suffolk	6,592	8.479	0.757	41.024024, -72.166090	3670387	02390342
Springwater Hamlet	Livingston	549	1.331	0.000	42.634990, -77.596423	3670477	02584293
St. Bonaventure	Cattaraugus	2,044	1.976	0.152	42.079480, -78.474257	3664551	02390344
St. James	Suffolk	13,338	4.559	0.001	40.876403, -73.152102	3664584	02390347
St. Regis Falls	Franklin	464	1.292	0.000	44.676385, -74.530951	3664716	02628185
Staatsburg	Dutchess	377	1.065	0.001	41.853260, -73.922242	3670552	02390350
Stannards	Allegany	798	2.797	0.000	42.074121, -77.912279	3670717	02390353
Star Lake	St. Lawrence	809	4.338	0.426	44.169532, -75.038902	3670849	02390354
Stone Ridge	Ulster	1,173	5.190	0.040	41.846722, -74.154549	3671597	02390357
Stony Brook	Suffolk	13,740	5.815	0.139	40.905957, -73.127374	3671608	02390358
Stony Brook University	Suffolk	9,216	1.697	0.000	40.909852, -73.121451	3671620	02611713
Stony Point	Rockland	12,147	5.442	1.293	41.229379, -73.997646	3671663	02390359
Stottville	Columbia	1,375	4.179	0.030	42.293715, -73.760817	3671718	02390362
Strykersville	Wyoming	647	3.420	0.000	42.708011, -78.448374	3671817	02628188
Sunset Bay	Chautauqua	660	0.661	0.044	42.561440, -79.129749	3672246	02631238
SUNY Oswego	Oswego	3,676	0.324	0.302	43.456254, -76.541875	3672327	02631635
Syosset	Nassau	18,829	4.974	0.000	40.815679, -73.502028	3672554	02390376
Tappan	Rockland	6,613	2.771	0.006	41.025541, -73.951396	3673154	02390377
Terryville	Suffolk	11,849	3.213	0.000	40.908995, -73.049132	3673352	02390382
Thiells	Rockland	5,032	1.827	0.031	41.204501, -74.012618	3673583	02390383
Thornwood	Westchester	3,759	1.107	0.000	41.118687, -73.779372	3673715	02390386
Thousand Island Park	Jefferson	31	0.293	0.000	44.288621, -76.025740	3673726	02584294
Three Mile Bay	Jefferson	227	0.257	0.000	44.083197, -76.197882	3673737	02584295
Ticonderoga	Essex	3,382	4.272	0.079	43.840893, -73.422731	3673880	02390387
Tillson	Ulster	1,586	2.345	0.024	41.830766, -74.072432	3673902	02390389
Titusville	Dutchess	811	0.691	0.001	41.665846, -73.867477	3674017	02584296
Tonawanda	Erie	58,144	17.300	1.336	42.985114, -78.875755	3674183	02390395
Town Line	Erie	2,367	4.622	0.004	42.886773, -78.567244	3675121	02390398
Tribes Hill	Montgomery	1,003	2.276	0.135	42.949103, -74.298921	3675341	02390405
Tuckahoe	Suffolk	1,373	4.140	0.458	40.903533, -72.435547	3675572	02390408
Tuscarora	Livingston	74	0.093	0.000	42.634502, -77.869416	3675726	02584297
Uniondale	Nassau	24,759	2.707	0.000	40.701950, -73.590905	3676089	02390417
University at Buffalo	Erie	6,066	1.373	0.089	42.998382, -78.791705	3676280	02631239
University Gardens	Nassau	4,226	0.533	0.000	40.775173, -73.727963	3676287	02390418
Vails Gate	Orange	3,369	1.061	0.000	41.458600, -74.053695	3676584	02390422
Valhalla	Westchester	3,162	0.830	0.000	41.077677, -73.778055	3676639	02390423
Valley Cottage	Rockland	9,107	4.309	0.023	41.115488, -73.943527	3676661	02390424
Verona	Oneida	852	1.878	0.000	43.136750, -75.571694	3677167	02631639
Verplanck	Westchester	1,729	0.622	0.104	41.256258, -73.959177	3677211	02390432
Village Green	Onondaga	3,891	1.154	0.008	43.133128, -76.313518	3677513	02390435
Viola	Rockland	6,868	2.678	0.001	41.131517, -74.081692	3677574	02390440
Wading River	Suffolk	7,719	9.803	0.039	40.947365, -72.823565	3677772	02390442
Wadsworth	Livingston	190	0.512	0.000	42.821447, -77.893876	3677783	02584298
Wainscott	Suffolk	650	6.728	0.496	40.958148, -72.254084	3677805	02390443
Walker Valley	Ulster	853	2.120	0.010	41.643403, -74.380777	3677948	02390446
Wallkill	Ulster	2,288	3.067	0.000	41.608446, -74.164625	3678003	02390448
Walton Park	Orange	2,669	2.329	0.348	41.310747, -74.225322	3678063	02390449
Wanakah	Erie	3,199	1.204	0.000	42.743635, -78.902497	3678124	02584299
Wantagh	Nassau	18,871	3.830	0.297	40.669351, -73.510255	3678146	02390451
Warrensburg	Warren	3,103	11.028	0.319	43.520351, -73.772583	3678289	02390455
Washington Heights	Orange	1,689	1.486	0.005	41.469563, -74.417415	3678421	02390457
Washington Mills	Oneida	1,183	0.670	0.000	43.047930, -75.281049	3678454	02584300
Watchtower	Ulster	2,381	0.777	0.000	41.637060, -74.263278	3678487	02631240
Water Mill	Suffolk	1,559	10.541	1.483	40.922393, -72.350704	3678575	02390459
Websters Crossing	Livingston	69	0.110	0.000	42.666093, -77.636792	3678982	02584301
West Babylon	Suffolk	43,213	7.767	0.309	40.710855, -73.358402	3679246	02390464
West Bay Shore	Suffolk	4,648	2.193	0.094	40.708702, -73.271913	3679301	02390465
West Chazy	Clinton	529	1.877	0.000	44.817845, -73.511729	3679543	02631628
West Elmira	Chemung	4,967	3.038	0.116	42.087725, -76.843282	3679785	02390468
West End	Otsego	1,940	3.652	0.075	42.476283, -75.092362	3679796	02390469
West Glens Falls	Warren	7,071	4.682	0.131	43.301983, -73.688019	3680082	02390473
West Hempstead	Nassau	18,862	2.656	0.071	40.695816, -73.650454	3680225	02390475
West Hills	Suffolk	5,592	4.926	0.000	40.819860, -73.433914	3680258	02390476
West Hurley	Ulster	1,939	3.787	0.001	42.008400, -74.109377	3680291	02390478
West Islip	Suffolk	28,335	6.329	0.437	40.711167, -73.292969	3680302	02390479
West Nyack	Rockland	3,439	2.940	0.021	41.091140, -73.968833	3680599	02390484
West Point	Orange	6,763	19.749	0.901	41.360729, -74.019749	3680747	02390488
West Sand Lake	Rensselaer	2,660	4.704	0.088	42.637982, -73.594371	3680863	02390489
West Sayville	Suffolk	5,011	2.100	0.007	40.729739, -73.105200	3680885	02390490
West Seneca	Erie	44,711	21.357	0.057	42.837777, -78.751233	3680907	02390491
West Valley	Cattaraugus	518	1.532	0.003	42.402452, -78.606127	3681138	02631242
Westhampton	Suffolk	3,079	12.674	2.191	40.846000, -72.657005	3680170	02390494
Westmere	Albany	7,284	3.171	0.010	42.688229, -73.873543	3680423	02390496
Westmoreland	Oneida	427	0.687	0.000	43.115124, -75.402582	3680522	02584302
Weston Mills	Cattaraugus	1,472	6.669	0.073	42.075229, -78.372585	3680632	02390497
Westport	Essex	518	2.361	0.000	44.183566, -73.438776	3680764	02390498
Westvale	Onondaga	4,963	1.364	0.000	43.039978, -76.217670	3681127	02390499
Wheatley Heights	Suffolk	5,130	1.302	0.000	40.762508, -73.370410	3681419	02390502
Williamson	Wayne	2,495	3.840	0.004	43.223399, -77.184440	3682029	02631643
Willsboro	Essex	753	1.924	0.033	44.363503, -73.393164	3682260	02628191
Wilmington	Essex	937	8.252	0.088	44.386878, -73.817171	3682304	02628192
Windham	Greene	367	1.877	0.000	42.314967, -74.248234	3682469	02390523
Winthrop	St. Lawrence	510	2.777	0.023	44.803639, -74.809951	3682612	02584303
Witherbee	Essex	347	0.734	0.000	44.083720, -73.537060	3682656	02584304
Woodbury	Nassau	8,907	5.009	0.016	40.820348, -73.472077	3682744	02390529
Woodmere	Nassau	17,121	2.551	0.267	40.637358, -73.721186	3682942	02390535
Woodstock	Ulster	2,088	5.916	0.009	42.046044, -74.109455	3683041	02390539
Woodsville	Livingston	80	0.317	0.000	42.579024, -77.733838	3683063	02584305
Worcester	Otsego	1,113	8.563	0.046	42.614104, -74.739844	3683118	02628193
Wyandanch	Suffolk	11,647	4.473	0.003	40.746804, -73.376619	3683294	02390541
Wynantskill	Rensselaer	3,276	2.360	0.003	42.685790, -73.642348	3683349	02390543
Yaphank	Suffolk	5,945	13.649	0.123	40.831652, -72.923760	3683426	02390547
York Hamlet	Livingston	544	2.754	0.000	42.869559, -77.887228	3684035	02584306
Yorkshire	Cattaraugus	1,180	1.845	0.010	42.523366, -78.475521	3684044	02390551
Yorktown Heights	Westchester	1,781	0.914	0.003	41.270326, -73.774314	3684088	02390554
Zena	Ulster	1,031	2.935	0.000	42.020978, -74.085504	3684187	02390555
