Player	Nation	TeBe career	League matches	League goals	Cup matches	Cup goals
André Vilk Category:Articles with hCards	Germany	2003	2	0	0	0
Peter Vogel Category:Articles with hCards	West Germany	1978–1981	67	7	4	0
Thomas Vogel Category:Articles with hCards	Germany	1993–1994	18	3	4	2
Andreas Vogler Category:Articles with hCards	West Germany	1986–1987	30	24	1	0
Dennis Vogler Category:Articles with hCards	Germany	2009, 2012–present	22	5	0	0
Thomas Vogt Category:Articles with hCards	West Germany	1980	1	0	0	0
Dimitrios Voutsis Category:Articles with hCards	Greece	2011	11	0	0	0
Nenad Vučković Category:Articles with hCards	Croatia	2005–2006	32	15	1	0
Ivica Vukadin Category:Articles with hCards	Croatia	2012–present	32	0	0	0
Marco Walker Category:Articles with hCards	Switzerland	1998–2000	55	5	5	1
Jan Walle Category:Articles with hCards	Germany	2000–2004	40	5	0	0
Philipp Wanski Category:Articles with hCards	Germany	2007–2009	51	4	1	0
Jan Wehrmann Category:Articles with hCards	Germany	1993–1994	32	0	5	0
Mark Weidemann Category:Articles with hCards	Germany	2004	4	2	0	0
Jonas Weidner Category:Articles with hCards	Germany	2004, 2005–2007	36	0	1	0
Niclas Weiland Category:Articles with hCards	Germany	1998–2001	53	0	1	0
Gerhard Welz Category:Articles with hCards	West Germany	1977–1979	72	0	6	0
Benny Wendt Category:Articles with hCards	Sweden	1976–1977	30	20	3	2
Martin Wiesner Category:Articles with hCards	West Germany	1985–1986	37	2	1	0
Mike Wiesner Category:Articles with hCards	Germany	2012	9	1	0	0
Benjamin Wilcke Category:Articles with hCards	Germany	2009	2	0	0	0
Manfred Wittke Category:Articles with hCards	West Germany	1974–1975	7	0	2	0
Fabian Wohlgemuth Category:Articles with hCards	Germany	2000–2001	20	0	0	0
Maximilian Wolchow Category:Articles with hCards	Germany	2002, 2004–2005, 2010	42	2	2	0
Fabian Wöpke Category:Articles with hCards	Germany	2009	1	0	0	0
Viktor Yanushevsky Category:Articles with hCards	Belarus	1991–1992	11	1	0	0
Samet Yazıcı Category:Articles with hCards	Turkey	2007	2	0	0	0
Fatih Yiğituşağı Category:Articles with hCards	Turkey	2009–2010	23	5	1	0
Semih Yıldırım Category:Articles with hCards	Turkey	2012	1	0	0	0
Cemal Yıldız Category:Articles with hCards	Turkey	2003–2004	17	0	0	0
Kadir Yılmaz Category:Articles with hCards	Turkey	2003–2007	67	8	0	0
Murat Yılmaz Category:Articles with hCards	Turkey	2007	6	1	0	0
Efkan Yüksel Category:Articles with hCards	Turkey	2012	1	0	0	0
Manuel Zemlin Category:Articles with hCards	Germany	2011	28	3	0	0
Grégory Zidjou Category:Articles with hCards	Germany	2010–2011	6	0	0	0
Jochem Ziegert Category:Articles with hCards	West Germany	1978–1980	86	8	5	1
Igor Žiković Category:Articles with hCards	Croatia	2001	7	0	0	0
Michael Zimmer Category:Articles with hCards	West Germany	1975–1978	47	2	5	0
Niklas Zimmermann Category:Articles with hCards	Germany	2012–present	44	3	0	0
