Townland	s Acre	Barony	Civil parish	Poor law union
Ellistown	467	Offaly East	Rathangan	Edenderry
Elmhall	124	South Salt	Donaghcumper	Celbridge
Elmhall	12	South Salt	Stacumny	Celbridge
Elone	213	Offaly West	Kilrush	Athy
Elverstown Great	248	Naas South	Tipperkevin	Naas
Elverstown Little	161	Naas South	Tipperkevin	Naas
Emlagher	82	Offaly East	Carn	Naas
Eskerhill	137	Offaly West	Harristown	Athy
Fallarees Commons	7	Naas South	Ballymore Eustace	Naas
Fanaghs	409	Ikeathy and Oughterany	Cloncurry	Celbridge
Farranadum	259	Ikeathy and Oughterany	Clonshanbo	Celbridge
Fasagh	199	Offaly West	Ballybrackan	Athy
Fearaun	207	Offaly West	Kilrush	Athy
Fearavolla	74	Carbury	Nurney	Edenderry
Fearmore	65	Offaly West	Ballybrackan	Athy
Feighcullen	720	Offaly East	Feighcullen	Edenderry
Fennor	308	Offaly West	Duneany	Athy
Firmount Demense	169	Clane	Clane	Naas
Firmount East	163	Clane	Clane	Naas
Firmount West	163	Clane	Clane	Naas
Flemingtown North	137	Naas South	Killashee	Naas
Flemingtown South (or Tonaphuca)	448	Naas South	Killashee	Naas
Fleshtown	341	Clane	Killybegs	Naas
Fodeens	241	South Salt	Kill	Naas
Fontstown Lower	352	Narragh and Reban East	Fontstown	Athy
Fontstown Upper	326	Narragh and Reban East	Fontstown	Athy
Forenaghts Great	252	South Salt	Forenaghts	Naas
Forenaghts Little	210	South Salt	Forenaghts	Naas
Forest	315	Narragh and Reban West	Kilberry	Athy
Foxhill	578	Narragh and Reban East	Moone	Athy
Foy	19	Offaly East	Rathangan	Edenderry
Freagh	223	Carbury	Kilmore	Edenderry
Friarstown	170	South Salt	Castledillon	Celbridge
Friarstown	478	Offaly East	Tully	Naas
Furryhill	673	Naas North	Rathmore	Naas
Gaganstown	512	Naas South	Jago	Naas
Gallowshill	306	Narragh and Reban West	St. Michaels	Athy
Gallowshill	106	Gowran	Gowran	Kilkenny
Garrisker	855	Carbury	Ballynadrumny	Edenderry
Garterfarm	124	Kilkea and Moone	Castledermot	Athy
Garvoge	618	Clane	Ballynafagh	Naas
Geraldine	356	Narragh and Reban West	Kilberry	Athy
Gilbinstown	374	Kilcullen	Kilcullen	Naas
Gilltown	932	Clane	Ballynafagh	Naas
Gilltown	1195	Naas South	Gilltown	Naas
Gilltown Common	5	Kilcullen	Kilcullen	Naas
Gingerstown	195	Clane	Carragh	Naas
Glassely	660	Narragh and Reban East	Narraghmore	Athy
Glebe	34	Narragh and Reban East	Timolin	Baltinglass
Glebe	81	North Salt	Straffan	Celbridge
Glebe East	124	Naas South	Tipperkevin	Naas
Glebe North	143	Kilcullen	Kilcullen	Naas
Glebe South	80	Kilcullen	Kilcullen	Naas
Glebe West	127	Naas South	Tipperkevin	Naas
Glenaree	282	Offaly East	Cloncurry	Edenderry
Glenmore	351	Naas South	Tipperkevin	Naas
Globe Island (or Cloncarlin)	359	Offaly West	Monasterevin	Athy
Glowens	273	Kilkea and Moone	Kineagh	Baltinglass
Goatstown	339	Clane	Downings	Naas
Gormanstown	919	Kilcullen	Kilcullen	Naas
Gorteen	87	Offaly West	Ballybrackan	Athy
Gorteen	353	Carbury	Dunfierth	Edenderry
Gorteen Lower	129	Offaly West	Fontstown	Athy
Gorteen Upper	341	Offaly West	Fontstown	Athy
Gorteenoona	69	Offaly West	Monasterevin	Athy
Gorteenvacan	283	Kilkea and Moone	Castledermot	Athy
Gotham	221	Kilkea and Moone	Ballaghmoon	Athy
Goulyduff	375	Narragh and Reban West	Churchtown	Athy
Gragadder	175	Ikeathy and Oughterany	Kilcock	Celbridge
Graigrooth	41	Ikeathy and Oughterany	Cloncurry	Celbridge
Graiguelin	204	North Salt	Taghadoe	Celbridge
Graiguepottle	240	Ikeathy and Oughterany	Balraheen	Celbridge
Graigues	330	Clane	Downings	Naas
Graiguesallagh	393	North Salt	Taghadoe	Celbridge
Graney East	175	Kilkea and Moone	Graney	Baltinglass
Graney West	233	Kilkea and Moone	Graney	Baltinglass
Grange	541	Ikeathy and Oughterany	Cloncurry	Celbridge
Grange Beg	1832	Naas South	Gilltown	Naas
Grange East	107	Carbury	Carrick	Edenderry
Grange More	645	Naas South	Gilltown	Naas
Grange West	200	Carbury	Carrick	Edenderry
Grangebeg	389	Offaly West	Monasterevin	Athy
Grangeclare	162	Offaly East	Grangeclare	Edenderry
Grangeclare East	308	Connell	Kilmeage	Naas
Grangeclare Little	7	Connell	Kilmeage	Naas
Grangecommon	23	Offaly East	Cloncurry	Naas
Grangecommon	1	Offaly East	Dunmurry	Naas
Grangecommon	24	Connell	Feighcullen	Naas
Grangecoor	243	Offaly West	Monasterevin	Athy
Grangeford	124	Kilkea and Moone	Killelan	Baltinglass
Grangehiggin	888	Connell	Rathernan	Naas
Grangelcalre West	369	Connell	Kilmeage	Naas
Grangemellon	924	Kilkea and Moone	Tankardstown	Athy
Grangemore	148	Naas South	Brannockstown	Naas
Grangerosnolvan	153	Kilkea and Moone	Grangerosnolvan	Athy
Grangerosnolvan Lower	749	Kilkea and Moone	Grangerosnolvan	Athy
Grangerosnolvan Upper	519	Kilkea and Moone	Grangerosnolvan	Athy
Graysland	2	Narragh and Reban West	St. John's	Athy
Graysland	53	Narragh and Reban West	St. Michaels	Athy
Greatconnell	1312	Connell	Greatconnell	Naas
Greatrath	230	Offaly West	Kilrush	Athy
Greenfield	197	North Salt	Laraghbryan	Celbridge
Greenhall Lower	100	Naas South	Tipperkevin	Naas
Greenhall Upper	77	Naas South	Tipperkevin	Naas
Greenhills	419	Connell	Kildare	Naas
Greenhills	199	South Salt	Kill	Naas
Greenmount	122	Naas North	Rathmore	Naas
Greyabbey	169	Offaly East	Kildare	Naas
Griffinrath	472	North Salt	Laraghbryan	Celbridge
Guidensown North	182	Offaly East	Rathangan	Naas
Guidenstown South	273	Offaly East	Rathangan	Naas
Haggard	536	Carbury	Carbury	Edenderry
Halfmiletown	22	Kilkea and Moone	Castledermot	Athy
Hallahoise	895	Kilkea and Moone	Killelan	Athy
Halverstown	363	Clane	Carragh	Naas
Halverstown	340	Kilcullen	Kilcullen	Naas
Harristown	618	Naas South	Carnalway	Naas
Harristown Common	181	Naas South	Carnalway	Naas
Harristown Lower	258	Offaly West	Harristown	Athy
Harristown Upper	203	Offaly West	Harristown	Athy
Hartwell Lower	261	South Salt	Kill	Naas
Hartwell Upper	230	South Salt	Kill	Naas
Hawkfield	723	Connell	Morristownbiller	Naas
Haynestown	255	South Salt	Haynestown	Naas
Heath	197	Kilkea and Moone	Tankardstown	Athy
Hempstown Commons	238	Naas North	Rathmore	Naas
Herbertstown	493	Connell	Greatconnell	Naas
Hillfarm	238	Offaly West	Kilrush	Athy
Hillsborough	254	Connell	Greatconnell	Naas
Hobartstown East	287	Kilkea and Moone	Castledermot	Athy
Hobartstown West	422	Kilkea and Moone	Castledermot	Athy
Hodgestown	239	Ikeathy and Oughterany	Clonshanbo	Celbridge
Hodgestown	151	Ikeathy and Oughterany	Kilcock	Celbridge
Hodgestown	628	Clane	Timahoe	Naas
Hoganswood	95	Clane	Clane	Naas
Hoganswood East	6	Clane	Clane	Naas
Horsepasstown	77	Naas South	Ballymore Eustace	Naas
Hortland	1409	Ikeathy and Oughterany	Scullogestown	Celbridge
Hughstown	752	Kilkea and Moone	Killelan	Baltinglass
Huttonread	233	South Salt	Oughterard	Naas
Hybla (or Ballyneage)	641	Offaly West	Duneany	Athy
Inch	598	Narragh and Reban East	Moone	Athy
Inchanearl	67	Offaly East	Rathangan	Edenderry
Inchaquire	686	Narragh and Reban East	Narraghmore	Athy
Irishtown	517	Kilkea and Moone	Moone	Athy
Irishtown Lower	229	North Salt	Straffan	Celbridge
Irishtown Upper	274	North Salt	Straffan	Celbridge
Ironhills	720	Offaly West	Kilrush	Athy
Jarretstown	47	North Salt	Confey	Celbridge
Jerusalem	288	Kilkea and Moone	Painestown	Athy
Jigginstown	1038	Naas North	Naas	Naas
Johninstown	224	North Salt	Taghadoe	Celbridge
Johnstown	409	Carbury	Cadamstown	Edenderry
Johnstown	178	Naas South	Carnalway	Naas
Johnstown	145	Naas North	Johnstown	Naas
Johnstown North	424	Kilkea and Moone	Castledermot	Athy
Johnstown South	319	Kilkea and Moone	Castledermot	Athy
Kealstown	326	North Salt	Taghadoe	Celbridge
Kearneystown Lower	72	South Salt	Lyons	Celbridge
Kearneystown Upper	79	South Salt	Lyons	Celbridge
Keeloge	137	Offaly East	Rathangan	Naas
Keeloges	133	Naas North	Whitechurch	Naas
Kellystown	212	North Salt	Laraghbryan	Celbridge
Kennycourt	733	Naas South	Gilltown	Naas
Kerdiffstown	703	Naas North	Kerdiffstown	Naas
Kilbeg	83	Offaly West	Ballybrackan	Athy
Kilbelin	288	Connell	Greatconnell	Naas
Kilberry	1497	Narragh and Reban West	Kilberry	Athy
Kilboggan	171	Offaly West	Kilrush	Athy
Kilbride	206	Ikeathy and Oughterany	Cloncurry	Celbridge
Kilbrook	406	Ikeathy and Oughterany	Cloncurry	Celbridge
Kilcock	378	Ikeathy and Oughterany	Kilcock	Celbridge
Kilcoo	287	Narragh and Reban West	Churchtown	Athy
Kilcrow	357	Narragh and Reban West	Churchtown	Athy
Kilcullenbridge	136	Naas South	Carnalway	Naas
Kilcullenbridge	201	Kilcullen	Kilcullen	Naas
Kildangan	988	Offaly West	Kildangan	Athy
Kildare	761	Offaly East	Kildare	Naas
Kildoon	410	Offaly West	Nurney	Athy
Kilglass	443	Carbury	Kilrainy	Edenderry
Kilgowan	696	Kilcullen	Kilcullen	Naas
Kilkea Lower	438	Kilkea and Moone	Kilkea	Athy
Kilkea Upper	532	Kilkea and Moone	Kilkea	Athy
Kilkeaskin	990	Carbury	Kilpatrick	Edenderry
Kill	262	Offaly West	Monasterevin	Athy
Kill East	181	South Salt	Kill	Naas
Kill West	378	South Salt	Kill	Naas
Killadoon	449	North Salt	Killadoon	Celbridge
Killashee	400	Naas South	Killashee	Naas
Killashee	14	Naas North	Killashee	Naas
Killeagh	294	Connell	Kilmeage	Naas
Killeagh Common	1	Offaly East	Grangeclare	Naas
Killeagh Common	4	Offaly East	Kildare	Naas
Killeagh Common	3	Offaly East	Rathangan	Naas
Killeen	542	Narragh and Reban East	Narraghmore	Athy
Killeen East	145	Offaly West	Ballybrackan	Athy
Killeen West	205	Offaly West	Ballybrackan	Athy
Killeenbeg	82	South Salt	Kill	Naas
Killeenlea	107	North Salt	Killadoon	Celbridge
Killeenmore	363	Naas North	Whitechurch	Naas
Killeighter	298	Ikeathy and Oughterany	Cloncurry	Celbridge
Killelan	48	Kilkea and Moone	Killelan	Baltinglass
Killhill	223	South Salt	Kill	Naas
Killickaweeny	495	Ikeathy and Oughterany	Cloncurry	Celbridge
Killinagh	494	Carbury	Nurney	Edenderry
Killinagh Lower	651	Carbury	Kilpatrick	Edenderry
Killinagh Upper	507	Carbury	Kilpatrick	Edenderry
Killinane	474	Kilcullen	Kilcullen	Naas
Killinthomas	1040	Offaly East	Rathangan	Edenderry
Killybegs	219	Clane	Killybegs	Naas
Killybegs Demesne	274	Clane	Killybegs	Naas
Killyguire	624	Offaly East	Rathangan	Edenderry
Killyon	270	Carbury	Dunfierth	Edenderry
Kilmacredock Lower	209	North Salt	Kilmacredock	Celbridge
Kilmacredock Upper	269	North Salt	Kilmacredock	Celbridge
Kilmagorroge	216	Ikeathy and Oughterany	Cloncurry	Celbridge
Kilmalum	458	Naas South	Tipperkevin	Naas
Kilmead	487	Narragh and Reban East	Narraghmore	Athy
Kilmeage	571	Connell	Kilmeage	Naas
Kilmeage Little	6	Connell	Kilmeage	Naas
Kilmoney North	612	Offaly East	Rathangan	Edenderry
Kilmoney South	453	Offaly East	Rathangan	Naas
Kilmore	711	Carbury	Cadamstown	Edenderry
Kilmore	127	Carbury	Kilmore	Edenderry
Kilmorebrannagh	342	Carbury	Cadamstown	Edenderry
Kilmurry	223	Ikeathy and Oughterany	Donadea	Celbridge
Kilmurry	1010	Carbury	Dunfierth	Edenderry
Kilmurry	426	Clane	Clane	Naas
Kilnabooley	130	Offaly East	Rathangan	Edenderry
Kilnagornan	254	Offaly East	Kildare	Naas
Kilnamoragh South	426	Ikeathy and Oughterany	Donadea	Celbridge
Kilnamorogh North	158	Ikeathy and Oughterany	Donadea	Celbridge
Kilpatrick	130	Offaly West	Ballybrackan	Athy
Kilpatrick	394	Carbury	Kilpatrick	Edenderry
Kilrainy	523	Carbury	Kilrainy	Edenderry
Kilrathmurry	756	Carbury	Kilrainy	Edenderry
Kilrush	212	Offaly West	Kilrush	Athy
Kilshanchoe	252	Carbury	Dunfierth	Edenderry
Kiltaghan North	306	Offaly East	Rathangan	Edenderry
Kiltaghan South	249	Offaly East	Rathangan	Edenderry
Kilteel Lower	259	South Salt	Kilteel	Naas
Kilteel Upper	210	South Salt	Kilteel	Naas
Kilwarden	364	South Salt	Kilteel	Naas
Kilwoghan	110	North Salt	Kildrought	Celbridge
Kimmeens	17	Naas South	Ballymore Eustace	Naas
Kineagh	442	Kilcullen	Kilcullen	Naas
Kingsbog (or Common)	663	Offaly East	Kildare	Naas
Kingsland	108	Narragh and Reban East	Usk	Naas
Kinnafad	626	Carbury	Carrick	Edenderry
Kishawanny Lower	263	Carbury	Kilmore	Edenderry
Kishawanny Upper	333	Carbury	Kilmore	Edenderry
Knavinstown	618	Offaly West	Knavinstown	Athy
Knockanally	511	Ikeathy and Oughterany	Scullogestown	Celbridge
Knockaphuca	82	Kilkea and Moone	Castledermot	Athy
Knockatippaun	140	Naas South	Brannockstown	Naas
Knockaulin	300	Kilcullen	Kilcullen	Naas
Knockbane	113	Kilkea and Moone	Castledermot	Carlow
Knockbounce	158	Kilcullen	Kilcullen	Naas
Knockcor	547	Carbury	Mylerstown	Edenderry
Knockfield	404	Kilkea and Moone	Graney	Baltinglass
Knocknacree	47	Kilkea and Moone	Castledermot	Athy
Knocknacree	271	Kilkea and Moone	Graney	Athy
Knocknagalliagh	285	Offaly East	Kildare	Edenderry
Knocknagee	479	Kilkea and Moone	Ballaghmoon	Athy
Knockpatrick	422	Kilkea and Moone	Graney	Baltinglass
Knockroe	299	Kilkea and Moone	Dunmanoge	Athy
Knockroe	325	Kilkea and Moone	Graney	Baltinglass
Knockshanagh	388	Kilkea and Moone	Graney	Baltinglass
Knockshough Glebe	125	Offaly East	Kildare	Naas
Lackagh Beg	503	Offaly West	Lackagh	Athy
Lackagh More	486	Offaly West	Lackagh	Athy
Lackaghbog	21	Offaly West	Lackagh	Athy
Ladycastle Lower	402	Naas North	Whitechurch	Naas
Ladycastle Lower	402	Naas North	Whitechurch	Naas
Ladycastle Upper	315	Naas North	Whitechurch	Naas
Ladycastle Upper	315	Naas North	Whitechurch	Naas
Ladyhill	155	Naas North	Bodenstown	Naas
Ladyhill	155	Naas North	Bodenstown	Naas
Ladytown	1147	Connell	Ladytown	Naas
Landenstown	568	Clane	Brideschurch	Naas
Laragh	188	Ikeathy and Oughterany	Kilcock	Celbridge
Laragh Demesne	639	Ikeathy and Oughterany	Kilcock	Celbridge
Laraghbryan East	273	North Salt	Laraghbryan	Celbridge
Laraghbryan West	119	North Salt	Laraghbryan	Celbridge
Larch Hill	119	Offaly West	Ballybrackan	Athy
Lattensbog	194	Connell	Oldconnell	Naas
Leinsterlodge	290	Kilkea and Moone	Tankardstown	Athy
Leixlip	604	North Salt	Leixlip	Celbridge
Leixlip Demsne	286	North Salt	Leixlip	Celbridge
Lenagorra	184	Offaly West	Harristown	Athy
Levitstown	653	Kilkea and Moone	Dunmanoge	Athy
Levitstown	384	Kilkea and Moone	Tankardstown	Athy
Lewistown	523	Connell	Ladytown	Naas
Lipstown	198	Narragh and Reban East	Narraghmore	Athy
Lipstown Lower	409	Narragh and Reban East	Davidstown	Athy
Lipstown Upper	216	Narragh and Reban East	Davidstown	Athy
Lisbush	123	Kilkea and Moone	Ballaghmoon	Athy
Littleconnell	376	Connell	Oldconnell	Naas
Littlerath	170	Naas North	Bodenstown	Naas
Littletown	175	Connell	Kilmeage	Naas
Lodgefarm	720	Kilkea and Moone	Kilkea	Athy
Lodgepark	233	North Salt	Straffan	Celbridge
Logstown	170	Naas South	Carnalway	Naas
Longstone	170	Naas South	Ballymore Eustace	Naas
Longtown	64	North Salt	Straffan	Celbridge
Longtown Demesne	326	Clane	Killybegs	Naas
Longtown North	124	Clane	Killybegs	Naas
Longtown South	305	Clane	Killybegs	Naas
Loughabor	276	Offaly West	Fontstown	Athy
Loughandys	105	Offaly East	Kildare	Naas
Loughanure Commons	108	Clane	Clane	Naas
Loughbollard Commons	32	Clane	Clane	Naas
Loughbrown	186	Offaly East	Pollardstown	Naas
Loughlinstown	248	South Salt	Donaghcumper	Celbridge
Loughlion	78	Offaly East	Kildare	Naas
Loughminane	101	Offaly East	Kildare	Naas
Loughnacush	189	Carbury	Ardkill	Edenderry
Loughtown	235	Ikeathy and Oughterany	Clonshanbo	Celbridge
Lowtown	743	Narragh and Reban West	Kilberry	Athy
Lowtown	504	Connell	Kilmeage	Naas
Lugadoo	91	Ikeathy and Oughterany	Cloncurry	Celbridge
Lugadowden	78	Naas South	Tipperkevin	Naas
Lughil	275	Offaly West	Ballybrackan	Athy
Lullybeg	2203	Offaly East	Cloncurry	Edenderry
Lullymore East	1090	Offaly East	Lullymore	Edenderry
Lullymore West	1566	Offaly East	Lullymore	Edenderry
Lynamsgarden	125	Narragh and Reban East	Narraghmore	Athy
Lyons	540	South Salt	Lyons	Celbridge
Maddenstown Demesne	200	Offaly East	Ballysax	Naas
Maddenstown Middle	392	Offaly East	Ballysax	Naas
Maddenstown North	368	Offaly East	Ballysax	Naas
Maddenstown South	662	Offaly East	Ballysax	Naas
Maganey Lower	246	Kilkea and Moone	Dunmanoge	Athy
Maganey Upper	14	Kilkea and Moone	Dunmanoge	Athy
Mainham	172	Ikeathy and Oughterany	Mainham	Celbridge
Mariavilla	297	North Salt	Laraghbryan	Celbridge
Marshalstown	353	Kilkea and Moone	Killelan	Baltinglass
Martinstown	53	Offaly East	Ballysax	Athy
Martinstown	374	Offaly East	Ballyshannon	Athy
Martinstown	274	Offaly East	Carn	Athy
Martinstown	150	Offaly East	Tully	Athy
Martinstown	315	Carbury	Cadamstown	Edenderry
Maudlings	361	Naas North	Naas	Naas
Maws	527	North Salt	Laraghbryan	Celbridge
Mayfield (or Ballynagalliagh)	303	Offaly West	Duneany	Athy
Maynooth	483	North Salt	Laraghbryan	Celbridge
Maynooth South	36	North Salt	Laraghbryan	Celbridge
Merville (or Brewel East)	418	Narragh and Reban East	Usk	Naas
Milemill	7	Naas South	Gilltown	Naas
Millfarm	193	Offaly West	Kilrush	Athy
Millfarm	23	Offaly West	Lackagh	Athy
Millicent Demesne	247	Clane	Clane	Naas
Millicent North	97	Clane	Clane	Naas
Millicent South	325	Clane	Clane	Naas
Milltown	460	Narragh and Reban West	Churchtown	Athy
Milltown	378	Connell	Feighcullen	Naas
Moat Commons	22	Clane	Clane	Naas
Moatavanny	217	Kilkea and Moone	Castledermot	Baltinglass
Moatstown	113	Narragh and Reban West	Churchtown	Athy
Monaclaudy	187	Kilkea and Moone	Ballaghmoon	Athy
Monapheeby (or Boherbaun Upper)	374	Offaly West	Harristown	Athy
Monasterevin	208	Offaly West	Monasterevin	Athy
Monasterevin Bog	153	Offaly West	Monasterevin	Athy
Monatore	88	Narragh and Reban East	Narraghmore	Athy
Moneycooly	408	North Salt	Laraghbryan	Celbridge
Monread North	299	Naas North	Naas	Naas
Monread South	296	Naas North	Naas	Naas
Moods	383	Clane	Downings	Naas
Moone	2877	Kilkea and Moone	Moone	Athy
Mooreabbey Demesne	1267	Offaly West	Monasterevin	Athy
Mooretown	524	Offaly East	Kildare	Naas
Moorfield	437	Connell	Morristownbiller	Naas
Moorhill	225	Naas South	Gilltown	Naas
Moorhill	206	Naas South	Jago	Naas
Moortown	206	North Salt	Kildrought	Celbridge
Moortown	382	Ikeathy and Oughterany	Mainham	Celbridge
Moortown	205	Connell	Ladytown	Naas
Moortown	378	Kilcullen	Tully	Naas
Moortowncastle	372	Kilcullen	Tully	Athy
Morganstown	96	Naas South	Kill	Naas
Morristown	101	South Salt	Forenaghts	Naas
Morristown Little	59	Connell	Oldconnell	Naas
Morristown Lower	200	Connell	Oldconnell	Naas
Morristown Upper	332	Connell	Oldconnell	Naas
Morristownbiller	435	Connell	Morristownbiller	Naas
Mounntarmstrong	368	Ikeathy and Oughterany	Mainham	Celbridge
Mountprospect	249	Offaly East	Rathangan	Edenderry
Mountrice	632	Offaly West	Lackagh	Athy
Mountrice Bog	43	Offaly West	Lackagh	Athy
Moyleabbey	197	Narragh and Reban East	Narraghmore	Baltinglass
Moyvally	1363	Carbury	Ballynadrumny	Edenderry
Mucklon	739	Carbury	Dunfierth	Edenderry
Mulgeeth	835	Carbury	Dunfierth	Edenderry
Mullacash Middle	265	Naas South	Killashee	Naas
Mullacash North	159	Naas South	Killashee	Naas
Mullacash South	276	Naas South	Killashee	Naas
Mullaghboy	147	Naas South	Carnalway	Naas
Mullaghmoyne East	187	Offaly West	Ballyshannon	Athy
Mullaghmoyne West	201	Offaly West	Ballyshannon	Athy
Mullaghreelan	500	Kilkea and Moone	Kilkea	Athy
Mullaghroe Lower	106	Offaly West	Lackagh	Athy
Mullaghroe Upper	105	Offaly West	Lackagh	Athy
Mullamast	1451	Kilkea and Moone	Narraghmore	Athy
Mullantine	137	Offaly East	Rathangan	Edenderry
Mullarney	99	Kilkea and Moone	Castledermot	Athy
Mylerstown	244	Offaly West	Harristown	Athy
Mylerstown	499	Carbury	Mylerstown	Edenderry
Mylerstown	338	Naas South	Killashee	Naas
Mylerstown	792	Connell	Rathernan	Naas
Mynagh	101	Offaly West	Lackagh	Athy
Mynagh	50	Offaly West	Rathangan	Athy
Naas East	524	Naas North	Naas	Naas
Naas West	538	Naas North	Naas	Naas
Narrabeg	202	Kilkea and Moone	Killelan	Baltinglass
Narramore	589	Narragh and Reban East	Narraghmore	Athy
Narramore Demesne	307	Narragh and Reban East	Narraghmore	Athy
Newabbey	293	Naas South	Brannockstown	Naas
Newhall	570	Connell	Ladytown	Naas
Newhall	7	Connell	Oldconnell	Naas
Newland North	757	Naas South	Killashee	Naas
Newland South	144	Naas South	Killashee	Naas
Newland West	205	Naas South	Killashee	Naas
Newpark	220	Connell	Kilmeage	Naas
Newrow	70	South Salt	Kilteel	Naas
Newtown	373	Offaly West	Ballyshannon	Athy
Newtown	47	Kilkea and Moone	Castledermot	Athy
Newtown	207	Kilkea and Moone	Killelan	Baltinglass
Newtown	452	Kilkea and Moone	Kineagh	Baltinglass
Newtown	427	Ikeathy and Oughterany	Cloncurry	Celbridge
Newtown	289	South Salt	Donaghcumper	Celbridge
Newtown	347	North Salt	Laraghbryan	Celbridge
Newtown	216	North Salt	Leixlip	Celbridge
Newtown	525	Offaly East	Rathangan	Edenderry
Newtown	267	Offaly East	Kildare	Naas
Newtown	95	South Salt	Kill	Naas
Newtown	206	Naas South	Killashee	Naas
Newtown	74	Naas North	Rathmore	Naas
Newtown	534	Naas North	Tipper	Naas
Newtown	380	Offaly East	Tully	Naas
Newtown Baltracey	102	Naas North	Tipper	Naas
Newtown Great	469	Naas North	Rathmore	Naas
Newtown Little	23	Naas North	Rathmore	Naas
Newtownallen	602	Kilkea and Moone	Ballaghmoon	Athy
Newtownbert	813	Narragh and Reban West	Kilberry	Athy
Newtowndonore	873	Clane	Downings	Naas
Newtownhortland	255	Ikeathy and Oughterany	Scullogestown	Celbridge
Newtownlaragh	86	Ikeathy and Oughterany	Kilcock	Celbridge
Newtownmacabe	324	North Salt	Taghadoe	Celbridge
Newtownmoneenluggagh	128	Ikeathy and Oughterany	Scullogestown	Celbridge
Newtownpark	270	Naas North	Rathmore	Naas
Newtownpilsworth	287	Kilkea and Moone	Dunmanoge	Athy
Nicholastown	962	Kilkea and Moone	Tankardstown	Athy
Nicholastown	538	Ikeathy and Oughterany	Cloncurry	Celbridge
Nicholastown	425	Kilcullen	Kilcullen	Naas
Nunsland	87	Naas North	Rathmore	Naas
Nurney	258	Offaly West	Nurney	Athy
Nurney	364	Carbury	Nurney	Edenderry
Nurney Bog	147	Offaly West	Nurney	Athy
Nurney Demesne	334	Offaly West	Nurney	Athy
Oakleypark	103	North Salt	Kildrought	Celbridge
Oghil	1186	Offaly West	Monasterevin	Athy
Oldcarton	288	North Salt	Laraghbryan	Celbridge
Oldconnell	677	Connell	Oldconnell	Naas
Oldcourt	646	Narragh and Reban West	Kilberry	Athy
Oldcourt	361	Carbury	Kilmore	Edenderry
Oldgrange	15	Narragh and Reban East	Fontstown	Athy
Oldgrange	402	Offaly West	Monasterevin	Athy
Oldgrange	363	Narragh and Reban East	Narraghmore	Athy
Oldkilcullen	792	Kilcullen	Kilcullen	Naas
Oldmilltown.	165	South Salt	Kilteel	Naas
Oldtown	251	North Salt	Kildrought	Celbridge
Oldtown	179	Connell	Greatconnell	Naas
Oldtown	169	Naas South	Killashee	Naas
Oldtown	21	South Salt	Kilteel	Naas
Oldtown	134	Naas North	Naas	Naas
Oldtown Demesne	161	Naas North	Naas	Naas
Oldtowndonore	1015	Clane	Downings	Naas
Osberstown	1316	Naas North	Naas	Naas
Oughterard	388	South Salt	Oughterard	Naas
Ovidstown	334	Ikeathy and Oughterany	Cloncurry	Celbridge
Ovidstown	54	North Salt	Straffan	Celbridge
Ovidstown	211	North Salt	Taghadoe	Celbridge
Painestown	554	Ikeathy and Oughterany	Balraheen	Celbridge
Painestown	423	South Salt	Kill	Naas
Palmerstown	119	Naas North	Johnstown	Naas
Palmerstown Demesne	691	Naas North	Johnstown	Naas
Parsonstown	126	North Salt	Donaghcumper	Celbridge
Parsonstown	510	Carbury	Ardkill	Edenderry
Passlands	104	Offaly West	Monasterevin	Athy
Paudeenourstown	52	Narragh and Reban West	Kilberry	Athy
Philipstown	175	Naas North	Rathmore	Naas
Piercetown	165	Connell	Morristownbiller	Naas
Pipershall	176	Naas North	Rathmore	Naas
Pitchfordstown	408	Ikeathy and Oughterany	Cloncurry	Celbridge
Ploopluck	153	Naas North	Naas	Naas
Pluckerstown	565	Connell	Kilmeage	Naas
Pluckerstown	346	Offaly East	Kilmeage	Naas
Pluckstown	195	South Salt	Lyons	Celbridge
Plunketstown Lower	295	Kilkea and Moone	Graney	Baltinglass
Plunketstown Upper	342	Kilkea and Moone	Graney	Baltinglass
Pollagorteen	276	Offaly West	Lackagh	Athy
Pollardstown	1063	Offaly East	Pollardstown	Naas
Portersize	514	Narragh and Reban East	Timolin	Baltinglass
Porterstown	98	South Salt	Kilteel	Naas
Portgloriam	479	Ikeathy and Oughterany	Kilcock	Celbridge
Posseckstown	252	North Salt	Killadoon	Celbridge
Prospect	223	Naas North	Sherlockstown	Naas
Prumpelstown Lower	286	Kilkea and Moone	Castledermot	Athy
Prumpelstown Upper	218	Kilkea and Moone	Castledermot	Athy
Prusselstown	69	Narragh and Reban West	Kilberry	Athy
Prusselstown	173	Narragh and Reban West	St. Michaels	Athy
Pullagh	208	Offaly West	Harristown	Athy
Punchersgrange	710	Connell	Feighcullen	Naas
Punchestown	52	Naas South	Tipperkevin	Naas
Punchestown Great	323	Naas North	Rathmore	Naas
Punchestown Little	121	Naas North	Rathmore	Naas
Punchestown Lower	467	Naas North	Rathmore	Naas
Punchestown Upper	264	Naas North	Rathmore	Naas
Quinsborough	147	South Salt	Oughterard	Naas
Quinsborough (or Coolsicken)	617	Offaly West	Lackagh	Athy
Quqrry	224	Narragh and Reban West	Churchtown	Athy
Racefield	192	Offaly West	Ballyshannon	Athy
Raheen	157	Ikeathy and Oughterany	Balraheen	Celbridge
Raheen Old	67	Ikeathy and Oughterany	Balraheen	Celbridge
