Tournament	Date	City	Country	Surface	Singles champions	Doubles champions
Italy F17 Futures	July 12	Fano	Italy	Clay	Nikola Mektić	Claudio Grassi / Stefano Ianni
Romania F7 Futures	July 12	Iași	Romania	Clay	Maxime Teixeira	Marin Draganja / Dino Marcan
Spain F25 Futures	July 12	Elche	Spain	Clay	Marcelo Palacios-Siegenthale	Carlos Calderón-Rodríguez / Marc Fornell-Mestres
USA F18 Futures	July 12	Peoria	United States	Clay	Greg Ouellette	Taylor Fogleman / Benjamin Rogers
Argentina F14 Futures	July 19	Rafaela	Argentina	Clay	Andrés Molteni	Andrés Molteni / Diego Sebastián Schwartzman
Brazil F16 Futures	July 19	Jundiaí	Brazil	Clay	Rogério Dutra da Silva	Rogério Dutra da Silva / Júlio Silva
Estonia F2 Futures	July 19	Tallinn	Estonia	Clay	Jürgen Zopp	Harri Heliövaara / Juho Paukku
Iran F2 Futures	July 19	Tehran	Iran	Clay	Attila Balázs	Attila Balázs / György Balázs
Ireland F1 Futures	July 19	Dublin	Ireland	Carpet	Daniel Cox	James Cluskey / Colin O'Brien
Italy F18 Futures	July 19	Modena	Italy	Clay	Matteo Viola	Francesco Aldi / Walter Trusendi
Romania F8 Futures	July 19	Craiova	Romania	Clay	Kristijan Mesaroš	Andrei Mlendea / Mikhail Vasiliev
Spain F26 Futures	July 19	Gandia	Spain	Clay	Marc Fornell-Mestres	César Ferrer-Victoria / Pablo Martín-Adalia
USA F19 Futures	July 19	Joplin	United States	Hard	Robbye Poole	Jean Andersen / Joshua Zavala
Brazil F17 Futures	July 26	Uberlândia	Brazil	Clay	Rafael Camilo	Víctor Maynard / Nicolás Santos
Germany F10 Futures	July 26	Dortmund	Germany	Clay	Grigor Dimitrov	Alexander Blom / Wesley Koolhof
Great Britain F11 Futures	July 26	Chiswick	United Kingdom	Hard	Miloslav Mečíř, Jr.	Divij Sharan / Vishnu Vardhan
Italy F19 Futures	July 26	La Spezia	Italy	Clay	Thomas Fabbiano	Flavio Cipolla / Alessandro Giannessi
Romania F9 Futures	July 26	Arad	Romania	Clay	Maxime Teixeira	Alexandru Carpen / Alexandru Cătălin Marasin
Spain F27 Futures	July 26	Dénia	Spain	Clay	Miguel Ángel López Jaén	Carlos Calderón-Rodríguez / Marc Fornell-Mestres
USA F20 Futures	July 26	Godfrey	United States	Hard	Robbye Poole	Jordan Cox / Evan King
Argentina F15 Futures	August 2	Buenos Aires	Argentina	Clay	Facundo Argüello	Guillermo Bujniewicz / Guillermo Durán
Germany F11 Futures	August 2	Wetzlar	Germany	Clay	Alexander Flock	Diego Álvarez / Juan-Martín Aranguren
Great Britain F12 Futures	August 2	Roehampton	United Kingdom	Hard	Joshua Milton	Ashwin Kumar / Laurent Rochette
Italy F20 Futures	August 2	Avezzano	Italy	Clay	Francesco Piccari	Andrea Falgheri / Claudio Grassi
Lithuania F1 Futures	August 2	Vilnius	Lithuania	Clay	Timo Nieminen	Deniss Pavlovs / Mikhail Vasiliev
Romania F10 Futures	August 2	Bucharest	Romania	Clay	Andrei Mlendea	Gleb Alekseenko / Vadim Alekseenko
Russia F3 Futures	August 2	Moscow	Russia	Clay	Ilya Belyaev	Ilya Belyaev / Michail Elgin
Serbia F4 Futures	August 2	Novi Sad	Serbia	Clay	Dušan Lajović	Boris Čonkić / Ivan Đurđević
Slovakia F1 Futures	August 2	Piešťany	Slovakia	Clay	Florian Reynet	Michal Pažický / Adrian Sikora
Spain F28 Futures	August 2	Xàtiva	Spain	Clay	Marc Fornell-Mestres	Carlos Calderón-Rodríguez / Marc Fornell-Mestres
Thailand F1 Futures	August 2	Nonthaburi	Thailand	Hard	Mohamed Safwat	Abdullah Magdas / Sebastian Rieschick
USA F21 Futures	August 2	Decatur	United States	Hard	Ryler DeHeart	Jarmere Jenkins / Todd Paul
Argentina F16 Futures	August 9	Santiago del Estero	Argentina	Clay	Pablo Galdón	Guillermo Bujniewicz / Guillermo Durán
Austria F3 Futures	August 9	Bad Waltersdorf	Austria	Clay	Blaž Rola	Nicolas Reissig / Tristan Samuel Weissborn
Belarus F1 Futures	August 9	Minsk	Belarus	Clay	Guillermo Olaso	Guillermo Olaso / Michal Schmid
Belgium F1 Futures	August 9	Eupen	Belgium	Clay	David Goffin	Dominik Pfeiffer / Peter Torebko
Finland F1 Futures	August 9	Vierumäki	Finland	Clay	Juho Paukku	Harri Heliövaara / Juho Paukku
Germany F12 Futures	August 9	Friedberg	Germany	Clay	Augustin Gensse	Pierre-Hugues Herbert / Nicolas Meister
Italy F21 Futures	August 9	Appiano	Italy	Clay	Marco Crugnola	Karim Maamoun / Sherif Sabry
Russia F4 Futures	August 9	Moscow	Russia	Clay	Mikhail Vasiliev	Ilya Belyaev / David Savić
Serbia F5 Futures	August 9	Novi Sad	Serbia	Clay	Aldin Šetkić	Dušan Lajović / Ilija Vučić
Slovakia F2 Futures	August 9	Piešťany	Slovakia	Clay	Marcin Gawron	Jérôme Inzerillo / Florian Reynet
Spain F29 Futures	August 9	Irún	Spain	Clay	Grigor Dimitrov	Agustín Boje-Ordóñez / Andoni Vivanco-Guzmán
Thailand F2 Futures	August 9	Phitsanulok	Thailand	Hard	Sebastian Rieschick	Hiroki Kondo / Ashutosh Singh
Argentina F17 Futures	August 16	Salta	Argentina	Clay	Joaquín-Jésus Monteferrario	Guillermo Bujniewicz / Cristóbal Saavedra-Corvalán
Austria F4 Futures	August 16	Sankt Pölten	Austria	Clay	Daniel Lustig	Colin Ebelthite / James Lemke
Belgium F2 Futures	August 16	Koksijde	Belgium	Clay	Jonathan Eysseric	Bart Brons / Tim van Terheijden
Brazil F19 Futures	August 16	São José dos Campos	Brazil	Clay	André Miele	Thiago Augusto Bitencourt Pinheiro / Idio Escobar
Bulgaria F4 Futures	August 16	Sofia	Bulgaria	Clay	Diego Álvarez	Pirmin Hänle / Óscar Sabaté-Bretos
Colombia F1 Futures	August 16	Bogotá	Colombia	Clay	Sebastián Decoud	Mauricio Echazú / Maciek Sykut
Croatia F4 Futures	August 16	Čakovec	Croatia	Clay	Kristijan Mesaroš	Marin Draganja / Dino Marcan
Italy F22 Futures	August 16	Padova	Italy	Clay	Matteo Viola	Marco Crugnola / Alessandro Motti
Latvia F1 Futures	August 16	Jūrmala	Latvia	Clay	Augustin Gensse	James Cluskey / Colin O'Brien
Poland F5 Futures	August 16	Olsztyn	Poland	Clay	Alexander Flock	Mateusz Kowalczyk / Grzegorz Panfil
Russia F5 Futures	August 16	Moscow	Russia	Clay	Alexander Lobkov	Richard Muzaev / Sergey Strelkov
Serbia F6 Futures	August 16	Sombor	Serbia	Clay	Ivan Bjelica	Ivan Bjelica / Miljan Zekić
Slovakia F3 Futures	August 16	Michalovce	Slovakia	Clay	Michal Pažický	Michal Pažický / Adrian Sikora
Spain F30 Futures	August 16	Vigo	Spain	Clay	Pablo Santos	Abraham González-Jiménez / Roberto Ortega-Olmedo
Thailand F3 Futures	August 16	Nakhorn Ratchasima	Thailand	Hard	Sebastian Rieschick	Sebastian Rieschick / Danai Udomchoke
Austria F5 Futures	August 23	Pörtschach	Austria	Clay	Axel Michon	Jan Blecha / Gibril Diarra
Belgium F3 Futures	August 23	Huy	Belgium	Clay	Julien Obry	Marco Dierckx / Mario Dierckx
Brazil F21 Futures	August 23	Campo Grande	Brazil	Clay	Rogério Dutra da Silva	Rafael Camilo / Marcel Felder
Bulgaria F5 Futures	August 23	Bourgas	Bulgaria	Clay	Ádám Kellner	Diego Álvarez / Federico Torresi
Colombia F2 Futures	August 23	Medellín	Colombia	Clay	Sebastián Decoud	Iván Endara / Guillermo Rivera-Aranguiz
Croatia F5 Futures	August 23	Vinkovci	Croatia	Clay	Kristijan Mesaroš	Mislav Hižak / Ante Pavić
Germany F13 Futures	August 23	Überlingen	Germany	Clay	Dennis Blömke	Florian Fallert / Jakob Sude
Italy F23 Futures	August 23	Piombino	Italy	Hard	Claudio Grassi	Daniel Danilović / Claudio Grassi
Mexico F5 Futures	August 23	Zacatecas	Mexico	Hard	David Rice	Juan-Manuel Elizondo / César Ramírez
Netherlands F5 Futures	August 23	Enschede	Netherlands	Clay	Alexander Flock	Clint Thomson / Boy Westerhof
Poland F6 Futures	August 23	Poznań	Poland	Clay	Marcin Gawron	Bartosz Sawicki / Maciej Smoła
Russia F6 Futures	August 23	Sochi	Russia	Clay	Alexander Rumyantsev	Ervand Gasparyan / Vadim Kutsenko
Austria F6 Futures	August 30	Wels	Austria	Clay	Axel Michon	Jeremy Jahn / Herbert Wiltschnig
Brazil F22 Futures	August 30	São José do Rio Preto	Brazil	Clay	André Miele	Rafael Camilo / Fabricio Neis
Bulgaria F6 Futures	August 30	Dobrich	Austria	Clay	Philipp Oswald	Levente Gödry / Ádám Kellner
Colombia F3 Futures	August 30	Manizales	Colombia	Clay	Víctor Estrella	Maciek Sykut / Denis Zivkovic
Croatia F6 Futures	August 30	Osijek	Croatia	Clay	Kristijan Mesaroš	Mislav Hižak / Ante Pavić
Germany F14 Futures	August 30	Kempten	Germany	Clay	Marcel Zimmermann	Marc Meigel / Richard Waite
Italy F24 Futures	August 30	Trieste	Italy	Clay	Luca Vanni	Luis Díaz-Barriga / Miguel Ángel Reyes-Varela
Mexico F6 Futures	August 30	León	Mexico	Hard	Vasek Pospisil	Juan-Manuel Elizondo / César Ramírez
Netherlands F6 Futures	August 30	Middelburg	Netherlands	Clay	Matwé Middelkoop	Timo Nieminen / Juho Paukku
Poland F7 Futures	August 30	Bydgoszcz	Poland	Clay	Siarhei Betau	Rafał Gozdur / Mateusz Szmigiel
Russia F7 Futures	August 30	Moscow	Russia	Clay	Michail Elgin	Michail Elgin / Deniss Pavlovs
Spain F31 Futures	August 30	Santander	Spain	Clay	James Ward	Miguel Ángel López Jaén / Pablo Santos
Australia F5 Futures	September 6	Cairns	Australia	Hard	Dayne Kelly	Colin Ebelthite / Adam Feeney
Brazil F23 Futures	September 6	Fortaleza	Brazil	Clay	Júlio Silva	Marcel Felder / Fernando Romboli
Burundi F1 Futures	September 6	Bujumbura	Burundi	Clay	Gerald Melzer	Marco Dierckx / Bart Govaerts
Ecuador F1 Futures	September 6	Guayaquil	Ecuador	Hard	Júlio César Campozano	Nicolás Barrientos / Sebastián Serrano
France F13 Futures	September 6	Bagnères-de-Bigorre	France	Hard	Grégoire Burquier	Riccardo Ghedin / Alexandre Penaud
Germany F15 Futures	September 6	Kenn	Germany	Clay	Antony Dupuis	Steven Moneke / Laslo Urrutia
Great Britain F13 Futures	September 6	Cumberland	United Kingdom	Clay	Daniel Cox	David Rice / Sean Thornley
Italy F25 Futures	September 6	Siena	Italy	Clay	Luca Vanni	Massimo Capone / Matteo Viola
Mexico F7 Futures	September 6	Guadalajara	Mexico	Hard	Vasek Pospisil	Haydn Lewis / Marvin Rolle
Russia F8 Futures	September 6	Vsevolozhsk	Russia	Clay	Michail Elgin	Ervand Gasparyan / Vadim Kutsenko
Spain F32 Futures	September 6	Oviedo	Spain	Hard	Roberto Carballes	Pablo Carreño-Busta / Andoni Vivanco-Guzmán
Australia F6 Futures	September 13	Darwin	Australia	Hard	John Millman	Colin Ebelthite / Adam Feeney
Bolivia F1 Futures	September 13	Tarija	Bolivia	Clay	Adam El Mihdawy	Mauricio Echazú / Sergio Galdos
Brazil F24 Futures	September 13	Recife	Brazil	Clay (i)	Daniel Dutra da Silva	Juan-Pablo Amado / Ricardo Siggia
Ecuador F2 Futures	September 13	Guayaquil	Ecuador	Hard	Júlio César Campozano	Duilio Beretta / Roberto Quiroz
France F14 Futures	September 13	Mulhouse	France	Hard (i)	Clément Reix	Olivier Charroin / Junn Mitsuhashi
Great Britain F14 Futures	September 13	Nottingham	United Kingdom	Hard	Joshua Milton	Lewis Burton / Daniel Evans
Italy F26 Futures	September 13	Porto Torres	Italy	Clay	Claudio Grassi	Claudio Grassi / Francesco Piccari
Morocco F6 Futures	September 13	Casablanca	Morocco	Clay	Maxime Teixeira	Florian Reynet / Maxime Teixeira
Rwanda F1 Futures	September 13	Kigali	Rwanda	Clay	Gerald Melzer	Alexei Filenkov / Stanislav Vovk
Spain F33 Futures	September 13	Móstoles	Spain	Hard	Roberto Bautista-Agut	Philip Bester / Kamil Pajkowski
Sweden F1 Futures	September 13	Danderyd	Sweden	Hard (i)	Henri Kontinen	Daniel Danilović / Michael Ryderstedt
USA F23 Futures	September 13	Claremont	United States	Hard	Gary Sacks	Taylor Fogleman / Chris Kearney
Australia F7 Futures	September 20	Alice Springs	Australia	Hard	Colin Ebelthite	Colin Ebelthite / Adam Feeney
Bolivia F2 Futures	September 20	La Paz	Bolivia	Clay	Guillermo Carry	Francisco Carbajal / Christopher Díaz-Figueroa
Canada F4 Futures	September 20	Toronto	Canada	Hard	Nicholas Monroe	Brett Joelson / Ashwin Kumar
China F7 Futures	September 20	Hangzhou	China	Hard	Bai Yan	Gao Peng / Gao Wan
France F15 Futures	September 20	Plaisir	France	Hard (i)	Clément Reix	Nicolas Grammare / Ashutosh Singh
Great Britain F15 Futures	September 20	Wrexham	United Kingdom	Hard	Daniel Cox	Lewis Burton / Daniel Evans
Iran F3 Futures	September 20	Tehran	Iran	Clay	Alexander Rumyantsev	Ivan Anikanov / Murad Inoyatov
Italy F27 Futures	September 20	Brusaporto	Italy	Hard (i)	Filip Prpic	Erik Crepaldi / Claudio Grassi
Morocco F7 Futures	September 20	Tanger	Morocco	Clay	Sergio Gutiérrez-Ferrol	Gerard Granollers-Pujol / Carles Poch-Gradin
Spain F34 Futures	September 20	Madrid	Spain	Hard	Morgan Phillips	Óscar Burrieza / Javier Martí
Sweden F2 Futures	September 20	Falun	Sweden	Hard (i)	Henri Kontinen	Carl Bergman / Markus Eriksson
USA F24 Futures	September 20	Costa Mesa	United States	Hard	Fritz Wolmarans	Daniel Garza / Fabrice Martin
Uganda F1 Futures	September 20	Kampala	Uganda	Clay	Gerald Melzer	James Feaver / Ruan Roelofse
Bolivia F3 Futures	September 27	Cochabamba	Bolivia	Clay	Diego Sebastián Schwartzman	Mauricio Doria-Medina / Mauricio Estívariz
Brazil F26 Futures	September 27	Itu	Brazil	Clay	Fernando Romboli	Rodrigo Grilli / Fernando Romboli
Canada F5 Futures	September 27	Markham	Canada	Hard (i)	Vasek Pospisil	Chris Kwon / Conor Pollock
China F8 Futures	September 27	Shanghai	China	Hard	Bai Yan	Li Zhe / Gong Mao-xin
France F16 Futures	September 27	Sarreguemines	France	Carpet (i)	Albano Olivetti	Julien Obry / Albano Olivetti
Germany F16 Futures	September 27	Hambach	France	Carpet (i)	Denis Matsukevich	Kārlis Lejnieks / Denis Matsukevich
Iran F4 Futures	September 27	Tehran	Iran	Clay	Alexander Lobkov	Alexander Rumyantsev / Alexander Lobkov
Italy F28 Futures	September 27	Frascati	Italy	Clay	Augustin Gensse	Óscar Burrieza / Javier Martí
Kazakhstan F3 Futures	September 27	Astana	Kazakhstan	Hard (i)	Richard Muzaev	Vitali Reshetnikov / Andrei Vasilevski
Portugal F4 Futures	September 27	Porto	Portugal	Clay	Laurent Rochette	Sergio Gutiérrez-Ferrol / Carles Poch-Gradin
Spain F35 Futures	September 27	Martos	Spain	Hard	Adrián Menéndez-Maceiras	Divij Sharan / Vishnu Vardhan
Turkey F9 Futures	September 27	Antalya	Turkey	Hard	Samuel Groth	Daniel Danilović / Juho Paukku
USA F25 Futures	September 27	Irvine	United States	Hard	Chris Guccione	Nathaniel Gorham / Dennis Novikov
Australia F8 Futures	October 4	Port Pirie	Australia	Hard	Colin Ebelthite	Jared Easton / Joel Lindner
Bolivia F4 Futures	October 4	Santa Cruz	Bolivia	Clay	Renzo Olivo	Hugo Dellien / Federico Zeballos
Brazil F27 Futures	October 4	Salvador	Brazil	Hard	Daniel Dutra da Silva	Theodoros Angelinos / Diego Matos
France F17 Futures	October 4	Nevers	France	Hard (i)	Grégoire Burquier	Simon Cauvard / Grégoire Burquier
Germany F17 Futures	October 4	Leimen	Germany	Hard (i)	Timo Nieminen	Timo Nieminen / Michal Schmid
Iran F5 Futures	October 4	Tehran	Iran	Clay	Alexander Lobkov	Elbert Sie / Ranjeet Virali-Murugesan
Italy F29 Futures	October 4	Naples	Italy	Hard	Claudio Grassi	Erik Crepaldi / Claudio Grassi
Kazakhstan F4 Futures	October 4	Astana	Kazakhstan	Hard (i)	Michail Elgin	Michail Elgin / Andrei Vasilevski
Portugal F5 Futures	October 4	Espinho	Portugal	Clay	Javier Martí	Carlos Boluda-Purkiss / Pedro Rico
Spain F36 Futures	October 4	Córdoba	Spain	Hard	Malek Jaziri	João Sousa / Israel Vior-Díaz
Turkey F10 Futures	October 4	Antalya	Turkey	Hard	Samuel Groth	Artem Smirnov / Róbert Varga
Australia F9 Futures	October 11	Happy Valley	Australia	Hard	Nick Lindahl	Colin Ebelthite / Adam Feeney
Belarus F3 Futures	October 11	Minsk	Belarus	Hard (i)	Jerzy Janowicz	Siarhei Betau / Dzmitry Zhyrmont
Brazil F28 Futures	October 11	Fernandópolis	Brazil	Clay	Christian Lindell	Christian Lindell / Fabricio Neis
France F18 Futures	October 11	Saint-Dizier	France	Hard (i)	David Goffin	Julien Maes / Fabrice Martin
Germany F18 Futures	October 11	Isernhagen	Germany	Hard (i)	Kārlis Lejnieks	Nicolas Kiefer / Stefan Seifert
Greece F1 Futures	October 11	Kos	Greece	Hard	Juho Paukku	Andrea Falgheri / Claudio Grassi
Italy F30 Futures	October 11	Reggio di Calabria	Italy	Clay	Alessio di Mauro	Andrea Arnaboldi / Gianluca Naso
Japan F9 Futures	October 11	Kashiwa	Japan	Hard	Danai Udomchoke	Yuichi Ito / Yi Chu-huan
Kazakhstan F5 Futures	October 11	Almaty	Kazakhstan	Hard (i)	Julien Dubail	Sergei Krotiouk / Alexey Kedryuk
Kuwait F1 Futures	October 11	Mishref	Kuwait	Hard	Sebastian Rieschick	Roko Karanušić / Sebastian Rieschick
Turkey F11 Futures	October 11	Antalya	Turkey	Hard	Radu Albot	Kamil Čapkovič / Denys Molchanov
USA F26 Futures	October 11	Austin	United States	Hard	Denis Kudla	Chris Haggard / Conor Pollock
Venezuela F4 Futures	October 11	Caracas	Venezuela	Hard	Greg Ouellette	Greg Ouellette / Maciek Sykut
Argentina F20 Futures	October 18	La Rioja	Argentina	Clay	Jonathan Gonzalia	Patricio Heras / Agustín Picco
Belarus F4 Futures	October 18	Minsk	Belarus	Hard (i)	Siarhei Betau	Siarhei Betau / Dzmitry Zhyrmont
Brazil F29 Futures	October 18	São Leopoldo	Brazil	Clay	Rafael Camilo	Fernando Romboli / Nicolás Santos
Chile F1 Futures	October 18	Santiago	Chile	Clay	Guillermo Rivera-Aranguiz	Guillermo Hormazábal / Rodrigo Pérez
Croatia F7 Futures	October 18	Dubrovnik	Croatia	Clay	Attila Balázs	Andrea Arnaboldi / Morgan Phillips
Egypt F4 Futures	October 18	Cairo	Egypt	Clay	Alexander Lobkov	Dušan Lajović / Miljan Zekić
France F19 Futures	October 18	La Roche-sur-Yon	France	Hard (i)	Clément Reix	Jérémy Blandin / Alexandre Renard
Great Britain F16 Futures	October 18	Glasgow	United Kingdom	Hard (i)	Matthew Ebden	Lewis Burton / Daniel Evans
Greece F2 Futures	October 18	Paros	Greece	Carpet	Ádám Kellner	Kornél Bardóczky / Ádám Kellner
Japan F10 Futures	October 18	Nishitama	Japan	Hard	Danai Udomchoke	Tasuku Iwami / Hiroki Kondo
Kuwait F2 Futures	October 18	Mishref	Kuwait	Hard	Martin Kližan	Roko Karanušić / Sebastian Rieschick
Nigeria F1 Futures	October 18	Lagos	Nigeria	Hard	Amir Weintraub	Amir Weintraub / Boy Westerhof
Paraguay F1 Futures	October 18	Lambaré	Paraguay	Clay	Juan-Pablo Amado	Diego Galeano / Daniel-Alejandro López
Spain F37 Futures	October 18	Sabadell	Spain	Clay	Sergio Gutiérrez-Ferrol	Miguel Ángel López Jaén / Pablo Santos
Turkey F12 Futures	October 18	Adana	Turkey	Hard	Adrian Cruciat	Teodor-Dacian Crăciun / Adrian Cruciat
USA F27 Futures	October 18	Mansfield	United States	Hard	Fritz Wolmarans	Dimitar Kutrovsky / Joshua Zavala
Venezuela F5 Futures	October 18	Caracas	Venezuela	Hard	Alejandro González	Peter Aarts / Damon Gooch
Argentina F21 Futures	October 25	San Juan	Argentina	Clay	Facundo Argüello	Guillermo Carry / Diego Sebastián Schwartzman
Brazil F30 Futures	October 25	Porto Alegre	Brazil	Clay	Daniel Dutra da Silva	Giorgio Portaluri / Juan-Pablo Villar
Croatia F8 Futures	October 25	Dubrovnik	Croatia	Clay	Kristijan Mesaroš	Tomislav Brkić / Damir Džumhur
Egypt F5 Futures	October 25	Cairo	Egypt	Clay	Miljan Zekić	Alexander Rumyantsev / Alexander Lobkov
France F20 Futures	October 25	Rodez	France	Hard (i)	Grégoire Burquier	Olivier Charroin / Vincent Stouff
Great Britain F17 Futures	October 25	Cardiff	United Kingdom	Hard (i)	Jürgen Zopp	Joshua Goodall / Dominic Inglot
Greece F3 Futures	October 25	Heraklion	Greece	Carpet	Andrea Falgheri	Daniel Glancy / Marcus Willis
Nigeria F2 Futures	October 25	Lagos	Nigeria	Hard	Karan Rastogi	Amir Weintraub / Boy Westerhof
Paraguay F2 Futures	October 25	Asunción	Paraguay	Clay	Agustín Velotti	Diego Galeano / Daniel-Alejandro López
Spain F38 Futures	October 25	Sant Cugat	Spain	Clay	Guillermo Olaso	Miguel Ángel López Jaén / Pablo Santos
Turkey F13 Futures	October 25	Antalya	Turkey	Clay	Gero Kretschmer	Patrik Brydolf / Micke Kontinen
USA F28 Futures	October 25	Birmingham	United States	Clay	Philip Bester	Philip Bester / Kamil Pajkowski
Argentina F22 Futures	November 1	Rosario	Argentina	Clay	Andrés Molteni	Diego Cristín / Pablo Galdón
Australia F10 Futures	November 1	Kalgoorlie	Australia	Hard	Érik Chvojka	Joel Lindner / Matt Reid
Brazil F31 Futures	November 1	Porto Alegre	Brazil	Clay	André Ghem	Nicolás Santos / Daniel Dutra da Silva
Chile F3 Futures	November 1	Santiago	Chile	Clay	Cristóbal Saavedra-Corvalán	Guillermo Hormazábal / Rodrigo Pérez
Greece F4 Futures	November 1	Heraklion	Greece	Hard	Alexandros Jakupovic	Sam Barry / Mikelis Lībietis
Israel F4 Futures	November 1	Ramat HaSharon	Israel	Hard	Daniel Cox	Sergei Krotiouk / Kevin Krawietz
Laos F1 Futures	November 1	Vientiane	Laos	Hard	Kittipong Wachiramanowong	Gao Peng / Gao Wan
Mexico F8 Futures	November 1	Guadalajara	Mexico	Clay	Roman Borvanov	Maciek Sykut / Denis Zivkovic
Paraguay F3 Futures	November 1	Encarnación	Paraguay	Clay	Juan-Pablo Amado	Diego Galeano / Daniel-Alejandro López
Spain F39 Futures	November 1	Vilafranca	Spain	Clay	José Checa-Calvo	Carlos Rexach-Itoiz / Gabriel Trujillo-Soler
Turkey F14 Futures	November 1	Antalya	Turkey	Clay	Michael Linzer	Tihomir Grozdanov / Alexander Lazov
USA F29 Futures	November 1	Niceville	United States	Clay	Ádám Kellner	Robbye Poole / Erling Tveit
Australia F11 Futures	November 8	Esperance	Australia	Hard	Sebastian Rieschick	Brydan Klein / Nima Roshan
Brazil F32 Futures	November 8	Barueri	Brazil	Hard	Daniel Dutra da Silva	Víctor Maynard / Nicolás Santos
Iran F6 Futures	November 8	Kish Island	Iran	Clay	Kristijan Mesaroš	Enrico Burzi / Walter Trusendi
Israel F5 Futures	November 8	Tel Aviv	Israel	Hard	Grégoire Burquier	Rudy Coco / Fabrice Martin
Mexico F9 Futures	November 8	Durango	Mexico	Hard	Roman Borvanov	Roman Borvanov / Víctor Romero
Peru F1 Futures	November 8	Arequipa	Peru	Clay	Sebastián Decoud	Martín Cuevas / Juan-Manuel Romanazzi
Thailand F4 Futures	November 8	Khon Kaen	Thailand	Hard	Yuichi Sugita	Christopher Rungkat / Kirati Siributwong
Turkey F15 Futures	November 8	Antalya	Turkey	Clay	Gianni Mina	Ivan Bjelica / Patrik Brydolf
USA F30 Futures	November 8	Pensacola	United States	Clay	Dennis Blömke	Dimitar Kutrovsky / Jack Sock
Brazil F33 Futures	November 15	Belo Horizonte	Brazil	Clay	Fernando Romboli	Guilherme Clézar / André Ghem
Chile F5 Futures	November 15	Quillota	Chile	Clay	Guillermo Rivera-Aranguiz	Hans Podlipnik-Castillo / Ricardo Urzúa-Rivera
Czech Republic F4 Futures	November 15	Rožnov	Czech Republic	Carpet (i)	Jan Mertl	Marcin Gawron / Denis Matsukevich
Iran F7 Futures	November 15	Kish Island	Iran	Clay	Artem Smirnov	Gerald Melzer / Kristijan Mesaroš
New Zealand F1 Futures	November 15	Wellington	New Zealand	Hard	Sebastian Rieschick	Brydan Klein / Dane Propoggia
Peru F2 Futures	November 15	Lima	Peru	Clay	Guido Andreozzi	Juan-Pablo Amado / Martín Cuevas
Spain F40 Futures	November 15	Madrid	Spain	Clay	Alessandro Giannessi	Óscar Burrieza / Javier Martí
Thailand F5 Futures	November 15	Nonthaburi	Thailand	Hard	Yuichi Sugita	Vijayant Malik / Srirambalaji Narayanaswamy
USA F31 Futures	November 15	Amelia Island	United States	Clay	Philip Bester	Mislav Hižak / Robbye Poole
Australia F12 Futures	November 22	Traralgon	Australia	Hard	Amir Weintraub	Colin Ebelthite / Adam Feeney
Brazil F34 Futures	November 22	Foz do Iguaçu	Brazil	Clay	Juan-Pablo Villar	Guilherme Clézar / André Ghem
Czech Republic F5 Futures	November 22	Opava	Czech Republic	Carpet (i)	Jan Mertl	Michal Konečný / Daniel Lustig
Dominican Rep. F1 Futures	November 22	Santo Domingo	Dominican Rep.	Hard	Víctor Estrella	Piero Luisi / Román Recarte
Mexico F10 Futures	November 22	Colima	Mexico	Hard	James Ludlow	Daniel Garza / Chris Kwon
Peru F3 Futures	November 22	Lima	Peru	Clay	Juan-Pablo Amado	Diego Matos / Renzo Olivo
Sudan F1 Futures	November 22	Khartoum	Sudan	Clay	Ivo Klec	Jordi Muñoz-Abreu / Ivan Nedelko
Australia F13 Futures	November 29	Bendigo	Australia	Hard	Samuel Groth	Colin Ebelthite / Adam Feeney
Chile F7 Futures	November 29	Talca	Chile	Clay	Guillermo Hormazábal	Guillermo Hormazábal / Hans Podlipnik-Castillo
Dominican Rep. F2 Futures	November 29	Santo Domingo	Dominican Rep.	Hard	Víctor Estrella	Pierre-Hugues Herbert / Kevin Krawietz
Mexico F11 Futures	November 29	Chiapas	Mexico	Hard	Mark Verryth	Adam El Mihdawy / Ty Trombetta
Sudan F2 Futures	November 29	Khartoum	Sudan	Clay	Ivo Klec	David Savić / Aldin Šetkić
Brazil F36 Futures	December 6	Araçatuba	Brazil	Clay	Facundo Bagnis	Marcelo Demoliner / Fernando Romboli
Dominican Rep. F3 Futures	December 6	Santo Domingo	Dominican Rep.	Hard	Víctor Estrella	Pierre-Hugues Herbert / Romain Sichez
Mexico F12 Futures	December 6	Acapulco	Mexico	Clay	Rainer Eitzinger	Luis Díaz-Barriga / Miguel Ángel Reyes-Varela
Brazil F37 Futures	December 13	Guarulhos	Brazil	Clay	Fernando Romboli	Gabriel Dias / Leonardo Kirche
Chile F9 Futures	December 13	Concepción	Chile	Clay	Cristóbal Saavedra-Corvalán	Javier Muñoz / Juan Carlos Sáez
Cuba F1 Futures	December 13	Havana	Cuba	Hard	Deniss Pavlovs	Miles Bugby / Kamil Pajkowski
