Player	Games	Goals	First Games	Last Games
Yoshimatsu Oyama	2	0	1925.05.17	1925.05.20
Yanosuke Watanabe	2	0	1925.05.17	1925.05.20
Kiyoo Kanda	4	0	1923.05.23	1925.05.20
Shiro Azumi	3	0	1923.05.23	1925.05.17
Shumpei Inoue	1	0	1923.05.24	1923.05.24
Kikuzo Kisaka	2	0	1923.05.23	1923.05.24
Setsu Sawagata	2	0	1923.05.23	1923.05.24
Toshio Hirabayashi	2	0	1923.05.23	1923.05.24
Shizuo Miyama	2	0	1923.05.23	1923.05.24
Usaburo Hidaka	2	0	1923.05.23	1923.05.24
Fukusaburo Harada	2	0	1923.05.23	1923.05.24
Ryuzo Shimizu	2	1	1923.05.23	1923.05.24
Naoemon Shimizu	2	1	1923.05.23	1923.05.24
Yoshio Fujiwara	1	0	1923.05.23	1923.05.23
