Urban area (locality)	Population	Land area (hectares)	Density (inh./km²)	Code
Järna	6377	393.19	1621.86	0204
Järna	1413	317.98	444.37	6468
Järnforsen	489	134.72	362.98	2276
Järpen	1408	217.14	648.43	7884
Järpås	795	100.09	794.29	5320
Järvsö	1407	213.11	660.22	7152
Jättendal	253	69.91	361.89	7154
Jävre	576	181.17	317.93	8648
Jönköping	89396	4482.04	1994.54	1544
Jönåker	617	95.72	644.59	0780
Jörlanda	789	66.74	1182.20	4436
Jörn	797	202.68	393.23	8212
Jössefors	732	148.06	494.39	5700
Kalix	7299	757.36	963.74	8656
Kallax	321	85.70	374.56	8658
Kallinge	4561	485.46	939.52	2672
Kalmar	36392	1950.08	1866.18	2280
Kalvsund	221	18.39	1201.74	4434
Kangos	252	146.63	171.86	8660
Karby	865	45.91	1884.12	0208
Kareby	292	27.25	1071.56	4438
Karesuando	303	93.49	324.10	8664
Karlholmsbruk	1150	236.96	485.31	0572
Karlsborg	351	204.05	172.02	8668
Karlsborg	3551	540.36	657.15	5324
Karlshamn	19075	1347.72	1415.35	2676
Karlskoga	27084	2732.53	991.17	6008
Karlskrona	35212	2172.38	1620.90	2680
Karlstad	61685	3030.63	2035.39	5704
Karlsvik	256	23.11	1107.75	8670
Karungi	232	123.17	188.36	8672
Karups sommarby	344	76.53	449.50	2952
Kastlösa	201	90.69	221.63	2284
Katrinedal	270	13.99	1929.95	4330
Katrineholm	21993	1146.25	1918.69	0784
Kattarp	688	52.58	1308.48	3516
Kaxholmen	1458	87.40	1668.19	1548
Kebal	258	27.66	932.75	4439
Kil	7842	675.20	1161.43	5708
Kil	731	75.66	966.16	0212
Kilafors	1126	162.38	693.44	7156
Killeberg	585	105.12	556.51	2956
Kilsmo	263	50.00	526.00	6012
Kimstad	1510	143.87	1049.56	1128
Kinna	14776	1423.97	1037.66	4912
Kinnared	287	90.96	315.52	3996
Kinnarp	917	128.15	715.57	5328
Kinnarumma	253	40.50	624.69	4916
Kiruna	18148	1652.61	1098.14	8676
Kisa	3687	402.69	915.59	1132
Kivik	960	125.26	766.41	2960
Kjulaås	837	100.22	835.16	0788
Klagstorp	323	38.13	847.10	3528
Klevshult	264	56.42	467.92	1552
Klingsta och Allsta	342	68.07	502.42	7402
Klintehamn	1363	212.09	642.65	2520
Klippan	8116	500.12	1622.81	2964
Klippans bruk	314	43.56	720.84	2968
Klockestrand	315	101.96	308.94	7516
Klockrike	272	51.60	527.13	1136
Klädesholmen	385	28.84	1334.95	4440
Kläppa	318	26.21	1213.28	3998
Klässbol	293	58.40	501.71	5712
Klågerup	1904	106.93	1780.60	3532
Klöverträsk	246	66.52	369.81	8680
Klövsjö	291	221.58	131.33	7886
Knislinge	3030	273.05	1109.69	2972
Knivsta	7081	420.65	1683.35	0576
Knutby	564	54.87	1027.88	0580
Knäred	1088	225.83	481.78	4000
Kode	1380	127.25	1084.48	4444
Kolbäck	1951	221.80	879.62	6244
Kolsva	2453	325.49	753.63	6248
Konga	476	106.17	448.34	1892
Kopparberg	3016	672.78	448.29	6016
Kopparmora	631	82.08	768.76	0214
Koppom	643	203.00	316.75	5716
Korpilombolo	529	125.13	422.76	8688
Korsberga	214	38.92	549.85	5332
Korsberga	694	118.82	584.08	1752
Korsträsk	323	72.86	443.32	8692
Koskullskulle	874	277.92	314.48	8694
Kosta	884	161.73	546.59	1896
Kovland	486	47.69	1019.08	7520
Kramfors	5990	733.85	816.24	7524
Kristdala	945	140.49	672.65	2288
Kristianstad	35711	1768.62	2019.14	2980
Kristineberg	257	104.29	246.43	8220
Kristinehamn	17839	1335.83	1335.42	5720
Kristvallabrunn	246	60.11	409.25	2292
Krokek	4285	424.49	1009.45	1140
Krokom	2277	262.86	866.24	7888
Krägga	331	65.50	505.34	0584
Kulltorp	334	74.77	446.70	1556
Kullö	889	27.62	3218.68	0222
Kumla kyrkby	206	55.39	371.91	6252
Kumla	14062	778.70	1805.83	6020
Kummelnäs	3848	530.09	725.91	0216
Kungsbacka	19057	1002.57	1900.81	4008
Kungsberga	406	51.65	786.06	0218
Kungsgården	1033	215.52	479.31	7168
Kungshamn	2814	208.37	1350.48	4448
Kungshult	354	32.52	1088.56	3540
Kungsängen	9382	362.57	2587.64	0220
Kungsäter	353	71.88	491.10	4012
Kungsör	5452	471.33	1156.73	6256
Kungälv	22768	1152.33	1975.82	4452
Kurland	507	38.66	1311.43	3538
Kusmark	441	114.86	383.95	8224
Kuttainen	333	59.73	557.51	8704
Kvibille	925	86.45	1069.98	4016
Kvicksund	1768	311.26	568.01	0792
Kvidinge	1854	153.06	1211.29	2984
Kvillsfors	500	94.76	527.65	1560
Kvisljungeby	639	44.19	1446.03	4456
Kvissleby	2614	189.24	1381.31	7532
Kvänum	1277	160.40	796.13	5336
Kvärlöv	226	36.49	619.35	3542
Kyrkheddinge	276	38.53	716.32	3543
Kyrkhult	937	116.91	801.47	2684
Kyrksten	258	30.46	847.01	5722
Kälarne	451	144.61	311.87	7896
Källby	1586	135.82	1167.72	5340
Källö-Knippla	369	28.92	1275.93	4476
Kärda	320	37.35	856.76	1564
Kärna	430	45.20	951.33	4480
Kärsta och Bredsdal	261	27.24	958.15	6266
Kättilsmåla	253	36.45	694.10	2686
Kättilstorp	253	44.33	570.72	5344
Kävlinge	9049	468.47	1931.61	3552
Kåge	2248	247.35	908.83	8228
Kågeröd	1446	161.12	897.47	3544
Kåhög	832	47.94	1735.50	4464
Kållekärr	560	53.86	1039.73	4468
Kållered	7456	479.82	1553.92	4472
Kånna	352	42.78	822.81	1900
Kårsta	457	44.45	1028.12	0224
Köping	17743	1185.89	1496.18	6268
Köpingebro	1134	98.16	1155.26	3556
Köpingsvik	599	118.17	506.90	2296
Köpmanholmen	1237	251.36	492.12	7540
Lagan	1744	272.95	638.94	1904
Laholm	6150	465.75	1320.45	4028
Lammhult	1459	225.33	647.49	1908
Landeryd	367	79.74	460.25	4032
Landfjärden	241	109.93	219.23	0226
Landsbro	1426	185.41	769.11	1568
Landskrona	30499	1208.50	2523.71	3560
Landvetter	7152	540.19	1323.98	4484
Lanesund och Överby	347	65.15	532.62	4482
Lanna	537	111.36	482.22	6028
Lanna	329	83.15	395.67	1572
Latorpsbruk	597	84.82	703.84	6032
Laxvik	475	55.24	859.88	4034
Laxå	3064	453.58	675.51	6036
Lekeryd	817	69.95	1167.98	1576
Leksand	5934	779.38	761.37	6608
Lenhovda	1744	232.76	749.27	1912
Lerdala	409	63.22	646.95	5348
Lerkil	505	138.69	364.12	4038
Lerum	16855	1426.87	1181.26	4920
Lesjöfors	1062	245.04	433.40	5732
Lessebo	2737	339.83	805.40	1916
Liatorp	555	85.30	650.64	1920
Lidatorp och Klövsta	340	34.29	991.54	0254
Liden	254	64.78	392.10	7548
Lidhult	611	109.32	558.91	1924
Lidingö	31561	1250.51	2523.85	0228
Lidköping	25644	1552.14	1652.17	5352
Lilla Edet	4862	425.93	1141.50	4924
Lilla Harrie	371	40.83	908.65	3568
Lilla Stenby	244	25.32	963.67	0230
Lilla Tjärby	914	79.73	1146.37	4036
Lillhaga	379	45.66	830.05	7178
Lillhärdal	335	114.46	292.68	7904
Lillkyrka	301	35.08	858.04	0588
Lillpite	429	165.76	258.81	8720
Lima	398	215.80	184.43	6612
Limedsforsen	441	316.54	139.32	6616
Limmared	1412	146.20	965.80	4928
Linderöd	404	75.84	532.70	2988
Lindesberg	9149	782.19	1169.66	6040
Lindholmen	860	70.99	1211.44	0232
Lindome	11037	729.06	1513.87	4488
Lindsdal	5510	359.08	1534.48	2300
Lindö	4915	319.86	1536.61	1144
Lingbo	429	250.61	171.18	7180
Linghed	618	209.76	294.62	6620
Linghem	2804	174.62	1605.77	1148
Linköping	104232	4215.68	2472.48	1152
Linneryd	488	120.10	406.33	1932
Listerby	883	131.51	671.43	2688
Lit	1040	125.01	831.93	7908
Ljugarn	238	155.88	152.68	2524
Ljung	734	86.41	849.44	4932
Ljunga	688	68.41	1005.70	1156
Ljungaverk	885	283.05	312.67	7552
Ljungby	15205	1193.49	1273.99	1936
Ljungbyhed	2046	296.89	689.14	2992
Ljungbyholm	1604	171.92	932.99	2304
Ljunghusen	2555	381.39	669.92	3572
Ljungsarp	203	40.46	501.73	4936
Ljungsbro	6620	420.91	1572.78	1160
Ljungskile	3375	360.14	937.14	4492
Ljungstorp och Jägersbo	401	60.90	658.46	3574
Ljusdal	6230	529.02	1177.65	7184
Ljusfallshammar	327	65.47	499.47	1164
Ljusne	1917	395.15	485.13	7188
Loftahammar	404	85.52	472.40	2308
Lomma	10837	481.99	2248.39	3576
Los	387	160.73	240.78	7192
Lotorp	701	95.91	730.89	1168
Lottefors	392	137.44	285.22	7196
Lucksta	346	35.65	970.55	7560
Ludvigsborg	1041	149.02	698.56	3580
Ludvika	14498	1099.63	1318.44	6624
Lugnet och Skälsmara	625	198.77	314.43	0314
Lugnås	653	90.06	725.07	5356
Luleå	46607	2908.97	1602.18	8724
Lund	444	112.70	393.97	7198
Lund	82800	2575.03	3215.50	3584
Lunde	399	136.62	292.05	7568
Lundsbrunn	887	123.73	716.88	5360
Lungvik	349	125.83	277.36	7564
Lunnarp	339	46.21	733.61	2996
Lurudden	205	44.45	461.19	0246
Lycksele	8513	852.64	998.43	8232
Lyrestad	479	59.66	802.88	5364
Lysekil	7628	375.43	2031.80	4496
Lysvik	341	80.96	421.20	5744
Läby	220	29.85	737.02	0590
Läckeby	847	101.88	831.37	2316
Länghem	989	102.97	960.47	4940
Länna	685	95.15	719.92	0592
Lärbro	484	116.70	414.74	2528
Långasjö	348	75.00	464.00	2312
Långsele	1584	244.91	646.77	7572
Långshyttan	1671	327.54	510.17	6632
Långvik	559	99.52	561.70	0234
Långviksmon	221	63.83	346.23	7576
Långås	534	71.47	747.17	4040
Låssby	251	30.94	811.25	4498
Löberöd	1127	77.21	1459.66	3588
Löddeköpinge	6290	361.56	1739.68	3592
Löderup	550	62.77	876.21	3596
Lödöse	1266	127.75	991.00	4944
Löftaskog	327	81.53	401.08	4042
Lögdeå	394	115.65	340.68	8236
Lönsboda	1903	228.31	833.52	3000
Lörby	264	73.77	357.87	2692
Löttorp	438	127.54	343.42	2324
Lövestad	643	74.64	861.47	3600
Lövstalöt	1046	70.70	1479.49	0596
Lövånger	761	131.61	578.22	8240
Löwenströmska lasarettet	518	75.94	682.12	0236
Madängsholm	425	81.28	522.88	5368
Mala	217	58.99	367.86	3008
Malmberget	5590	738.67	756.77	8732
Malmbäck	1031	145.67	707.76	1584
Malmköping	1977	130.62	1513.55	0796
Malmslätt	5214	262.67	1985.00	1172
Malmö	280415	7681.36	3650.59	3604
Maln	213	34.82	611.72	7204
Malung	5126	938.53	546.17	6636
Malungsfors	560	258.37	216.74	6640
Malå	2050	261.12	785.08	8244
Mantorp	3671	334.83	1096.38	1176
Marbäck	474	62.78	755.02	4948
Margretetorp	214	35.81	597.60	3010
Mariannelund	1468	219.32	669.34	1588
Marieby	236	81.90	288.16	7910
Mariedal	297	73.87	402.06	0242
Mariefred	3726	250.52	1487.31	0800
Marieholm	1598	127.07	1257.57	3608
Marielund	1726	116.79	1477.87	8734
Marielund	416	21.34	1949.39	0798
Mariestad	15591	1096.95	1421.30	5372
Markaryd	3966	490.26	808.96	1940
Marma	298	68.33	436.12	0600
Marmaskogen	253	28.76	879.69	7212
Marmaverken	371	111.62	332.38	7208
Marmorbyn	382	48.65	785.20	0802
Marstrand	1319	87.51	1507.26	4504
Matfors	3201	324.72	985.77	7580
Medle	552	144.19	382.83	8248
Medåker	224	52.09	430.02	6272
Mehedeby	463	71.62	646.47	0604
Mellansel	827	232.80	355.24	7584
Mellbystrand	1619	270.58	598.34	4044
Mellerud	3750	309.76	1210.61	4952
Mellösa	535	87.18	613.67	0804
Merlänna	356	45.53	781.90	0806
Misterhult	203	35.68	568.95	2328
Mjällby	1254	166.53	753.02	2696
Mjällom	275	70.57	389.68	7588
Mjöbäck	294	69.71	421.75	4956
Mjöhult	292	36.81	793.26	3612
Mjölby	12245	845.49	1448.27	1180
Mjönäs	217	74.61	290.85	5752
Mockfjärd	1937	350.32	552.92	6644
Mogata	301	36.22	831.03	1184
Mohed	393	103.09	381.22	7214
Moheda	1824	225.79	807.83	1944
Moholm	640	107.78	593.80	5376
Moliden	300	62.97	476.42	7592
Molkom	1863	242.61	767.90	5756
Mollösund	236	35.56	663.67	4508
Mora	10896	1235.57	881.86	6648
Mora	817	95.72	853.53	6652
Morgongåva	1409	159.08	885.72	6276
Morjärv	201	96.43	208.44	8740
Morup	259	52.92	489.42	4052
Moskosel	232	91.52	253.50	8744
Motala	29823	1928.62	1546.34	1188
Mullhyttan	503	145.27	346.25	6056
Mullsjö	5452	505.15	1079.28	5380
Munga	212	55.32	383.22	6278
Munka-Ljungby	2840	223.32	1271.72	3012
Munkedal	3718	540.94	687.32	4512
Munkfors	3054	731.10	417.73	5760
Munktorp	455	83.47	545.11	6280
Muskö	261	29.69	879.08	0238
Myckle	355	69.03	514.27	8252
Myggenäs	1230	122.29	1005.81	4516
Myresjö	646	90.54	713.50	1600
Myrviken	239	33.92	704.60	7912
Mysingsö	385	31.11	1237.54	2330
Mysterna	3418	107.28	3186.06	4518
Märsta	24068	764.17	3149.56	0240
Målerås	211	82.99	254.25	2332
Målilla	1524	325.63	468.02	2336
Målsryd	907	98.59	919.97	4960
Månkarbo	666	91.21	730.18	0608
Måttsund	558	103.52	539.03	8752
Möklinta	358	98.67	362.83	6284
Mölle	715	72.40	987.57	3616
Mölltorp	1050	129.89	808.38	5384
Mölnbo	1052	116.03	906.66	0244
Mölnlycke	15608	809.67	1927.70	4520
Mönsterås	4731	410.09	1153.65	2340
Mörarp	1893	114.89	1647.66	3620
Mörbylånga	1780	244.23	728.82	2344
Mörlunda	838	219.36	382.02	2348
Mörrum	3695	344.20	1073.50	2700
Mörsil	686	121.79	563.26	7916
Mörtnäs	1511	183.54	823.25	0248
Naglarby och Enbacka	961	120.53	797.31	6492
Nedansjö	257	44.01	583.96	7596
Nedre Gärdsjö	225	67.29	334.37	6660
Nikkala	435	123.36	352.63	8768
Nissafors	285	62.27	457.68	1604
Nitta	354	30.34	1166.78	4968
Njurundabommen	1983	216.23	917.08	7600
Njutånger	885	178.84	494.86	7216
Nogersund	495	51.67	958.00	2704
Nolvik	1025	87.76	1167.96	4522
Nora	6526	645.07	1011.67	6060
Norberg	4518	809.18	558.34	6292
Nordanö	435	46.52	935.08	6664
Nordingrå	306	64.85	471.86	7604
Nordkroken	423	39.94	1059.09	4974
Nordmaling	2546	308.28	825.87	8256
Nordmark	225	162.80	138.21	5764
Nore	411	50.40	815.48	7220
Norje	657	98.81	664.91	2708
Norr Amsberg	236	82.61	285.68	6666
Norr-Hede	261	79.49	328.34	7920
Norra Bro	687	73.24	938.01	6064
Norra Lagnö	332	88.38	375.65	0250
Norra Riksten	839	39.26	2137.04	0282
Norra Rörum	204	33.98	600.35	3622
Norra Visby	453	88.16	513.84	2506
Norra Åsum	1264	148.35	852.04	3016
Norrfjärden	1362	189.24	719.72	8776
Norrhult-Klavreström	1215	280.23	433.57	1948
Norrköping	87247	3567.55	2445.57	1192
Norrlandet	329	114.20	288.09	7224
Norrskedika	214	60.46	353.95	0610
Norrsundet	968	223.78	432.57	7228
Norrtälje	17275	753.70	2292.03	0252
Norrö	305	63.15	482.98	0256
Norsesund	274	64.78	422.97	4972
Norsholm	615	79.94	769.33	1196
Norsjö	2051	240.28	853.59	8268
Nossebro	1846	184.65	999.73	5388
Nusnäs	729	216.77	336.30	6672
Nya Långenäs	268	23.31	1149.72	4526
Nyborg	833	169.81	490.55	8928
Nybro	12810	1092.55	1172.49	2352
Nybrostrand	810	83.26	972.86	3632
Nygård	419	67.00	625.37	4978
Nygårds hagar	328	38.59	849.96	0262
Nyhammar	654	175.79	372.03	6676
Nykil	321	36.77	872.99	1200
Nykroppa	846	245.42	344.72	5772
Nykvarn	6497	439.33	1478.84	0260
Nykyrka	414	49.74	832.33	1204
Nyköping	29891	1343.30	2225.19	0812
Nyland	903	262.52	343.97	7616
Nymölla	272	114.65	237.24	3020
Nynäshamn	13510	667.58	2023.73	0264
Nälden	873	128.78	677.90	7932
Näs bruk	207	57.56	359.62	6684
Nässjö	16678	1143.66	1458.30	1608
Näsum	1117	119.58	934.10	3024
Näsviken	924	182.53	506.22	7232
Näsviken	203	64.88	312.89	7934
Näsåker	513	97.87	524.16	7620
Nättraby	3109	276.76	1123.36	2712
Nävekvarn	795	111.49	713.07	0816
Nävragöl	210	32.11	654.00	2716
Nås	417	170.84	244.09	6680
Nöbbele	257	55.96	459.26	1952
Nödinge-Nol	9822	598.67	1640.64	4976
Obbola	2197	256.08	857.94	8280
Ockelbo	2724	416.57	653.91	7236
Odensbacken	1374	146.76	936.22	6076
Odensberg	287	31.51	910.82	5392
Odensjö	2495	182.13	1369.90	1612
Oleby	353	110.79	318.62	5780
Olofstorp	3378	251.44	1343.46	4528
Olofström	7327	704.42	1040.15	2720
Olsfors	623	55.96	1113.30	4984
Olshammar	271	84.75	319.76	6080
Olstorp	1281	165.45	774.25	4986
Onsala	11951	1052.96	1134.99	4054
Onslunda	490	49.85	982.95	3028
Ope	453	84.71	534.77	7936
Optand	257	64.08	401.06	7942
Ormanäs och Stanstorp	438	143.94	304.29	3634
Ornäs	1068	94.83	1126.23	6692
Orrefors	719	123.02	584.46	2356
Orrviken	262	55.49	472.16	7938
Orsa	5308	1258.67	421.71	6696
Osby	7157	826.82	865.61	3032
Osbyholm	269	40.20	669.15	3636
Oskar-Fredriksborg	722	131.20	550.30	0268
Oskarshamn	17258	1310.01	1317.39	2360
Oskarström	4071	349.06	1166.28	4056
Ostvik	387	73.33	527.75	8284
Otterbäcken	722	146.62	492.43	5396
Ovanåker	212	70.00	302.86	7240
Ovesholm	299	19.00	1573.68	3034
Oxelösund	10870	1157.12	939.40	0820
Oxie	11493	429.22	2677.65	3640
Pajala	1958	377.83	518.22	8780
Parksidan	494	22.78	2168.57	0182
Pauliström	221	62.32	354.62	1620
Persberg	313	147.13	212.74	5784
Persbo	344	130.90	262.80	6920
Pershagen	2216	93.38	2373.10	0272
Perstorp	5665	543.05	1043.18	3036
Persön	223	45.31	492.17	8788
Pilgrimstad	386	63.18	610.95	7944
Piperskärr	551	63.37	869.50	2364
Piteå	22913	2473.64	926.29	8792
Porjus	328	73.83	444.26	8796
Pukavik	279	60.76	459.18	2724
Påarp	2789	159.70	1746.40	3644
Pålsboda	1552	146.43	1059.89	6088
Påläng	278	88.66	313.56	8804
Påryd	651	115.18	565.20	2368
Påskallavik	1083	112.38	963.69	2372
Rabbalshede	275	58.34	471.37	4532
Raksta	746	179.42	415.78	0274
Ramdala	217	41.90	517.90	2728
Ramnäs	1465	213.68	685.60	6296
Ramsberg	257	127.97	200.83	6092
Ramsele	968	196.67	492.20	7628
Ramstalund	311	23.17	1342.25	0606
Ramvik	691	188.92	365.76	7632
Ransta	881	107.15	822.21	6300
Rappestad	235	32.76	717.34	1212
Reftele	1282	159.86	801.95	1624
Rejmyre	900	114.79	784.04	1216
Rengsjö	264	58.56	450.82	7252
Repbäcken	220	66.84	329.14	6704
Resarö	2946	309.90	950.63	0276
Revingeby	545	65.37	833.72	3648
Riala	215	54.49	394.57	0278
Riddarhyttan	431	156.14	276.03	6304
Rimbo	4629	257.15	1800.12	0280
Rimforsa	2238	212.57	1052.83	1220
Ringarum	577	92.25	625.47	1224
Ringsegård	446	50.25	887.56	4058
Rinkaby	745	110.53	674.03	3040
Rinkabyholm	1607	120.66	1331.84	2376
Risögrund	697	90.83	767.37	8812
Rixö	357	123.54	288.98	4540
Robertsfors	2004	215.19	931.27	8292
Rockhammar	270	99.67	270.89	6096
Rockneby	869	163.33	532.05	2380
Roknäs	1238	305.36	405.42	8816
Rolfhamre och Måga	215	51.69	415.94	7210
Rolfs	1061	207.75	510.71	8820
Rolfstorp	513	74.84	685.46	4060
Roma kyrkby (Lövsta)	261	89.28	292.34	2534
Roma (Romakloster)	913	125.63	726.74	2532
Ronneby	12029	774.95	1552.23	2732
Ronnebyhamn	537	129.89	413.43	2734
Rosenfors	281	70.83	396.72	2384
Rosenlund	316	33.70	937.69	4988
Rosersberg	1671	183.62	910.03	0284
Rossön	352	153.53	229.27	7948
Rosvik	1735	192.84	899.71	8824
Rot	695	264.93	262.33	6708
Roteberg	393	80.87	485.97	7256
Rottne	2354	187.79	1253.53	1956
Rottneros	448	158.11	283.35	5788
Ruda	613	119.81	511.64	2388
Rundvik	817	183.20	445.96	8296
Runemo	263	66.43	395.91	7258
Runhällen	217	49.81	435.66	6308
Runtuna	250	34.98	714.69	0828
Rusksele	200	63.31	315.91	8300
Rutvik	839	73.76	1137.47	8828
Rya	290	61.83	469.03	4542
Ryd	1415	206.32	685.83	1960
Rydaholm	1474	149.05	988.93	1632
Rydal	402	54.88	732.51	4992
Rydbo	582	35.10	1658.12	0292
Rydboholm	1023	125.70	813.84	4996
Rydebäck	5141	208.44	2466.42	3652
Rydsgård	1361	116.44	1168.84	3656
Rydsnäs	277	74.67	370.97	1228
Rydöbruk	388	113.74	341.13	4068
Ryssby	707	109.57	645.25	1964
Rälla	407	79.64	511.05	2266
Rängs sand	808	55.69	1450.89	3658
Ränneslöv	413	69.43	594.84	4072
Rättarboda	237	36.06	657.24	0286
Rättvik	4686	834.31	561.66	6716
Rävemåla	294	61.26	479.92	1968
Rävlanda	1462	146.37	998.84	4544
Råby	885	91.94	962.58	0618
Råda	448	101.38	441.90	5792
Råneå	1912	205.48	930.50	8832
Rångedala	392	73.47	533.55	5000
Rånnaväg	336	49.35	680.85	5004
Rånäs	428	54.94	779.03	0294
Röbäck	2230	118.78	1877.42	8304
Röda holme	279	49.83	559.90	3898
Rödbo	278	40.55	685.57	4546
Rödeby	3402	332.51	1023.13	2736
Röfors	207	109.92	188.32	6100
Röke	219	66.36	330.02	3044
Rönneshytta	283	71.31	396.86	6104
Rönnäng	1437	157.27	913.72	4548
Rörvik	523	92.57	564.98	1636
Rörö	269	52.76	509.86	4552
Röstånga	839	131.61	637.49	3660
Sala	12289	1101.42	1115.74	6312
Salbohed	259	75.39	343.55	6316
Saleby	232	47.90	484.34	5404
Saltsjöbaden	9491	541.94	1751.30	0296
Saltvik	352	26.13	1347.11	2394
Sandared	3160	255.11	1238.68	5008
Sandarne	2067	475.73	434.49	7268
Sandhem	702	132.45	530.01	5408
Sandhult	608	55.14	1102.65	5012
Sandskogen	621	56.89	1091.58	3662
Sandslån	272	109.50	248.40	7636
Sandviken	22965	1565.98	1466.49	7272
Sandviken	338	71.55	472.40	0310
Sangis	572	247.86	230.78	8836
Sankt Olof	624	73.45	849.56	3048
Sannahed	417	46.27	901.23	6108
Saxdalen	604	175.19	344.77	6720
Saxtorpsskogen	973	145.88	666.99	3718
Segersta	313	140.00	223.57	7276
Segersäng	608	56.12	1083.39	0330
Segmon	437	131.44	332.47	5796
Selja	548	114.71	477.73	6724
Sennan	399	73.41	543.52	4076
Seskarö	491	161.52	303.99	8840
Sexdrega	787	91.53	859.83	5016
Sibbhult	1364	147.25	926.32	3052
Sibble	309	65.64	470.75	0298
Sibo	301	153.64	195.91	7280
Sidensjö	399	105.44	378.41	7644
Sifferbo	414	66.74	620.32	6728
Sigtuna	8444	456.66	1849.08	0300
Siljansnäs	1268	380.98	332.83	6732
Silverdalen	725	138.99	521.62	2400
Simlångsdalen	587	66.50	882.71	4080
Simonstorp	258	51.06	505.29	1232
Simris	211	26.20	805.34	3056
Simrishamn	6527	449.06	1453.48	3060
Sjuhalla	204	45.54	447.96	2742
Sjulsmark	350	64.62	541.63	8846
Sjunnen	422	46.75	902.67	1644
Sjuntorp	2124	240.15	884.45	5020
Sjöberg	4310	138.90	3102.95	0304
Sjöbo sommarby och Svansjö sommarby	668	89.29	748.12	3714
Sjöbo	6724	526.71	1276.60	3664
Sjödiken	438	58.41	749.87	3668
Sjögestad	300	41.38	724.99	1236
Sjömarken	2829	225.43	1254.94	5024
Sjörröd	1077	213.31	504.90	3062
Sjösa	483	52.18	925.64	0832
Sjötorp	494	85.01	581.11	5412
Sjövik	905	83.96	1077.89	5032
Skagersvik	250	56.50	442.48	5416
Skanör med Falsterbo	6937	541.96	1279.98	3672
Skara	10841	768.20	1411.22	5420
Skattkärr	2135	207.15	1030.65	5800
Skattungbyn	295	143.29	205.88	6736
Skavkulla och Skillingenäs	621	89.17	696.42	2738
Skebobruk	282	131.80	213.96	0308
Skeda udde	283	36.65	772.17	1238
Skedala	351	41.56	844.56	4084
Skede	304	58.64	518.42	1648
Skedvi kyrkby	208	38.09	546.08	6764
Skee	583	111.74	521.75	4556
Skegrie	1106	68.80	1607.56	3676
Skelleftehamn	3184	401.24	793.54	8308
Skellefteå	32775	2174.43	1507.29	8312
Skepparkroken	743	78.10	951.34	3063
Skepplanda	1803	103.77	1737.50	5036
Skeppsdalsström	1573	283.72	554.42	0312
Skeppshult	365	85.40	427.40	1652
Skillingaryd	3889	377.86	1029.22	1656
Skillinge	859	86.72	990.54	3072
Skinnskatteberg	2287	291.52	784.51	6320
Skivarp	1257	125.92	998.25	3680
Skoby	230	44.83	513.05	0614
Skog	302	116.55	259.12	7284
Skoghall	13265	1060.74	1250.54	5804
Skogsby	569	78.50	724.84	2404
Skogstorp	2860	264.56	1081.04	0840
Skogstorp	2124	139.05	1527.51	4088
Skottorp	475	76.02	624.84	4092
Skottsund	1069	108.29	987.16	7652
Skrea	1064	101.65	1046.73	4096
Skreanäs	243	19.12	1270.92	4094
Skriketorp	246	31.88	771.64	1242
Skruv	490	124.64	393.13	1976
Skultorp	3642	269.05	1353.65	5424
Skultuna	3133	213.09	1470.27	6324
Skummeslövsstrand	491	77.30	635.19	4098
Skumparp	205	15.42	1329.44	3682
Skurup	7565	476.73	1586.85	3684
Skutskär	6075	735.31	826.18	0616
Skyttorp	666	88.98	748.48	0620
Skällinge	626	68.40	915.20	4100
Skänninge	3140	276.04	1137.52	1244
Skärblacka	4059	389.20	1042.91	1248
Skärgårdsstad	1924	165.74	1160.85	0306
Skärhamn	3193	246.49	1295.39	4560
Skärplinge	673	95.08	707.82	0624
Skärstad	341	23.26	1466.04	1660
Skånes-Fagerhult	856	164.24	521.19	3080
Skåpafors	313	112.30	278.72	5040
Skåre	5402	388.26	1391.34	5808
Sköldinge	604	101.26	596.48	0844
Sköllersta	1131	164.18	688.88	6112
Skölsta	344	39.00	882.05	0622
Skövde	34466	2031.16	1696.86	5428
Slaka	592	111.86	529.23	1252
Slite	1483	250.71	591.52	2536
Slottsbron	1039	158.44	655.77	5810
Slottsskogen	1492	166.60	895.56	0626
Slöinge	950	102.18	929.73	4104
Smedby	3487	205.93	1693.29	2408
Smedjebacken	5100	636.26	801.56	6744
Smedstorp	363	59.38	611.32	3084
Smygehamn	1278	104.77	1219.81	3688
Smålandsstenar	4530	464.88	974.45	1664
Smögen	1329	104.91	1266.80	4564
Snöveltorp	333	60.63	549.23	1170
Solberga	374	67.28	555.89	1668
Solberga	409	107.63	380.01	0302
Sollebrunn	1440	140.04	1028.28	5044
Sollefteå	8562	939.59	911.25	7660
Sollerön	901	250.42	359.80	6748
Solsidan	349	23.44	1488.91	0318
Solvarbo	321	63.90	502.35	6752
Sommen	772	129.05	598.22	1672
Sonstorp	429	57.40	747.39	1256
Sorsele	1277	182.07	701.38	8316
Sorunda	1307	110.32	1184.74	0320
Sparreholm	741	115.91	639.29	0848
Spjutsbygd	383	51.65	741.53	2744
Spångsholm	408	66.89	609.96	1260
Staffanstorp	14808	662.64	2234.70	3696
Stallarholmen	1623	195.17	831.58	0852
Stamsjö	408	26.59	1534.41	4374
Starrkärr och Näs	499	101.67	490.80	4566
Stava	305	89.66	340.17	0326
Stavreviken	216	30.06	718.56	7668
