Song title	Artist	Decade	Genre	Single / Pack name	Release date	Family Friendly	Additional Rock Band 3 Features
"Crosseyed and Painless"	Talking Heads	1980s	New Wave	Talking Heads 01	Sep.1,2009	Yes	None
" Girlfriend Is Better "	Talking Heads	1980s	New Wave	Talking Heads 01	Sep.1,2009	Yes	None
" Once in a Lifetime "	Talking Heads	1980s	New Wave	Talking Heads 01	Sep.1,2009	No	None
" Take Me to the River "	Talking Heads	1970s	New Wave	Talking Heads 01	Sep.1,2009	No	None
"Less Talk More Rokk"	Freezepop	2000s	Pop-Rock	Freezepop 01	Sep.8,2009	No	None
"Get Ready 2 Rokk"	Freezepop	2000s	Pop-Rock	Freezepop 01	Sep.8,2009	Yes	None
"Science Genius Girl"	Freezepop	2000s	Pop-Rock	Freezepop 01	Sep.8,2009	Yes	None
"Re: Your Brains"	Jonathan Coulton	2000s	Pop-Rock	The PAX 2009 Collection	Sep.8,2009	No	None
"Origin of Species"	MC Frontalot	2000s	Other	The PAX 2009 Collection	Sep.8,2009	No	None
"Opening Band"	Paul and Storm	2000s	Pop-Rock	The PAX 2009 Collection	Sep.8,2009	No	None
" Kryptonite "	3 Doors Down	2000s	Rock	Single	Sep.8,2009	Yes	None
" Miss Murder "	AFI	2000s	Alternative	Single	Sep.8,2009	No	None
"Gasoline"	Audioslave	2000s	Rock	Single	Sep.8,2009	No	None
" ABC "	Jackson 5	1970s	Pop-Rock	Single	Sep.8,2009	Yes	None
"666"	Anvil	2000s	Metal	Anvil 01	Sep.15,2009	No	None
"Metal on Metal"	Anvil	2000s	Metal	Anvil 01	Sep.15,2009	No	None
"This is Thirteen"	Anvil	2000s	Metal	Anvil 01	Sep.15,2009	No	None
"Pick Me Up"	Dinosaur Jr.	2000s	Alternative	Single	Sep.15,2009	Yes	None
" The Wagon "	Dinosaur Jr.	1990s	Alternative	Single	Sep.15,2009	Yes	None
"Hand Me Down World"	The Guess Who	1970s	Classic Rock	Single	Sep.15,2009	Yes	None
" No Time "	The Guess Who	1970s	Classic Rock	Single	Sep.15,2009	Yes	None
"Rock Your Socks"	Tenacious D	2000s	Rock	Single	Sep.15,2009	No	None
" Tribute "	Tenacious D	2000s	Rock	Single	Sep.15,2009	No	None
"Gonna See My Friend"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	Backing vocals
"Got Some"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	Backing vocals
" The Fixer "	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	Yes	Backing vocals
"Johnny Guitar"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	Backing vocals
"Just Breathe"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	Backing vocals
"Amongst the Waves"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	None
"Unthought Known"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	Yes	Backing vocals
"Supersonic"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	Backing vocals
"Speed of Sound"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	Yes	Backing vocals
"Force of Nature"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	None
"The End"	Pearl Jam	2000s	Grunge	Backspacer	Sep.20,2009	No	None
" A Looking in View "	Alice in Chains	2000s	Grunge	Alice in Chains 01	Sep.29,2009	No	None
" Check My Brain "	Alice in Chains	2000s	Grunge	Alice in Chains 01	Sep.29,2009	Yes	None
" No Excuses "	Alice in Chains	1990s	Grunge	Alice in Chains 01	Sep.29,2009	Yes	None
" Rooster "	Alice in Chains	1990s	Grunge	Alice in Chains 01	Sep.29,2009	No	Pro Guitar/Bass
" Would? "	Alice in Chains	1990s	Grunge	Alice in Chains 01	Sep.29,2009	No	None
" I Will Not Bow "	Breaking Benjamin	2000s	Nu-Metal	Breaking Benjamin 01	Sep.29,2009	No	None
" So Cold "	Breaking Benjamin	2000s	Nu-Metal	Breaking Benjamin 01	Sep.29,2009	No	None
" The Diary of Jane "	Breaking Benjamin	2000s	Nu-Metal	Breaking Benjamin 01	Sep.29,2009	Yes	None
"U Suck"	Just Kait	2000s	Rock	Single	Sep.29,2009	No	None
"Hey Dude"	Kula Shaker	1990s	Alternative	Single	Sep.29,2009	No	None
"Knight on the Town"	Kula Shaker	1990s	Alternative	Single	Sep.29,2009	Yes	None
" Many Shades of Black "	The Raconteurs	2000s	Rock	The Raconteurs 01	Oct.6,2009	Yes	None
" Salute Your Solution "	The Raconteurs	2000s	Rock	The Raconteurs 01	Oct.6,2009	Yes	None
" Steady, As She Goes "	The Raconteurs	2000s	Rock	The Raconteurs 01	Oct.6,2009	Yes	None
"Dance Epidemic"	Electric Six	2000s	Rock	Electric Six 01	Oct.6,2009	No	None
" Gay Bar "	Electric Six	2000s	Rock	Electric Six 01	Oct.6,2009	No	None
"I Don't Like You"	Electric Six	2000s	Rock	Electric Six 01	Oct.6,2009	Yes	None
" Head Over Feet "	Alanis Morissette	1990s	Pop-Rock	Single	Oct.6,2009	Yes	None
" Ironic "	Alanis Morissette	1990s	Pop-Rock	Single	Oct.6,2009	Yes	None
" Handlebars "	Flobots	2000s	Alternative	Single	Oct.6,2009	No	None
"(We Are) The Road Crew '08"	Motörhead	2000s	Metal	Brütal Legend	Oct.13,2009	No	None
"The Metal"	Tenacious D	2000s	Rock	Brütal Legend	Oct.13,2009	Yes	None
"More Than Meets the Eye"	Testament	2000s	Metal	Brütal Legend	Oct.13,2009	No	None
"Show Me the Way"	Black Tide	2000s	Metal	Single	Oct.13,2009	Yes	None
" What's My Age Again? "	Blink-182	1990s	Punk	Single	Oct.13,2009	No	None
" Satch Boogie "	Joe Satriani	1980s	Rock	Single	Oct.13,2009	Yes	None
" Surfing with the Alien "	Joe Satriani	1980s	Rock	Single	Oct.13,2009	Yes	None
"Icarus - Borne on the Wings of Steel" (Live)	Kansas	1970s	Prog	Single	Oct.13,2009	Yes	None
"Point of Know Return" (Live)	Kansas	1970s	Prog	Single	Oct.13,2009	Yes	None
"Andres"	L7	1990s	Grunge	Single	Oct.13,2009	No	None
" Another One Bites the Dust "	Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	No	None
" Crazy Little Thing Called Love "	Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	Yes	None
" One Vision "	Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	No	Pro Guitar/Bass
" Fat Bottomed Girls "	Queen	1970s	Classic Rock	Queen 01	Oct.20,2009	No	None
" I Want It All "	Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	Yes	Pro Guitar/Bass
" I Want to Break Free "	Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	No	Pro Guitar/Bass
" Killer Queen "	Queen	1970s	Classic Rock	Queen 01	Oct.20,2009	No	Pro Guitar/Bass
" Somebody to Love "	Queen	1970s	Classic Rock	Queen 01	Oct.20,2009	No	Pro Guitar/Bass
" Tie Your Mother Down "	Queen	1970s	Classic Rock	Queen 01	Oct.20,2009	No	None
" Under Pressure "	Queen	1980s	Classic Rock	Queen 01	Oct.20,2009	Yes	Pro Guitar/Bass
" Dragula "	Rob Zombie	1990s	Nu-Metal	Rob Zombie 01	Oct.27,2009	No	None
"Burn"	Rob Zombie	2000s	Nu-Metal	Rob Zombie 01	Oct.27,2009	No	None
" Superbeast "	Rob Zombie	1990s	Nu-Metal	Rob Zombie 01	Oct.27,2009	No	None
" White Unicorn "	Wolfmother	2000s	Rock	Wolfmother 01	Oct.27,2009	No	None
" New Moon Rising "	Wolfmother	2000s	Rock	Wolfmother 01	Oct.27,2009	Yes	None
"Pilgrim"	Wolfmother	2000s	Rock	Wolfmother 01	Oct.27,2009	Yes	None
"Sundial"	Wolfmother	2000s	Rock	Wolfmother 01	Oct.27,2009	Yes	None
" Woman "	Wolfmother	2000s	Rock	Wolfmother 01	Oct.27,2009	Yes	None
"Rock Me"	Liz Phair	2000s	Pop-Rock	Single	Oct.27,2009	No	None
"Best of Me"	Morningwood	2000s	Pop-Rock	Single	Oct.27,2009	Yes	None
"Sugarbaby"	Morningwood	2000s	Pop-Rock	Single	Oct.27,2009	No	None
" Best of You "	Foo Fighters	2000s	Alternative	Foo Fighters 03	Nov.3,2009	Yes	None
" The Pretender "	Foo Fighters	2000s	Alternative	Foo Fighters 03	Nov.3,2009	Yes	Pro Guitar/Bass
" Wheels "	Foo Fighters	2000s	Alternative	Foo Fighters 03	Nov.3,2009	Yes	None
"Word Forward"	Foo Fighters	2000s	Alternative	Foo Fighters 03	Nov.3,2009	Yes	None
" About a Girl "	Nirvana	1980s	Grunge	Nirvana Bleach	Nov.3,2009	Yes	None
"Blew"	Nirvana	1980s	Grunge	Nirvana Bleach	Nov.3,2009	Yes	None
"School"	Nirvana	1980s	Grunge	Nirvana Bleach	Nov.3,2009	Yes	None
"Fake Friends"	Joan Jett & The Blackhearts	1980s	Punk	Single	Nov.3,2009	Yes	None
"A Day Like This"	SpongeBob SquarePants	2000s	Other	SpongeBob SquarePants 02	Nov.10,2009	Yes	None
" Employee of the Month "	SpongeBob SquarePants	2000s	Other	SpongeBob SquarePants 02	Nov.10,2009	Yes	None
"Ridin' the Hook"	SpongeBob SquarePants	2000s	Other	SpongeBob SquarePants 02	Nov.10,2009	Yes	None
" Dead Leaves and the Dirty Ground "	The White Stripes	2000s	Rock	The White Stripes 01	Nov.10,2009	Yes	Pro Guitar/Bass
"Girl, You Have No Faith in Medicine"	The White Stripes	2000s	Rock	The White Stripes 01	Nov.10,2009	Yes	None
" Icky Thump "	The White Stripes	2000s	Rock	The White Stripes 01	Nov.10,2009	No	None
" Smash It Up (Part II) "	The Damned	1970s	Punk	Single	Nov.10,2009	Yes	None
" Club Foot "	Kasabian	2000s	Rock	Single	Nov.10,2009	Yes	None
"Beautiful Thieves"	AFI	2000s	Alternative	AFI 01	Nov.17,2009	No	None
"End Transmission"	AFI	2000s	Alternative	AFI 01	Nov.17,2009	No	None
" Love Like Winter "	AFI	2000s	Alternative	AFI 01	Nov.17,2009	No	None
" Medicate "	AFI	2000s	Alternative	AFI 01	Nov.17,2009	No	None
" The Leaving Song Pt. II "	AFI	2000s	Alternative	AFI 01	Nov.17,2009	No	None
" Walk Like An Egyptian "	The Bangles	1980s	Rock	Single	Nov.17,2009	Yes	None
" New Fang "	Them Crooked Vultures	2000s	Rock	Single	Nov.17,2009	Yes	None
"A Thing About You" (Live)	Tom Petty and the Heartbreakers	2000s	Rock	Tom Petty & the Heartbreakers Live Anthology 01	Nov.24,2009	Yes	None
" American Girl " (Live)	Tom Petty and the Heartbreakers	2000s	Rock	Tom Petty & the Heartbreakers Live Anthology 01	Nov.24,2009	No	None
" Even the Losers " (Live)	Tom Petty and the Heartbreakers	2000s	Rock	Tom Petty & the Heartbreakers Live Anthology 01	Nov.24,2009	No	None
" Here Comes My Girl " (Live)	Tom Petty and the Heartbreakers	2000s	Rock	Tom Petty & the Heartbreakers Live Anthology 01	Nov.24,2009	Yes	None
" Mary Jane's Last Dance " (Live)	Tom Petty and the Heartbreakers	2000s	Rock	Tom Petty & the Heartbreakers Live Anthology 01	Nov.24,2009	No	None
" Refugee " (Live)	Tom Petty and the Heartbreakers	2000s	Rock	Tom Petty & the Heartbreakers Live Anthology 01	Nov.24,2009	Yes	None
" Miss Independent "	Kelly Clarkson	2000s	Pop-Rock	Single	Nov.24,2009	Yes	None
" Who Knew "	P!nk	2000s	Pop-Rock	Single	Nov.24,2009	Yes	None
" Our Lips Are Sealed "	The Go-Go's	1980s	Pop-Rock	Single	Nov.24,2009	Yes	None
" Come As You Are " (Live from MTV Unplugged )	Nirvana	1990s	Grunge	Nirvana 02	Dec.1,2009	Yes	Pro Guitar/Bass
" Lithium " ( Live at Reading )	Nirvana	2000s	Grunge	Nirvana 02	Dec.1,2009	No	Pro Guitar/Bass
" Smells Like Teen Spirit "	Nirvana	1990s	Grunge	Nirvana 02	Dec.1,2009	No	Pro Guitar/Bass
" (You Can Still) Rock in America "	Night Ranger	1980s	Rock	Night Ranger 01	Dec.1,2009	Yes	None
" Don't Tell Me You Love Me "	Night Ranger	1980s	Rock	Night Ranger 01	Dec.1,2009	Yes	None
"You're Gonna Hear From Me"	Night Ranger	2000s	Rock	Night Ranger 01	Dec.1,2009	Yes	None
" Duality "	Slipknot	2000s	Nu-Metal	Slipknot 01	Dec.8,2009	No	None
" Psychosocial "	Slipknot	2000s	Nu-Metal	Slipknot 01	Dec.8,2009	No	None
" Sulfur "	Slipknot	2000s	Nu-Metal	Slipknot 01	Dec.8,2009	No	None
" I Am a Rock "	Simon & Garfunkel	1960s	Classic Rock	Single	Dec.8,2009	Yes	None
" The Sounds of Silence "	Simon & Garfunkel	1960s	Classic Rock	Single	Dec.8,2009	Yes	None
"Dreaming of Love"	Lights Resolve	2000s	Indie Rock	Single	Dec.8,2009	Yes	None
"Christian's Inferno"	Green Day	2000s	Rock	Green Day 02	Dec.15,2009	No	Backing vocals
" Last of the American Girls "	Green Day	2000s	Rock	Green Day 02	Dec.15,2009	Yes	Backing vocals
"¡Viva la Gloria!"	Green Day	2000s	Rock	Green Day 02	Dec.15,2009	Yes	Backing vocals
" Kings and Queens "	30 Seconds to Mars	2000s	Emo	Single	Dec.15,2009	No	None
" This Is War "	30 Seconds to Mars	2000s	Emo	Single	Dec.15,2009	No	None
" Gives You Hell "	All-American Rejects	2000s	Emo	Single	Dec.15,2009	No	None
" Beverly Hills "	Weezer	2000s	Rock	Weezer 03	Dec.22,2009	No	None
"Let It All Hang Out"	Weezer	2000s	Rock	Weezer 03	Dec.22,2009	No	None
" Build a Bridge "	Limp Bizkit	2000s	Nu-Metal	Single	Dec.22,2009	Yes	None
"A Lot Like Me"	The Offspring	2000s	Rock	Single	Dec.22,2009	Yes	None
" Ocean Avenue "	Yellowcard	2000s	Emo	Single	Dec.22,2009	Yes	None
" Any Man of Mine "	Shania Twain	1990s	Country	Going Country 02	Dec.29,2009	No	None
"Cry Lonely"	Cross Canadian Ragweed	2000s	Country	Going Country 02	Dec.29,2009	No	None
" Good Time "	Alan Jackson	2000s	Country	Going Country 02	Dec.29,2009	No	None
" I Told You So "	Keith Urban	2000s	Country	Going Country 02	Dec.29,2009	No	None
" She's Country "	Jason Aldean	2000s	Country	Going Country 02	Dec.29,2009	No	None
" The Gambler "	Kenny Rogers	1970s	Country	Going Country 02	Dec.29,2009	No	None
