Song title	Artist	Year	Genre	Single / Pack name	Release date	Family Friendly	Additional Rock Band 3 Features
"Mica"	Mission of Burma	1982	Punk	Mission of Burma 01	Nov.18,2008	Yes	None
"That's How I Escaped My Certain Fate"	Mission of Burma	1982	Punk	Mission of Burma 01	Nov.18,2008	Yes	None
" That's When I Reach for My Revolver "	Mission of Burma	1981	Punk	Mission of Burma 01	Nov.18,2008	No	None
"Forever"	In This Moment	2008	Metal	Century Media Girls of Metal 01	Nov.18,2008	Yes	None
"Closer"	Lacuna Coil	2006	Metal	Century Media Girls of Metal 01	Nov.18,2008	No	None
" Swamped "	Lacuna Coil	2002	Metal	Century Media Girls of Metal 01	Nov.18,2008	Yes	None
"Gone"	Crooked X	2008	Metal	Single	Nov.18,2008	Yes	None
" Mr. Brightside "	The Killers	2004	Alternative	The Killers 01	Nov.25,2008	No	None
" Spaceman "	The Killers	2008	Alternative	The Killers 01	Nov.25,2008	Yes	None
" Smile Like You Mean It "	The Killers	2004	Alternative	The Killers 01	Nov.25,2008	Yes	None
"Caprici Di Diablo"	Yngwie Malmsteen's Rising Force	2008	Metal	Yngwie Malmsteen 01	Nov.25,2008	No	None
"Damnation Game"	Yngwie Malmsteen's Rising Force	2008	Metal	Yngwie Malmsteen 01	Nov.25,2008	No	None
"Red Devil"	Yngwie Malmsteen's Rising Force	2008	Metal	Yngwie Malmsteen 01	Nov.25,2008	No	None
" Jesus Christ Pose "	Soundgarden	1991	Grunge	Single	Nov.25,2008	No	None
" Pretty Noose "	Soundgarden	1996	Grunge	Single	Nov.25,2008	No	Pro Guitar/Bass
" Laid to Rest "	Lamb of God	2004	Metal	Single	Nov.25,2008	No	None
"Are You Dead Yet?"	Children of Bodom	2005	Metal	Single	Dec.2,2008	No	None
" Tutto è possibile "	Finley	2006	Punk	Single	Dec.2,2008	Yes	None
"Hay Poco Rock N Roll"	Platero y Tú	1994	Rock	Single	Dec.2,2008	No	None
" Tempted "	Squeeze	1981	Rock	Single	Dec.2,2008	Yes	None
" Ready, Set, Go! "	Tokio Hotel	2007	Pop-Rock	Single	Dec.2,2008	Yes	None
"Real World"	All-American Rejects	2008	Emo	Single	Dec.2,2008	No	None
"Headphones On"	Miranda Cosgrove	2008	Pop-Rock	Single	Dec.2,2008	Yes	None
"Body I Occupy"	The Naked Brothers Band	2008	Pop-Rock	Single	Dec.2,2008	Yes	None
"I Don't Want to Go to School"	The Naked Brothers Band	2008	Pop-Rock	Single	Dec.2,2008	Yes	None
" Just a Girl "	No Doubt	1995	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" It's My Life "	No Doubt	2003	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Hey Baby "	No Doubt	2003	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Bathwater "	No Doubt	2003	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Sunday Morning "	No Doubt	1995	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Hella Good "	No Doubt	2003	Pop-Rock	The Singles 1992-2003	Dec.9,2008	No	None
" Underneath It All "	No Doubt	2003	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Excuse Me Mr. "	No Doubt	1995	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Running "	No Doubt	2003	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Spiderwebs "	No Doubt	1995	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Simple Kind of Life "	No Doubt	2003	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Don't Speak "	No Doubt	1995	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Ex-Girlfriend "	No Doubt	2003	Pop-Rock	The Singles 1992-2003	Dec.9,2008	Yes	None
" Mud on the Tires "	Brad Paisley	2003	Country	Going Country 01	Dec.16,2008	Yes	None
" Hillbilly Deluxe "	Brooks & Dunn	2005	Country	Going Country 01	Dec.16,2008	No	None
" Free and Easy (Down the Road I Go) "	Dierks Bentley	2006	Country	Going Country 01	Dec.16,2008	Yes	None
" Sin Wagon "	Dixie Chicks	1999	Country	Going Country 01	Dec.16,2008	No	None
" Gunpowder & Lead "	Miranda Lambert	2007	Country	Going Country 01	Dec.16,2008	No	None
"Hanukkah Blessings"	Barenaked Ladies	2004	Rock	Rockin' the Holidays 2008	Dec.23,2008	Yes	None
" Christmas Is the Time to Say I Love You "	Billy Squier	1994	Classic Rock	Rockin' the Holidays 2008	Dec.23,2008	Yes	None
" Blue Christmas "	The Pretenders	2008	Rock	Rockin' the Holidays 2008	Dec.23,2008	Yes	None
" This Is a Call "	Foo Fighters	1995	Alternative	Foo Fighters 01	Dec.23,2008	Yes	None
" Times Like These "	Foo Fighters	2002	Alternative	Foo Fighters 01	Dec.23,2008	Yes	None
" DOA "	Foo Fighters	2005	Alternative	Foo Fighters 01	Dec.23,2008	Yes	None
" Space Truckin' "	Deep Purple	1972	Classic Rock	Single	Dec.30,2008	Yes	None
"Funk #49"	James Gang	1970	Classic Rock	Single	Dec.30,2008	Yes	Pro Guitar/Bass
"Hymn 43"	Jethro Tull	1971	Prog	Single	Dec.30,2008	No	None
