Song title	Artist	Decade	Genre	Release date ( Xbox360 )	Release date ( PlayStation3 )	Release date ( Wii )
"Mr. Sun"	CJ	2000s	Pop-Rock	May24,2010	No	No
"Oye Vaya"	Earl Greyhound	2010s	Rock	May24,2010	June2,2011	No
"Stay Up With Me"	After the Fall	2010s	Rock	May24,2010	No	No
"You All Everybody"	Drive Shaft	2000s	Rock	May24,2010	July13,2010	Jan.4,2011
"Dharma Lady"	Geronimo Jackson	2010s	Classic Rock	May25,2010	No	No
"How We Roll"	Plushgun	2000s	New Wave	May27,2010	July20,2010	No
" The Way You Move "	The Audition	2000s	Alternative	May27,2010	June2,2011	No
"We Are the One"	Anti-Flag	2000s	Punk	May27,2010	Sep.7,2010	Nov.16,2010
" American Hero "	Ron Wasserman	2010s	Rock	June1,2010	No	No
"Disappear in You"	Clandestine	2000s	Metal	June1,2010	No	No
"Freakshow"	HourCast	2010s	Rock	June1,2010	Dec.21,2010	No
"Hail Destroyer"	Cancer Bats	2000s	Metal	June1,2010	Sep.28,2010	No
"Live For Today"	Sullivan DeMott	2000s	Rock	June1,2010	No	No
"Shake"	A t o m	2010s	New Wave	June1,2010	No	No
"Sorceress"	Cancer Bats	2000s	Metal	June1,2010	No	No
" This F***ing Job "	Drive-By Truckers	2010s	Rock	June1,2010	No	No
"When We Fall"	Gentlemen At Arms	2000s	Alternative	June1,2010	No	No
" Blow at High Dough "	The Tragically Hip	1980s	Rock	June7,2010	Aug.17,2010	Nov.9,2010
"Dead Wrong"	Cancer Bats	2010s	Metal	June7,2010	No	No
"Haunt My Mind"	The New Regime	2000s	Rock	June7,2010	No	No
" Higher "	Creed	1990s	Rock	June7,2010	July27,2010	Sep.28,2010
"Riot Act"	Exodus	2000s	Metal	June7,2010	Sep.21,2010	Nov.2,2010
"Smile (Live)"	The Gufs	2000s	Rock	June7,2010	No	No
" Surprise "	Verse Versus Chorus	2000s	Indie Rock	June7,2010	No	No
"Walking Away"	Made Avail	2010s	Alternative	June7,2010	No	No
" Fake It "	Seether	2000s	Metal	June8,2010	Aug.3,2010	Oct.5,2010
"Soldier from the Surface"	Windtunnel Syndrome	2010s	Prog	June8,2010	No	No
"Tap Dancing In A Minefield"	The New Regime	2000s	Rock	June8,2010	No	No
"Daughter"	The Reverend H Chronicles	2000s	Metal	June9,2010	No	No
"I Wanna Be An Alien's Pet"	Alien Downlink	2000s	Punk	June9,2010	No	No
"Friday the 13th"	The Riptides	2010s	Punk	June11,2010	No	No
"Molten Death"	Man Parts	2010s	Novelty	June11,2010	No	No
"Tree Village"	Dance Gavin Dance	2000s	Metal	June11,2010	Aug.10,2010	Nov.9,2010
" Young "	Twintapes	2000s	Indie Rock	June11,2010	No	No
" America Underwater "	LoveHateHero	2000s	Emo	June14,2010	Oct.12,2010	Nov.23,2010
"Anybody Else"	Audible Mainframe	2000s	Urban	June14,2010	June2,2011	No
"Bang Camaro"	Bang Camaro	2000s	Rock	June14,2010	Aug.31,2010	Sep.14,2010
"Cheating, Lying, Stealing"	Bang on a Can All-Stars / David Lang	2000s	Other	June14,2010	No	No
"Circles"	Something Opus	2000s	Indie Rock	June14,2010	No	No
"Detroit City"	Drivin' N' Cryin'	2000s	Rock	June14,2010	No	No
"Fire Away"	Kill the Alarm	2000s	Alternative	June14,2010	June3,2011	No
"I See Georgia"	Drivin' N' Cryin'	2000s	Rock	June14,2010	No	No
"I'm Coming Home"	A t o m	2010s	New Wave	June14,2010	No	No
"Ice Cold"	Audible Mainframe	2000s	Urban	June14,2010	June2,2011	No
"Let Me Down"	Drivin' N' Cryin'	2000s	Rock	June14,2010	No	No
"Nightlife Commando"	Bang Camaro	2000s	Rock	June14,2010	Sep.14,2010	Oct.12,2010
"ShadowBang (Head)"	Bang on a Can All-Stars / Evan Ziporyn	2000s	Other	June14,2010	No	No
"Shop Vac"	Jonathan Coulton	2000s	Rock	June14,2010	Sep.14,2010	Oct.12,2010
"Yo Shakespeare"	Bang on a Can All-Stars / Michael Gordon	1990s	Other	June14,2010	No	No
"An Exercise in Futility"	Single White Infidel	2010s	Punk	June15,2010	No	No
" Beethoven - Symphony No. 9 - Scherzo"	Paul Henry Smith & the Fauxharmonic Orchestra	2010s	Other	June15,2010	No	No
"Infected Nation"	Evile	2000s	Metal	June15,2010	Oct.5,2010	Nov.23,2010
" Rise Above This "	Seether	2000s	Alternative	June15,2010	Jan.4,2011	No
"Scared to Death"	Cancer Bats	2010s	Metal	June15,2010	No	No
"Serial Killer"	Damone	2000s	Rock	June16,2010	Feb.22,2011	No
"Travelin' Freak Show"	Joe Bouchard	2000s	Classic Rock	June16,2010	No	No
" Wake Up "	Me Talk Pretty	2010s	Rock	June16,2010	Sep.7,2010	Jan.4,2011
"Dream About the Future"	The Apples in Stereo	2010s	Pop-Rock	June18,2010	No	No
"Hitch Up (I'm So Stupid)"	Jesus Candy	2010s	Rock	June18,2010	No	No
"Hot Stuff"	Scott Attrill	2000s	Other	June18,2010	No	No
"Painted"	Zoo Seven	2010s	Rock	June18,2010	No	No
"Bled To Be Free (The Operation)"	Rx Bandits	2000s	Alternative	June21,2010	Nov.30,2010	No
"Bleed"	Meshuggah	2000s	Metal	June21,2010	Sep.7,2010	Nov.16,2010
"Bright Side of Life"	Rebelution	2000s	Rock	June21,2010	No	No
"Bury You Slowly"	Made Avail	2010s	Alternative	June21,2010	No	No
"Cookie Monster"	XTT	2010s	Novelty	June21,2010	No	No
"Crash Years"	The New Pornographers	2010s	Indie Rock	June21,2010	Sep.21,2010	Nov.2,2010
"Crooked Strings"	Kiev	2000s	Alternative	June21,2010	Mar.8,2011	No
"Janie"	The Raspberry Ants	2010s	Indie Rock	June21,2010	No	No
"Mandelbrot Set"	Jonathan Coulton	2000s	Rock	June21,2010	Aug.17,2010	No
"Six Is One"	Free Electric State	2010s	Indie Rock	June21,2010	No	No
" The World Is a Thorn "	Demon Hunter	2010s	Metal	June21,2010	Nov.23,2010	Jan.4,2011
"Three Words"	Todd Thibaud	2000s	Country	June21,2010	No	No
"Turnpike Ghost"	Steel Train	2010s	Alternative	June21,2010	No	No
" A Better Forever "	SexTon	2010s	Alternative	June23,2010	No	No
"Engine"	Wargasm	1990s	Metal	June23,2010	Dec.7,2010	No
" The Lesser Man "	Soil	2000s	Rock	June23,2010	June3,2011	No
"Ramp Truck"	Freen in Green	2010s	Prog	June25,2010	No	No
" Run "	Charmaine	2010s	Other	June25,2010	No	No
" The Me You See "	Spiral Trance	2000s	Metal	June25,2010	No	No
"Believing"	Bang on a Can All-Stars / Julia Wolfe	2000s	Other	June28,2010	No	No
"Deliver Us"	Andy Timmons	2000s	Rock	June28,2010	Jan.4,2011	Jan.11,2011
"Nosophoros"	Evile	2000s	Metal	June28,2010	Jan.18,2011	No
"Touche, Miss Indenial"	Jamestown Story	2000s	Pop-Rock	June28,2010	No	No
"Buster Voodoo"	Rodrigo y Gabriela	2000s	Rock	June29,2010	Aug.24,2010	Sep.7,2010
"Divine"	XTT	2010s	Rock	June29,2010	No	No
"Outta the Band"	My First Earthquake	2000s	Indie Rock	June30,2010	No	No
"Beautiful Machine"	Rose of Jericho	2010s	Pop-Rock	July1,2010	No	No
"Real Love"	RED9	2000s	Rock	July1,2010	No	No
"Throughout"	Done Lying Down	1990s	Punk	July1,2010	No	No
"Tomorrow She's Mine"	Rod Kim	2010s	Pop-Rock	July1,2010	No	No
"Why Bother?"	Scratching the Itch	2000s	Alternative	July1,2010	No	No
"Big Deal"	HourCast	2010s	Rock	July2,2010	No	No
"Black Cloud"	Scott Gehrett	2010s	Metal	July2,2010	No	No
"Burst Into Fears"	SexTon	2010s	Alternative	July2,2010	No	No
" Hard to See "	Five Finger Death Punch	2000s	Rock	July2,2010	Aug.31,2010	Sep.14,2010
"Told You Once"	The Apples in Stereo	2010s	Pop-Rock	July2,2010	No	No
"Death By Cancer"	Seppuku With a Straw	2010s	Other	July6,2010	No	No
"Flicker"	Widespread Panic	2000s	Rock	July6,2010	No	No
"In My Head, Out My Head"	Primary	2010s	Alternative	July6,2010	No	No
"Liberated by Blasphemy"	Adam Evil	2000s	Metal	July6,2010	No	No
"Nom Nom Nom Nom Nom Nom Nom"	Parry Gripp	2000s	Novelty	July6,2010	Oct.19,2010	Jan.4,2011
"Seven"	Sunny Day Real Estate	1990s	Emo	July6,2010	Aug.31,2010	Sep.14,2010
"Simple Man"	Highlord	2000s	Metal	July6,2010	No	No
"So Easy"	Blue News	2010s	Alternative	July6,2010	No	No
" The Ultimate Showdown ( RBN Mix) "	Lemon Demon	2010s	Pop-Rock	July6,2010	Aug.24,2010	Sep.7,2010
"Tora Tora Tora"	Pretty & Nice	2000s	Pop-Rock	July6,2010	June2,2011	No
"War Against the Radio"	Audio Ammunition	2000s	Rock	July6,2010	No	No
"Wytches 2010"	Inkubus Sukkubus	2010s	Glam	July6,2010	No	No
"Piranha"	Pretty & Nice	2000s	Pop-Rock	July7,2010	June2,2011	No
"So Awesome"	The Shazam	2000s	Rock	July7,2010	No	No
" Why "	C. J. Ramone	2000s	Punk	July7,2010	No	No
"Lights Out"	Hyro da Hero	2010s	Urban	July9,2010	No	No
" The Anthem of the Angry Brides "	Norma Jean	2010s	Metal	July9,2010	Jan.4,2011	No
"Ain't Life Grand (Live)"	Widespread Panic	2000s	Rock	July12,2010	No	No
"Attraction"	HourCast	2010s	Rock	July12,2010	No	No
"Filthy Dog"	Aittala	2000s	Metal	July12,2010	No	No
"Happy Little Tune"	DeBaser	2000s	New Wave	July12,2010	No	No
"Leaderless and Self Enlisted"	Norma Jean	2010s	Metal	July12,2010	Sep.28,2010	Nov.16,2010
"Pedal Down"	Assembly of Dust	2000s	Rock	July12,2010	No	No
"Right Now Romeo"	Mason Douglas feat. Blue Morning	2000s	Country	July12,2010	No	No
"Deathbed Atheist"	Norma Jean	2010s	Metal	July13,2010	No	No
"Do It to Me"	C. J. Ramone	2000s	Punk	July13,2010	No	No
"Love Song"	No Justice	2010s	Country	July13,2010	No	No
"Take Me Away"	Rose of Jericho	2000s	Pop-Rock	July13,2010	No	No
" The Final Episode (Let's Change the Channel) "	Asking Alexandria	2000s	Metal	July13,2010	Sep.14,2010	Oct.12,2010
"Until the Night"	Free Spirit	2000s	Rock	July13,2010	No	No
"Embrace Your Rage"	Kramus	2000s	Rock	July14,2010	No	No
"Jigsaw Man"	Wargasm	1990s	Metal	July14,2010	No	No
"Come Along"	XTT	2010s	Alternative	July16,2010	No	No
"Here and Gone"	Sullivan DeMott	2000s	Southern Rock	July16,2010	No	No
"Hey Elevator"	The Apples in Stereo	2010s	Pop-Rock	July16,2010	No	No
"Beautiful Collapse (Stalker)"	Brett Merrill & Brendan Carell	2010s	New Wave	July19,2010	No	No
"Blinded"	Down Factor	2000s	Metal	July19,2010	No	No
"Charmed"	OWL	2000s	Rock	July19,2010	No	No
"Curse You All Men! ( Live )"	Emperor	2000s	Metal	July19,2010	Nov.16,2010	Dec.21,2010
"Desperate Days"	Jenium	2000s	Indie Rock	July19,2010	No	No
"Doublecrossed"	Valient Thorr	2010s	Rock	July19,2010	No	No
"Hell or Hollywood"	HourCast	2010s	Rock	July19,2010	No	No
"Inno a Satana ( Live )"	Emperor	2000s	Metal	July19,2010	Dec.7,2010	No
"No Mercy"	Tijuana Sweetheart	2000s	Punk	July19,2010	No	No
"No One's Gonna Love You"	Band of Horses	2000s	Indie Rock	July19,2010	Oct.12,2010	Nov.23,2010
"Rollercoaster"	Sleater-Kinney	2000s	Indie Rock	July19,2010	Nov.23,2010	Dec.21,2010
"Surf Spy"	The Everybody	2000s	Indie Rock	July19,2010	No	No
"To the Otherside"	A t o m	2000s	New Wave	July19,2010	No	No
"Blood Red Rock"	Bang Camaro	2000s	Rock	July20,2010	Nov.9,2010	Dec.21,2010
"Plague to End All Plagues"	Evile	2000s	Metal	July20,2010	Apr.19,2011	No
"Electro-Heaven"	Robby Suavé	2000s	Metal	July21,2010	No	No
"Incubus"	Amberian Dawn	2000s	Metal	July21,2010	Oct.12,2010	Nov.23,2010
"No One In the World"	The Apples in Stereo	2010s	Pop-Rock	July21,2010	No	No
"Fighting Back the Bullies"	XTT	2010s	Metal	July22,2010	No	No
"Sabretooth"	Stars of Boulevard	2000s	Rock	July22,2010	No	No
"Every Day Is Sunday"	The Slackers	2000s	Rock	July23,2010	No	No
"Just Hang On"	2nd Thought	2000s	Rock	July23,2010	No	No
"Beautiful Disaster"	The Gufs	2000s	Alternative	July26,2010	No	No
"Chiron Beta Prime"	Jonathan Coulton	2000s	Rock	July26,2010	Oct.26,2010	No
"Done"	The Giraffes	2000s	Rock	July26,2010	No	No
"Guitar Sound"	Ronald Jenkees	2000s	Other	July26,2010	Dec.7,2010	No
"Guitars SUCK"	Bumblefoot	2000s	Metal	July26,2010	No	No
"Muéstrame un Poco"	Buffalo Mad	2010s	Rock	July26,2010	No	No
"Shallow Waters"	Amberian Dawn	2000s	Metal	July26,2010	Oct.5,2010	Nov.23,2010
"Strut"	The Elms	2000s	Rock	July26,2010	No	No
"Betty and Me"	Jonathan Coulton	2000s	Country	July28,2010	Oct.5,2010	Nov.23,2010
"Anna Maria (All We Need)"	We the Kings	2000s	Alternative	July30,2010	No	No
"Believe"	MJ Kroll	2000s	Pop-Rock	July30,2010	No	No
"Lately"	Day of Fire	2010s	Rock	July30,2010	No	No
"Rain Falls Down"	We the Kings	2000s	Alternative	July30,2010	No	No
"Spin"	We the Kings	2000s	Alternative	July30,2010	Nov.16,2010	Dec.21,2010
"What You Do to Me"	We the Kings	2000s	Alternative	July30,2010	No	No
"Wrong Side of the Tracks"	Hugh Cornwell	2000s	Rock	July30,2010	No	No
"Genocide"	Evile	2000s	Metal	Aug.3,2010	Feb.22,2011	No
"I Hope You're Happy"	Loren Dircks	2000s	Country	Aug.3,2010	No	No
"Magician"	Lightwires	2000s	Indie Rock	Aug.3,2010	No	No
"Summer Love"	We the Kings	2000s	Alternative	Aug.3,2010	No	No
"Building a Robot"	Robotmakers	2010s	New Wave	Aug.4,2010	No	No
"Entertain"	Sleater-Kinney	2000s	Indie Rock	Aug.4,2010	June2,2011	No
" (Do You Wanna Date My) Avatar "	The Guild feat. Felicia Day	2000s	Other	Aug.6,2010	Jan.4,2011	Jan.4,2011
" A Prophecy "	Asking Alexandria	2000s	Metal	Aug.6,2010	Oct.19,2010	Jan.4,2011
"Crazy X"	Charlie Drown	2010s	Metal	Aug.6,2010	No	No
"Hey There Mr. Brooks"	Asking Alexandria	2000s	Metal	Aug.6,2010	Oct.5,2010	Jan.4,2011
"Satisfied"	Social Code	2010s	Rock	Aug.6,2010	No	No
" The Great Salt Lake "	Band of Horses	2000s	Indie Rock	Aug.6,2010	Nov.30,2010	Jan.18,2011
"Cheat on the Church"	Graveyard BBQ	2000s	Metal	Aug.9,2010	Oct.26,2010	Dec.21,2010
"Hey Satomi (feat. Justine Skyers)"	The Bungles	2010s	Pop-Rock	Aug.9,2010	No	No
"Jumpers"	Sleater-Kinney	2000s	Indie Rock	Aug.9,2010	Feb.1,2011	No
"Shoot the Zombies"	Songs To Wear Pants To	2000s	Novelty	Aug.9,2010	No	No
" The Last Sound "	Grammatrain	2010s	Rock	Aug.9,2010	No	No
"Heavy Plastic"	Alien Downlink	2000s	Novelty	Aug.12,2010	No	No
"On the Airwaves"	The Shazam	2000s	Rock	Aug.12,2010	No	No
"Rabbits"	Kingsize	2000s	Rock	Aug.12,2010	No	No
" We Like the Moon "	Rathergood.com	2000s	Other	Aug.12,2010	No	No
"Belladonna & Aconite 2010"	Inkubus Sukkubus	2010s	Glam	Aug.13,2010	No	No
"In Circles"	Sunny Day Real Estate	1990s	Emo	Aug.13,2010	Nov.16,2010	Dec.21,2010
"Broke Down on the Brazos"	Gov't Mule	2000s	Rock	Aug.16,2010	Dec.14,2010	No
"Echo (My Only Regret)"	SexTon	2010s	Alternative	Aug.16,2010	No	No
"Forgotten Tragedy"	Cold Steel	2000s	Rock	Aug.16,2010	No	No
" O Come, O Come Emmanuel "	Christmas at the Devil's House	2010s	Rock	Aug.16,2010	No	No
"Swim"	Surfer Blood	2010s	Indie Rock	Aug.16,2010	No	No
" The Pose "	Red Jacket Mine	2000s	Alternative	Aug.16,2010	No	No
" (Random Song) "	Bluefusion	2010s	Other	Aug.18,2010	No	No
"Floating Vibes"	Surfer Blood	2010s	Indie Rock	Aug.18,2010	No	No
"Mr. Spock"	Nerf Herder	2000s	Punk	Aug.18,2010	No	No
" The Ending Is Death "	Boney Mean	2010s	Metal	Aug.18,2010	No	No
"Damn Good Man"	Moses Tucker	2000s	Blues	Aug.20,2010	No	No
"Devoid of Thought"	Evile	2000s	Metal	Aug.20,2010	Apr.12,2011	No
"Fence Jumper"	The Fire Violets	2010s	Alternative	Aug.20,2010	No	No
"Flesh Pull"	Mystic Syntax	2010s	Metal	Aug.20,2010	No	No
"Hell's Sweet Hands"	Ashland Court	2000s	Rock	Aug.20,2010	No	No
"Kokko - Eagle of Fire"	Amberian Dawn	2000s	Metal	Aug.20,2010	Feb.8,2011	No
"Song About an Angel"	Sunny Day Real Estate	1990s	Emo	Aug.20,2010	Jan.18,2011	No
"Uncivilized"	Texas in July	2010s	Metal	Aug.20,2010	Nov.2,2010	Dec.21,2010
"You Ain't No Family"	Iwrestledabearonce	2000s	Metal	Aug.20,2010	Nov.9,2010	Jan.4,2011
"Your Petty Pretty Things"	The Get Up Kids	2010s	Rock	Aug.20,2010	June2,2011	No
"Howling at Summer"	You Me and Iowa	2000s	Indie Rock	Aug.23,2010	No	No
"I Cut Off My Arms"	J.A.C.K.	2000s	Rock	Aug.23,2010	No	No
" I MAED A GAM3 W1TH Z0MB1ES 1N IT !!!1 "	James Silva	2000s	Indie Rock	Aug.23,2010	No	No
"Spring"	Your Heart	2010s	Pop-Rock	Aug.23,2010	No	No
" XIV "	Chaotrope	2010s	Metal	Aug.23,2010	No	No
"Honest Man"	The Gracious Few	2010s	Rock	Aug.26,2010	No	No
"Living in a Whirlwind"	Warbringer	2000s	Metal	Aug.26,2010	Nov.23,2010	Dec.21,2010
" Money Honey "	State of Shock	2000s	Pop-Rock	Aug.26,2010	No	No
"Pawns"	Dead by Wednesday	2000s	Metal	Aug.26,2010	No	No
"Time No More"	Evile	2000s	Metal	Aug.26,2010	No	No
"Violent Center"	OWL	2000s	Rock	Aug.26,2010	No	No
"Burn Her Out"	Shokkher	2010s	Metal	Aug.30,2010	No	No
"Buy You a House"	Noah Engh The Kid Fantastic	2010s	Blues	Aug.30,2010	No	No
"Cherry Red"	Sideburn	2000s	Rock	Aug.30,2010	No	No
"Disco Rocket"	Scott Attrill	2010s	Other	Aug.30,2010	No	No
"Lionheart"	Amberian Dawn	2000s	Metal	Aug.30,2010	Nov.30,2010	Jan.11,2011
"Return to Blood Beach"	The Riptides	2000s	Rock	Aug.30,2010	No	No
"Time-bomb"	Buttercup	1990s	Classic Rock	Aug.30,2010	No	No
"Welcome to My World"	Nerf Herder	2000s	Punk	Aug.30,2010	No	No
"White Table"	Delta Spirit	2010s	Rock	Aug.30,2010	No	No
"Evil Inside Me"	Amberian Dawn	2000s	Metal	Aug.31,2010	Apr.12,2011	No
"Head Up High"	Firewind	2000s	Metal	Aug.31,2010	Nov.30,2010	Jan.18,2011
"Pale Sister of Light"	Free Spirit	2000s	Rock	Aug.31,2010	No	No
"Revolution"	Bang Camaro	2000s	Rock	Aug.31,2010	Nov.2,2010	Dec.21,2010
" Determined (Vows of Vengeance) "	Kataklysm	2010s	Metal	Sep.3,2010	Nov.2,2010	No
"Girls Love Techno"	Scott Attrill	2010s	Other	Sep.3,2010	No	No
"Beautiful Girl"	Sophie B. Hawkins	2000s	Pop-Rock	Sep.7,2010	No	No
"Bridges and Overpasses"	Modern Skirts	2010s	Indie Rock	Sep.7,2010	No	No
"Down Below"	Kramus	2010s	Rock	Sep.7,2010	No	No
"Fool"	Brownies	2000s	Pop-Rock	Sep.7,2010	No	No
"I've Got a Feeling"	Blackberry River Band	2000s	Rock	Sep.7,2010	No	No
"iPhone"	Rhune Kincaid	2000s	Novelty	Sep.7,2010	No	No
"Picture Perfect"	The Fury	2000s	Rock	Sep.7,2010	No	No
"Ring Capacity"	Kirby Krackle	2010s	Pop-Rock	Sep.7,2010	No	No
"Skate or Die"	Teenage Bottlerocket	2000s	Punk	Sep.7,2010	No	No
" The Gun Show "	In This Moment	2010s	Metal	Sep.7,2010	Nov.2,2010	Dec.21,2010
" The Pizza Morgana Song "	Hilit Rosental and Corbomite Games	2000s	Other	Sep.7,2010	No	No
"United"	The Knew	2010s	Rock	Sep.7,2010	No	No
"Latest Heartbreak"	22-20s	2010s	Alternative	Sep.9,2010	No	No
"Modern Mathematics"	Terrorhorse	2010s	Metal	Sep.9,2010	Feb.8,2011	No
"Welcome to Our Town"	Stagehands	2000s	Pop-Rock	Sep.9,2010	No	No
" World on Fire "	Firewind	2010s	Metal	Sep.9,2010	June2,2011	No
"Your Hands (Together)"	The New Pornographers	2010s	Indie Rock	Sep.9,2010	Mar.8,2011	No
"Appetite"	The Gracious Few	2010s	Rock	Sep.10,2010	Dec.21,2010	No
" Burn "	Mike Orlando	2010s	Rock	Sep.10,2010	No	No
"Dial M for Murder"	The Riptides	2000s	Punk	Sep.13,2010	No	No
" Difference "	Rivethead	2000s	Metal	Sep.13,2010	No	No
"Dirty Hair Party"	Pink Flag	2000s	Punk	Sep.13,2010	No	No
"Erratic Eruption"	Freen in Green	2010s	Prog	Sep.13,2010	No	No
" Hello Fascination "	Breathe Carolina	2000s	Other	Sep.13,2010	Nov.2,2010	Dec.21,2010
"I Want You to See"	Justin Joseph Edwards	2010s	Jazz	Sep.13,2010	No	No
"Radioland"	Audible Mainframe	2000s	Urban	Sep.13,2010	June2,2011	No
"Stick Tight"	Terror	2010s	Punk	Sep.13,2010	June2,2011	No
" The One You Want "	The Get Up Kids	2000s	Rock	Sep.13,2010	Feb.22,2011	No
"Army of the Damned"	Pythia	2000s	Metal	Sep.17,2010	No	No
"I Couldn't Explain Why"	Citizen Cope	2010s	Rock	Sep.17,2010	No	No
" I'm Amazed "	My Morning Jacket	2000s	Alternative	Sep.17,2010	Jan.25,2011	No
"Smash the Control Machine"	Otep	2000s	Metal	Sep.17,2010	Nov.23,2010	Dec.21,2010
"Americadio"	Slim Cessna's Auto Club	2000s	Rock	Sep.20,2010	No	No
"Chasing the Light"	Nautiluz	2010s	Metal	Sep.20,2010	June3,2011	No
"Cup of Coffee"	The Novocaines	2000s	Rock	Sep.20,2010	No	No
"Ready for Anything"	SexTon	2010s	Alternative	Sep.20,2010	No	No
"Steppin' Lightly"	Gov't Mule	2000s	Rock	Sep.20,2010	Feb.1,2011	No
"Threads"	Barefoot Truth	2010s	Rock	Sep.20,2010	No	No
"Holy Ground"	New Rising Son	2010s	New Wave	Sep.21,2010	No	No
"Kiss Kiss Bang Bang"	Ultra Saturday	2010s	Punk	Sep.21,2010	No	No
"Roman Candle"	Pink Flag	2000s	Punk	Sep.21,2010	No	No
"Shiver"	Amy Courts	2000s	Pop-Rock	Sep.21,2010	No	No
"999,999 Girls!"	Kiss the Girl	2000s	Pop-Rock	Sep.27,2010	No	No
"Discharge"	Intricate Unit	2000s	Metal	Sep.27,2010	No	No
"Elevator"	Kingsize	2000s	Rock	Sep.27,2010	No	No
"Flightless Bird, American Mouth"	Iron & Wine	2000s	Other	Sep.27,2010	Jan.18,2011	No
"Giant Magnets"	Desoto Jones	2000s	Rock	Sep.27,2010	No	No
"Hanuman"	Rodrigo y Gabriela	2000s	Rock	Sep.27,2010	Nov.23,2010	Dec.21,2010
"Indulgence"	Self-Titled	2010s	Rock	Sep.27,2010	No	No
" Light "	Shylo Elliott	2010s	Other	Sep.27,2010	No	No
"Saint Simon"	The Shins	2000s	Indie Rock	Sep.27,2010	Jan.11,2011	No
"BBQ Nation"	Graveyard BBQ	2000s	Metal	Oct.1,2010	No	No
"Bittersweet Melancholy"	Shylo Elliott	2010s	Other	Oct.1,2010	No	No
"Dying Wish of a Living Man"	Yesternight's Decision	2010s	Rock	Oct.1,2010	No	No
"Headed for the Ditch"	Andy Timmons	2000s	Country	Oct.1,2010	No	No
"Laceration"	Mile Marker Zero	2000s	Prog	Oct.1,2010	No	No
"Midnight Eyes"	Rose of Jericho	2010s	Pop-Rock	Oct.1,2010	No	No
"Mrs. Right"	Last Day Off	2000s	Punk	Oct.1,2010	No	No
"Thank You, Pain."	The Agonist	2000s	Metal	Oct.1,2010	Jan.18,2011	No
"Buttersnips"	Periphery	2010s	Metal	Oct.4,2010	Jan.4,2011	No
"Dirt"	Rain Dogs	2010s	Rock	Oct.4,2010	No	No
"Electricity is in My Soul"	Steam Powered Giraffe	2000s	Rock	Oct.4,2010	No	No
"Far Wanderings"	Shylo Elliott	2010s	Other	Oct.4,2010	No	No
"High Class Trailer Trash"	Shelly Rastin feat. Randy Bachman	2000s	Country	Oct.4,2010	No	No
"How We Operate"	Gomez	2000s	Rock	Oct.4,2010	No	No
"Now or Never"	Confide	2010s	Metal	Oct.4,2010	No	No
"Saga"	Amberian Dawn	2000s	Metal	Oct.4,2010	June3,2011	No
"Warmachine"	The Sex Generals	2010s	Metal	Oct.4,2010	No	No
"Arcaedion"	Children of Nova	2000s	Prog	Oct.8,2010	Jan.18,2011	No
"Chilly Water (Live)"	Widespread Panic	2000s	Rock	Oct.8,2010	No	No
"Forgot Love"	Public Radio	2000s	Pop-Rock	Oct.8,2010	No	No
"Girlfriend"	Shy Nobleman	2000s	Alternative	Oct.8,2010	No	No
"Johnny Ace 2010"	Dash Rip Rock	2010s	Rock	Oct.8,2010	No	No
" Rain "	New Rising Son	2010s	Rock	Oct.8,2010	No	No
"Right to the Apex"	Single White Infidel	2010s	Punk	Oct.8,2010	No	No
"Signed With Love"	Rose of Jericho	2010s	Pop-Rock	Oct.8,2010	No	No
"Surprise Valley (Live)"	Widespread Panic	2000s	Rock	Oct.8,2010	Apr.19,2011	No
" The Deceiver "	I Am Abomination	2010s	Metal	Oct.8,2010	No	No
" The Permanent Rain "	The Dangerous Summer	2000s	Alternative	Oct.8,2010	No	No
"Bang Bang Bang"	The Virginmarys	2010s	Rock	Oct.12,2010	No	No
"Daisy"	Fang Island	2010s	Indie Rock	Oct.12,2010	No	No
"Old Lady Trouble"	Steve Fister	2000s	Blues	Oct.12,2010	No	No
"Rotten Cat Halloween Rat"	Boney Mean	2010s	Punk	Oct.12,2010	No	No
"Second & Sebring"	Of Mice & Men	2010s	Metal	Oct.12,2010	Jan.4,2011	Jan.4,2011
"Spill"	Nushu	2000s	Pop-Rock	Oct.12,2010	No	No
"Standing in Your Stuff"	Zigaboo Modeliste	2000s	Rock	Oct.12,2010	No	No
" Wake Up "	Suicide Silence	2000s	Metal	Oct.12,2010	Jan.4,2011	Jan.11,2011
"Antman"	The Red Chord	2000s	Metal	Oct.13,2010	Feb.15,2011	No
"Frostbite Cavern"	Wolfblur	2000s	Other	Oct.13,2010	No	No
"Hand Me Down"	Visqueen	2000s	Rock	Oct.13,2010	No	No
"Nihilanth"	Gatling	2000s	Metal	Oct.13,2010	No	No
"Snowmaiden"	Amberian Dawn	2000s	Metal	Oct.13,2010	Apr.19,2011	No
" The Touch "	Stan Bush	2000s	Rock	Oct.13,2010	Dec.21,2010	Jan.4,2011
" White Knuckles "	OK Go	2010s	Alternative	Oct.13,2010	Jan.11,2011	Jan.18,2011
"All I Want"	Cosmic Tribe	2010s	Rock	Oct.18,2010	No	No
"Drum Exercises for the Sufficiently Masochistic"	Shylo Elliott	2010s	Other	Oct.18,2010	No	No
"I Thought I Knew You"	Those Among Us	2010s	New Wave	Oct.18,2010	No	No
"Miss America"	Kingsize	2000s	Rock	Oct.18,2010	No	No
