Date	Race Name	Location	UCI Rating	Winner	Team
7 September	Memorial Rik Van Steenbergen	Belgium	1.1	Jean-Patrick Nazon ( FRA )	AG2R Prévoyance
8–11 September	Giro della Toscana	Italy	2.2	Sergey Firsanov ( RUS )	Rietumu Bank-Riga
10 September	Paris–Brussels	Belgium	1.HC	Robbie McEwen ( AUS )	Davitamon-Lotto
10–16 September	Tour of Bulgaria	Bulgaria	2.2	Martin Prazdnovsky ( SVK )	Slovakia (national team)
10–11 September	Triptyque des Barrages	Belgium	2.2	Lars Boom ( NED )	Rabobank Continental Team
11 September	Rund um die Nürnberger Altstadt	Germany	1.1	Ronny Scholz ( GER )	Gerolsteiner
11 September	GP de Fourmies	France	1.HC	Robbie McEwen ( AUS )	Davitamon-Lotto
14 September	GP de Wallonie	Belgium	1.1	Nick Nuyens ( BEL )	Quick Step-Innergetic
16 September	Kampioenschap van Vlaanderen	Belgium	1.1	Sergey Lagutin ( UZB )	Landbouwkrediet-Colnago
16–17 September	GP de la Somme	France	2.2	Erki Pütsep ( EST )	AG2R Prévoyance
17 September	Gran Premio Città di Misano - Adriatico	Italy	1.1	Guillermo Bongiorno ( ARG )	Ceramica Panaria-Navigare
17 September	Giro del Canavese	Czech Republic	1.2	Oscar Gatto ( ITA )	Zalf Désirée Fior
18 September	Chrono Champenois	France	1.2	Mathieu Heijboer ( NED )	Rabobank Continental Team
18 September	GP Industria & Commercio di Prato	Italy	1.1	Murilo Fischer ( BRA )	Naturino-Sapore di Mare
18 September	Trofeo Bianchin	Italy	1.2	Matteo Priamo ( ITA )	GS Promosport
18 September	GP d'Isbergues	France	1.1	Nico Eeckhout ( BEL )	Chocolade Jacques-T Interim
21 September	Omloop van het Houtland Lichtervelde	Belgium	1.2	Kevin Van Impe ( BEL )	Chocolade Jacques-T Interim
24 September	Delta Profronde	Netherlands	1.1	Bram De Groot ( NED )	Rabobank
27 September	Ruota d'Oro	Italy	1.2	Branislau Samoilau ( BLR )	Belarus (national team)
27 September	Omloop van de Vlaamse Scheldeboorden	Belgium	1.1	Nico Eeckhout ( BEL )	Chocolade Jacques-T Interim
29 September–2 October	Circuit Franco-Belge	Belgium	2.1	Marco Zanotti ( ITA )	Liquigas-Bianchi
1 October	Memorial Cimurri	Italy	1.1	Murilo Fischer ( BRA )	Naturino-Sapore di Mare
1 October	Piccolo Giro di Lombardia	Italy	1.2	Ruslan Gryschenko ( UKR )	Bottoli Artoni
6 October	Coppa Sabatini	Italy	1.1	Alessandro Bertolini ( ITA )	Domina Vacanze
6 October	Paris–Bourges	France	1.1	Lars Bak ( DEN )	Team CSC
8 October	Giro dell'Emilia	Italy	1.HC	Gilberto Simoni ( ITA )	Lampre-Caffita
9 October	GP Beghelli	Italy	1.1	Murilo Fischer ( BRA )	Naturino-Sapore di Mare
9 October	Paris–Tours Espoirs	France	1.2	Fabien Patanchon ( FRA )	Ent Sud Gascogne
11 October	Nationale Sluitingprijs	Belgium	1.1	Gert Steegmans ( BEL )	Davitamon-Lotto
13 October	Giro del Piemonte	Italy	1.HC	Murilo Fischer ( BRA )	Naturino-Sapore di Mare
