Entered [A ]	Weeks in top 10	Single	Artist	Peak	Peak reached [A ]	Weeks at number 1
7 Cannot handle non-empty timestamp argument!	1	" Real World "	D-Side	9	7 Cannot handle non-empty timestamp argument!	0
7 Cannot handle non-empty timestamp argument!	1	" The Closest Thing to Crazy "	Katie Melua Category:Articles with hCards	10	7 Cannot handle non-empty timestamp argument!	0
14 Cannot handle non-empty timestamp argument!	7	" Changes "	Ozzy and Kelly Osbourne	1	14 Cannot handle non-empty timestamp argument!	1
14 Cannot handle non-empty timestamp argument!	1	" Santa's List "	Cliff Richard Category:Articles with hCards	5	14 Cannot handle non-empty timestamp argument!	0
14 Cannot handle non-empty timestamp argument!	1	" My Immortal "	Evanescence	7	14 Cannot handle non-empty timestamp argument!	0
14 Cannot handle non-empty timestamp argument!	1	" The Voice Within "	Christina Aguilera Category:Articles with hCards	9	14 Cannot handle non-empty timestamp argument!	0
14 Cannot handle non-empty timestamp argument!	1	" Have a Cheeky Christmas "	The Cheeky Girls Category:Articles with hCards	10	14 Cannot handle non-empty timestamp argument!	0
21 Cannot handle non-empty timestamp argument!	3	" Christmas Time (Don't Let the Bells End) "	The Darkness Category:Articles with hCards	2	21 Cannot handle non-empty timestamp argument!	0
21 Cannot handle non-empty timestamp argument!	2	" Proper Crimbo "	Bo' Selecta!	4	21 Cannot handle non-empty timestamp argument!	0
21 Cannot handle non-empty timestamp argument!	2	" Happy Xmas (War is Over) "	The Idols Category:Articles with hCards	5	21 Cannot handle non-empty timestamp argument!	0
21 Cannot handle non-empty timestamp argument!	3	" Ladies Night "	Atomic Kitten featuring Kool and the Gang	8	21 Cannot handle non-empty timestamp argument!	0
