Tournament	Date	City	Country	Surface	Singles champions
Brazil F26 Futures	September 27	Itu	Brazil	Clay	Fernando Romboli
Canada F5 Futures	September 27	Markham	Canada	Hard (i)	Vasek Pospisil
China F8 Futures	September 27	Shanghai	China	Hard	Bai Yan
France F16 Futures	September 27	Sarreguemines	France	Carpet (i)	Albano Olivetti
Germany F16 Futures	September 27	Hambach	France	Carpet (i)	Denis Matsukevich
Iran F4 Futures	September 27	Tehran	Iran	Clay	Alexander Lobkov
Italy F28 Futures	September 27	Frascati	Italy	Clay	Augustin Gensse
Kazakhstan F3 Futures	September 27	Astana	Kazakhstan	Hard (i)	Richard Muzaev
Portugal F4 Futures	September 27	Porto	Portugal	Clay	Laurent Rochette
Spain F35 Futures	September 27	Martos	Spain	Hard	Adrián Menéndez-Maceiras
Turkey F9 Futures	September 27	Antalya	Turkey	Hard	Samuel Groth
USA F25 Futures	September 27	Irvine	United States	Hard	Chris Guccione
Australia F8 Futures	October 4	Port Pirie	Australia	Hard	Colin Ebelthite
Bolivia F4 Futures	October 4	Santa Cruz	Bolivia	Clay	Renzo Olivo
Brazil F27 Futures	October 4	Salvador	Brazil	Hard	Daniel Dutra da Silva
France F17 Futures	October 4	Nevers	France	Hard (i)	Grégoire Burquier
Germany F17 Futures	October 4	Leimen	Germany	Hard (i)	Timo Nieminen
Iran F5 Futures	October 4	Tehran	Iran	Clay	Alexander Lobkov
Italy F29 Futures	October 4	Naples	Italy	Hard	Claudio Grassi
Kazakhstan F4 Futures	October 4	Astana	Kazakhstan	Hard (i)	Michail Elgin
Portugal F5 Futures	October 4	Espinho	Portugal	Clay	Javier Martí
Spain F36 Futures	October 4	Córdoba	Spain	Hard	Malek Jaziri
Turkey F10 Futures	October 4	Antalya	Turkey	Hard	Samuel Groth
Australia F9 Futures	October 11	Happy Valley	Australia	Hard	Nick Lindahl
Belarus F3 Futures	October 11	Minsk	Belarus	Hard (i)	Jerzy Janowicz
Brazil F28 Futures	October 11	Fernandópolis	Brazil	Clay	Christian Lindell
France F18 Futures	October 11	Saint-Dizier	France	Hard (i)	David Goffin
Germany F18 Futures	October 11	Isernhagen	Germany	Hard (i)	Kārlis Lejnieks
Greece F1 Futures	October 11	Kos	Greece	Hard	Juho Paukku
Italy F30 Futures	October 11	Reggio di Calabria	Italy	Clay	Alessio di Mauro
Japan F9 Futures	October 11	Kashiwa	Japan	Hard	Danai Udomchoke
Kazakhstan F5 Futures	October 11	Almaty	Kazakhstan	Hard (i)	Julien Dubail
Kuwait F1 Futures	October 11	Mishref	Kuwait	Hard	Sebastian Rieschick
Turkey F11 Futures	October 11	Antalya	Turkey	Hard	Radu Albot
USA F26 Futures	October 11	Austin	United States	Hard	Denis Kudla
Venezuela F4 Futures	October 11	Caracas	Venezuela	Hard	Greg Ouellette
Argentina F20 Futures	October 18	La Rioja	Argentina	Clay	Jonathan Gonzalia
Belarus F4 Futures	October 18	Minsk	Belarus	Hard (i)	Siarhei Betau
Brazil F29 Futures	October 18	São Leopoldo	Brazil	Clay	Rafael Camilo
Chile F1 Futures	October 18	Santiago	Chile	Clay	Guillermo Rivera-Aranguiz
Croatia F7 Futures	October 18	Dubrovnik	Croatia	Clay	Attila Balázs
Egypt F4 Futures	October 18	Cairo	Egypt	Clay	Alexander Lobkov
France F19 Futures	October 18	La Roche-sur-Yon	France	Hard (i)	Clément Reix
Great Britain F16 Futures	October 18	Glasgow	United Kingdom	Hard (i)	Matthew Ebden
Greece F2 Futures	October 18	Paros	Greece	Carpet	Ádám Kellner
Japan F10 Futures	October 18	Nishitama	Japan	Hard	Danai Udomchoke
Kuwait F2 Futures	October 18	Mishref	Kuwait	Hard	Martin Kližan
Nigeria F1 Futures	October 18	Lagos	Nigeria	Hard	Amir Weintraub
Paraguay F1 Futures	October 18	Lambaré	Paraguay	Clay	Juan-Pablo Amado
Spain F37 Futures	October 18	Sabadell	Spain	Clay	Sergio Gutiérrez-Ferrol
Turkey F12 Futures	October 18	Adana	Turkey	Hard	Adrian Cruciat
USA F27 Futures	October 18	Mansfield	United States	Hard	Fritz Wolmarans
Venezuela F5 Futures	October 18	Caracas	Venezuela	Hard	Alejandro González
Argentina F21 Futures	October 25	San Juan	Argentina	Clay	Facundo Argüello
Brazil F30 Futures	October 25	Porto Alegre	Brazil	Clay	Daniel Dutra da Silva
Chile F2 Futures	October 25	Santiago	Chile	Clay	Guillermo Hormazábal
Croatia F8 Futures	October 25	Dubrovnik	Croatia	Clay	Kristijan Mesaroš
Egypt F5 Futures	October 25	Cairo	Egypt	Clay	Miljan Zekić
France F20 Futures	October 25	Rodez	France	Hard (i)	Grégoire Burquier
Great Britain F17 Futures	October 25	Cardiff	United Kingdom	Hard (i)	Jürgen Zopp
Greece F3 Futures	October 25	Heraklion	Greece	Carpet	Andrea Falgheri
Nigeria F2 Futures	October 25	Lagos	Nigeria	Hard	Karan Rastogi
Paraguay F2 Futures	October 25	Asunción	Paraguay	Clay	Agustín Velotti
Spain F38 Futures	October 25	Sant Cugat	Spain	Clay	Guillermo Olaso
Turkey F13 Futures	October 25	Antalya	Turkey	Clay	Gero Kretschmer
USA F28 Futures	October 25	Birmingham	United States	Clay	Philip Bester
Argentina F22 Futures	November 1	Rosario	Argentina	Clay	Andrés Molteni
Australia F10 Futures	November 1	Kalgoorlie	Australia	Hard	Érik Chvojka
Brazil F31 Futures	November 1	Porto Alegre	Brazil	Clay	André Ghem
Chile F3 Futures	November 1	Santiago	Chile	Clay	Cristóbal Saavedra-Corvalán
Greece F4 Futures	November 1	Heraklion	Greece	Hard	Alexandros Jakupovic
Israel F4 Futures	November 1	Ramat HaSharon	Israel	Hard	Daniel Cox
Laos F1 Futures	November 1	Vientiane	Laos	Hard	Kittipong Wachiramanowong
Mexico F8 Futures	November 1	Guadalajara	Mexico	Clay	Roman Borvanov
Paraguay F3 Futures	November 1	Encarnación	Paraguay	Clay	Juan-Pablo Amado
Spain F39 Futures	November 1	Vilafranca	Spain	Clay	José Checa-Calvo
Turkey F14 Futures	November 1	Antalya	Turkey	Clay	Michael Linzer
USA F29 Futures	November 1	Niceville	United States	Clay	Ádám Kellner
Australia F11 Futures	November 8	Esperance	Australia	Hard	Sebastian Rieschick
Brazil F32 Futures	November 8	Barueri	Brazil	Hard	Daniel Dutra da Silva
Chile F4 Futures	November 8	Santiago	Chile	Clay	Borut Puc
Iran F6 Futures	November 8	Kish Island	Iran	Clay	Kristijan Mesaroš
Israel F5 Futures	November 8	Tel Aviv	Israel	Hard	Grégoire Burquier
Mexico F9 Futures	November 8	Durango	Mexico	Hard	Roman Borvanov
Peru F1 Futures	November 8	Arequipa	Peru	Clay	Sebastián Decoud
Thailand F4 Futures	November 8	Khon Kaen	Thailand	Hard	Yuichi Sugita
Turkey F15 Futures	November 8	Antalya	Turkey	Clay	Gianni Mina
USA F30 Futures	November 8	Pensacola	United States	Clay	Dennis Blömke
Brazil F33 Futures	November 15	Belo Horizonte	Brazil	Clay	Fernando Romboli
Chile F5 Futures	November 15	Quillota	Chile	Clay	Guillermo Rivera-Aranguiz
Czech Republic F4 Futures	November 15	Rožnov	Czech Republic	Carpet (i)	Jan Mertl
Iran F7 Futures	November 15	Kish Island	Iran	Clay	Artem Smirnov
New Zealand F1 Futures	November 15	Wellington	New Zealand	Hard	Sebastian Rieschick
Peru F2 Futures	November 15	Lima	Peru	Clay	Guido Andreozzi
Spain F40 Futures	November 15	Madrid	Spain	Clay	Alessandro Giannessi
Thailand F5 Futures	November 15	Nonthaburi	Thailand	Hard	Yuichi Sugita
USA F31 Futures	November 15	Amelia Island	United States	Clay	Philip Bester
Australia F12 Futures	November 22	Traralgon	Australia	Hard	Amir Weintraub
Brazil F34 Futures	November 22	Foz do Iguaçu	Brazil	Clay	Juan-Pablo Villar
Chile F6 Futures	November 22	Rancagua	Chile	Clay	Stefano Travaglia
Czech Republic F5 Futures	November 22	Opava	Czech Republic	Carpet (i)	Jan Mertl
Dominican Rep. F1 Futures	November 22	Santo Domingo	Dominican Rep.	Hard	Víctor Estrella
Mexico F10 Futures	November 22	Colima	Mexico	Hard	James Ludlow
Peru F3 Futures	November 22	Lima	Peru	Clay	Juan-Pablo Amado
Sudan F1 Futures	November 22	Khartoum	Sudan	Clay	Ivo Klec
Australia F13 Futures	November 29	Bendigo	Australia	Hard	Samuel Groth
Chile F7 Futures	November 29	Talca	Chile	Clay	Guillermo Hormazábal
Dominican Rep. F2 Futures	November 29	Santo Domingo	Dominican Rep.	Hard	Víctor Estrella
Mexico F11 Futures	November 29	Chiapas	Mexico	Hard	Mark Verryth
Sudan F2 Futures	November 29	Khartoum	Sudan	Clay	Ivo Klec
Brazil F36 Futures	December 6	Araçatuba	Brazil	Clay	Facundo Bagnis
Chile F8 Futures	December 6	Concepción	Chile	Clay	Borut Puc
Dominican Rep. F3 Futures	December 6	Santo Domingo	Dominican Rep.	Hard	Víctor Estrella
Mexico F12 Futures	December 6	Acapulco	Mexico	Clay	Rainer Eitzinger
Brazil F37 Futures	December 13	Guarulhos	Brazil	Clay	Fernando Romboli
Chile F9 Futures	December 13	Concepción	Chile	Clay	Cristóbal Saavedra-Corvalán
Cuba F1 Futures	December 13	Havana	Cuba	Hard	Deniss Pavlovs
Brazil F38 Futures	December 20	Sorocaba	Brazil	Clay	Fernando Romboli
