Urban area (locality)	Municipality	Population	Land area (hectares)	Density (inh./km²)	Code
Gustavsberg	Värmdö Municipality	11333	427.00	2654.10	172
Gusum	Valdemarsvik Municipality	1175	161.61	727.06	1084
Gyttorp	Nora Municipality	661	273.89	241.34	5960
Gäddede	Strömsund Municipality	401	136.21	294.40	7840
Gällivare	Gällivare Municipality	8449	747.79	1129.86	8596
Gällstad	Ulricehamn Municipality	471	60.96	772.64	4852
Gällö	Bräcke Municipality	725	122.52	591.74	7844
Gängletorp	Karlskrona Municipality	369	64.85	569.01	2630
Gärds Köpinge	Kristianstad Municipality	936	102.18	916.03	2896
Gärsnäs	Simrishamn Municipality	1000	98.99	1010.20	2900
Gävle	Gävle Municipality	71033	4244.91	1673.37	7076
Gånghester	Borås Municipality	1526	117.10	1303.16	4848
Gårdby	Mörbylånga Municipality	257	61.33	419.04	2240
Gårdskär	Älvkarleby Municipality	352	71.08	495.22	552
Gårdstånga	Eslöv Municipality	343	43.32	791.78	3436
Gåvsta	Uppsala Municipality	549	43.93	1249.72	556
Göta	Lilla Edet Municipality	920	101.50	906.40	4856
Götene	Götene Municipality	4933	459.33	1073.96	5280
Götlunda	Arboga Municipality	270	35.54	759.71	6220
Habo	Habo Municipality	6883	454.39	1514.78	5284
Hackås	Berg Municipality	480	91.88	522.42	7848
Haga	Enköping Municipality	257	37.75	680.79	558
Hagby	Kalmar Municipality	689	193.97	355.21	2244
Hagbyhöjden	Österåker Municipality	479	12.48	3838.14	194
Hagfors	Hagfors Municipality	5146	612.87	839.66	5688
Hagge	Smedjebacken Municipality	342	50.48	677.50	6566
Hagryd-Dala	Kungsbacka Municipality	391	49.33	792.62	3954
Hakkas	Gällivare Municipality	365	150.72	242.17	8600
Halla Heberg	Kungsbacka Municipality	518	46.27	1119.52	3956
Hallabro	Ronneby Municipality	254	48.83	520.17	2632
Hallen	Åre Municipality	203	45.58	445.37	7852
Hallerna	Stenungsund Municipality	668	22.00	3036.36	4370
Hallsberg	Hallsberg Municipality Kumla Municipality	7122	818.60	870.02	5964
Hallstahammar	Hallstahammar Municipality	10478	967.04	1083.51	6224
Hallstavik	Norrtälje Municipality	4476	469.23	953.90	176
Halltorp	Kalmar Municipality	266	62.15	428.00	2248
Halmstad	Halmstad Municipality	58577	3412.98	1716.30	3960
Halvarsgårdarna	Borlänge Municipality	325	57.66	563.65	6568
Hamburgsund	Tanum Municipality	818	101.18	808.46	4372
Hammar	Askersund Municipality	282	64.81	435.12	5968
Hammar	Kristianstad Municipality	2057	141.20	1456.80	2904
Hammarby	Sandviken Municipality	552	108.29	509.74	7084
Hammarslund	Kristianstad Municipality	461	29.31	1572.84	2906
Hammarstrand	Ragunda Municipality	1052	222.48	472.85	7856
Hammenhög	Simrishamn Municipality	908	104.11	872.15	2908
Hammerdal	Strömsund Municipality	974	229.41	424.57	7860
Hampetorp	Örebro Municipality	297	75.01	395.95	5974
Hamrångefjärden	Gävle Municipality	509	156.92	324.37	7092
Hanaskog	Östra Göinge Municipality	1251	136.99	913.21	2912
Haparanda	Haparanda Municipality	4856	442.72	1096.86	8604
Harads	Boden Municipality	501	129.33	387.38	8608
Harbo	Heby Municipality	721	104.73	688.44	6228
Hargshamn	Östhammar Municipality	312	84.07	371.12	560
Harlösa	Eslöv Municipality	763	77.91	979.34	3440
Harmånger	Nordanstig Municipality	540	91.30	591.46	7096
Harplinge	Halmstad Municipality	1450	133.90	1082.90	3964
Hassela	Nordanstig Municipality	364	101.10	360.04	7172
Hasselfors	Laxå Municipality	428	126.62	338.02	5980
Hasslarp	Helsingborg Municipality	474	51.06	928.32	3444
Hasslö	Karlskrona Municipality	1628	303.08	537.15	2640
Hasslöv	Laholm Municipality	228	44.30	514.67	3968
Havdhem	Gotland Municipality	298	90.15	330.56	2508
Haverdal	Halmstad Municipality	1437	250.72	573.15	3972
Heberg	Falkenberg Municipality	449	71.02	632.22	3976
Heby	Heby Municipality	2550	353.85	720.64	6232
Hedared	Borås Municipality	353	55.62	634.66	4860
Hede	Härjedalen Municipality	741	162.58	455.78	7868
Hedekas	Munkedal Municipality	370	70.41	525.49	4380
Hedemora	Hedemora Municipality	7273	611.85	1188.69	6572
Hedenäset	Övertorneå Municipality	270	198.16	136.25	8612
Hedeskoga	Ystad Municipality	282	17.92	1573.66	3448
Hedesunda	Gävle Municipality	1028	167.69	613.04	7104
Hedvigsberg	Värmdö Municipality	282	93.21	302.54	186
Helsingborg	Helsingborg Municipality	97122	3840.98	2528.57	3452
Hemavan/Bierke	Storuman Municipality	222	90.79	244.52	8198
Hemmesta	Värmdö Municipality	5240	339.75	1542.31	180
Hemmingsmark	Piteå Municipality	367	83.93	437.27	8616
Hemse	Gotland Municipality	1715	210.69	813.99	2512
Henån	Orust Municipality	1816	197.61	918.98	4384
Herrestad	Uddevalla Municipality	2583	199.33	1295.84	4388
Herrljunga	Herrljunga Municipality	3822	370.54	1031.47	4864
Herräng	Norrtälje Municipality	422	181.43	232.60	184
Herstadberg	Norrköping Municipality	236	35.72	660.69	1088
Hestra	Gislaved Municipality	1306	187.19	697.69	1504
Hestra	Ydre Municipality	476	69.61	683.81	1092
Hillared	Svenljunga Municipality	578	110.42	523.46	4868
Hillerstorp	Gnosjö Municipality	1766	197.73	893.14	1508
Himle	Varberg Municipality	278	39.31	707.20	3982
Hindås	Härryda Municipality	2244	291.11	770.84	4392
Hishult	Laholm Municipality	332	73.93	449.07	3984
Hissjön	Umeå Municipality	477	75.57	631.20	8196
Hittarp	Helsingborg Municipality	4075	207.57	1963.19	3456
Hjo	Hjo Municipality	6094	453.81	1342.85	5296
Hjorted	Västervik Municipality	324	60.05	539.55	2256
Hjortkvarn	Hallsberg Municipality	238	91.07	261.34	5984
Hjortsberga	Alvesta Municipality	245	63.01	388.83	1872
Hjuvik	Gothenburg Municipality	3928	279.01	1407.83	4396
Hjälm	Kungsbacka Municipality	242	20.73	1167.39	3986
Hjälmared	Alingsås Municipality	260	36.20	718.23	4870
Hjälmared	Kungsbacka Municipality	360	89.32	403.05	3990
Hjältevad	Eksjö Municipality	335	103.38	324.05	1512
Hjärnarp	Ängelholm Municipality	975	126.81	768.87	2916
Hjärsås	Östra Göinge Municipality	229	39.37	581.66	2920
Hjärtum	Lilla Edet Municipality	367	48.67	754.06	4872
Hjärup	Staffanstorp Municipality	4265	169.92	2510.00	3460
Hofors	Hofors Municipality	6681	697.46	957.90	7112
Hofterup	Kävlinge Municipality	3501	276.19	1267.61	3464
Hogstad	Mjölby Municipality	241	41.87	575.59	1096
Hogstorp	Uddevalla Municipality	373	38.50	968.83	4398
Hok	Vaggeryd Municipality	637	86.11	739.75	1516
Holm	Halmstad Municipality	565	56.48	1000.35	3988
Holmeja	Svedala Municipality	239	24.51	975.11	3466
Holmsjö	Karlskrona Municipality	334	108.29	308.43	2644
Holmsund	Umeå Municipality	5489	548.23	1001.22	8200
Holsbybrunn	Vetlanda Municipality	729	110.43	660.15	1520
Holsljunga	Svenljunga Municipality	255	34.58	737.42	4876
Horda	Värnamo Municipality	377	68.69	548.84	1524
Horn	Kinda Municipality	495	79.45	623.03	1100
Horndal	Avesta Municipality	1114	337.49	330.08	6576
Horred	Mark Municipality	1271	153.20	829.63	4880
Hortlax	Piteå Municipality	1248	148.88	838.26	8620
Hoting	Strömsund Municipality	667	127.16	524.54	7876
Hova	Gullspång Municipality	1288	179.89	715.99	5300
Hovid	Sundsvall Municipality	225	35.10	641.03	7492
Hovmantorp	Lessebo Municipality	2991	255.66	1169.91	1876
Hovsta	Örebro Municipality	2785	166.45	1673.18	5988
Huaröd	Kristianstad Municipality	242	45.29	534.33	2924
Hudiksvall	Hudiksvall Municipality	15015	1007.79	1489.89	7120
Hult	Eksjö Municipality	455	51.65	880.93	1528
Hultafors	Bollebygd Municipality	227	57.46	395.06	4884
Hultsfred	Hultsfred Municipality	5143	609.17	844.26	2260
Hulu	Ulricehamn Municipality	266	40.76	652.60	4888
Hummelsta	Enköping Municipality	1002	69.62	1439.24	564
Hunnebostrand	Sotenäs Municipality	1731	167.64	1032.57	4404
Hurva	Eslöv Municipality	350	55.04	635.90	3472
Husby	Hedemora Municipality	256	70.36	363.84	6464
Husum	Örnsköldsvik Municipality	1647	399.06	412.72	7496
Hybo	Ljusdal Municipality	241	59.63	404.16	7124
Hyllinge	Åstorp Municipality	2204	162.10	1359.65	2928
Hyltebruk	Hylte Municipality	3716	491.22	756.48	3992
Hyssna	Mark Municipality	638	162.54	392.52	4892
Häggeby och Vreta	Håbo Municipality	224	61.51	364.17	570
Häggenås	Östersund Municipality	320	74.22	431.15	7880
Häljarp	Landskrona Municipality	2795	158.30	1765.63	3476
Hällabrottet	Kumla Municipality	1789	291.71	613.28	5992
Hällaryd	Karlshamn Municipality	546	70.15	778.33	2648
Hällberga	Eskilstuna Municipality	612	74.06	826.36	760
Hällbybrunn	Eskilstuna Municipality	3296	308.13	1069.68	764
Hällefors	Hällefors Municipality	4530	633.07	715.56	5996
Hälleforsnäs	Flen Municipality	1585	244.02	649.54	768
Hällekis	Götene Municipality	704	184.71	381.14	5304
Hällestad	Finspång Municipality	336	99.41	337.99	1104
Hällesåker	Mölndal Municipality	357	64.32	555.04	4410
Hällevadsholm	Munkedal Municipality	772	91.04	847.98	4412
Hällevik	Sölvesborg Municipality	813	86.52	939.67	2652
Hälleviksstrand	Orust Municipality	214	35.58	601.46	4414
Hällingsjö	Härryda Municipality	308	43.30	711.32	4354
Hällnäs	Vindeln Municipality	259	116.86	221.63	8204
Hälsö	Öckerö Municipality	611	51.35	1189.87	4420
Härad	Strängnäs Municipality	508	56.61	897.37	772
Häradsbygden	Leksand Municipality	643	144.83	443.97	6584
Härnösand	Härnösand Municipality	17556	1089.42	1611.50	7500
Härryda	Härryda Municipality	968	233.97	413.73	4424
Härslöv	Landskrona Municipality	382	35.59	1073.34	3484
Hässleholm	Hässleholm Municipality	18500	1203.45	1537.25	2936
Hästhagen	Nacka Municipality	499	32.59	1531.14	192
Hästholmen	Ödeshög Municipality	342	36.82	928.84	1108
Hästveda	Hässleholm Municipality	1623	248.80	652.33	2940
Håbo-Tibble kyrkby	Upplands-Bro Municipality	256	33.10	773.41	190
Håga	Uppsala Municipality	302	20.02	1508.49	566
Håksberg	Ludvika Municipality	458	86.33	530.52	6580
Hållsta	Eskilstuna Municipality	823	86.40	952.55	756
Hålsjö	Hudiksvall Municipality	214	84.78	252.42	7130
Hånger	Värnamo Municipality	301	35.60	845.51	1532
Höganäs	Höganäs Municipality	14107	884.62	1594.70	3488
Högboda	Kil Municipality	262	59.13	443.09	5730
Högsby	Högsby Municipality	1881	264.68	710.67	2264
Högsjö	Vingåker Municipality	713	99.23	718.53	776
Högsäter	Färgelanda Municipality	705	104.78	672.84	4900
Höja	Ängelholm Municipality	202	23.37	864.36	2942
Hökerum	Ulricehamn Municipality	695	90.05	771.79	4904
Hökåsen	Västerås Municipality	2956	176.30	1676.69	6236
Hököpinge	Vellinge Municipality	1105	65.93	1676.02	3492
Höllviken	Vellinge Municipality	10607	653.98	1621.92	3496
Hölö	Södertälje Municipality	1400	133.21	1050.97	196
Hönö	Öckerö Municipality	5110	306.30	1668.30	4428
Hörby	Hörby Municipality	7085	422.70	1676.13	3500
Hörnefors	Umeå Municipality	2542	272.07	934.32	8208
Hörvik	Sölvesborg Municipality	784	89.24	878.53	2656
Höviksnäs	Tjörn Municipality	1309	129.90	1007.70	4514
Höör	Höör Municipality	7865	611.75	1285.66	3504
Idala	Lund Municipality	738	85.23	865.89	3506
Idkerberget	Borlänge Municipality	290	121.41	238.86	6588
Idre	Älvdalen Municipality	794	180.33	440.30	6592
Igelfors	Finspång Municipality	214	64.43	332.14	1116
Igelstorp	Skövde Municipality	677	65.90	1027.31	5308
Iggesund	Hudiksvall Municipality	3362	412.38	815.27	7132
Ilsbo	Nordanstig Municipality	406	62.17	653.05	7136
Immeln	Östra Göinge Municipality	278	57.62	482.47	2948
Indal	Sundsvall Municipality	661	92.99	710.83	7504
Ingared	Alingsås Municipality	1299	77.51	1675.91	4908
Ingaröstrand	Värmdö Municipality	286	104.44	273.84	198
Ingatorp	Eksjö Municipality	453	96.57	469.09	1540
Ingelstad	Växjö Municipality	1674	210.79	794.16	1884
Ingelsträde	Höganäs Municipality	241	37.20	647.85	3508
Innertavle	Umeå Municipality	582	53.95	1078.78	8210
Insjön	Leksand Municipality	2149	347.69	618.08	6596
Irsta	Västerås Municipality	2717	161.84	1678.82	6356
Johannedal	Sundsvall Municipality	2754	200.60	1372.88	7510
Johannesudd	Vallentuna Municipality	249	9.81	2538.23	202
Johannishus	Ronneby Municipality	748	95.92	779.82	2660
Johansfors	Emmaboda Municipality	409	113.70	359.72	2272
Jokkmokk	Jokkmokk Municipality	2786	359.07	775.89	8628
Jonsered	Partille Municipality	930	63.77	1458.37	4432
Jonslund	Essunga Municipality	293	57.25	511.79	5312
Jonstorp	Höganäs Municipality	1880	147.48	1274.75	3512
Jordbro	Haninge Municipality	10291	467.56	2201.00	200
Jukkasjärvi	Kiruna Municipality	548	144.46	379.34	8632
Jung	Vara Municipality	408	104.14	391.78	5316
Juniskär	Sundsvall Municipality	397	41.95	946.36	7506
Junosuando	Pajala Municipality	322	127.14	253.26	8636
Junsele	Sollefteå Municipality	895	250.95	356.64	7512
Juoksengi	Övertorneå Municipality	350	105.79	330.84	8640
Jursla	Norrköping Municipality	1692	125.88	1344.14	1120
Jäderfors	Sandviken Municipality	284	34.84	815.15	7140
Jädraås	Ockelbo Municipality	220	75.02	293.26	7144
Jämjö	Karlskrona Municipality	2578	252.18	1022.29	2664
Jämshög	Olofström Municipality	1494	162.34	920.29	2668
Jämtön	Luleå Municipality	237	86.37	274.40	8644
Järbo	Sandviken Municipality	1801	256.31	702.66	7148
Järlåsa	Uppsala Municipality	493	56.67	869.95	568
Järna	Södertälje Municipality	6377	393.19	1621.86	204
Järna	Vansbro Municipality	1413	317.98	444.37	6468
Järnforsen	Hultsfred Municipality	489	134.72	362.98	2276
Järpen	Åre Municipality	1408	217.14	648.43	7884
Järpås	Lidköping Municipality	795	100.09	794.29	5320
Järvsö	Ljusdal Municipality	1407	213.11	660.22	7152
Jättendal	Nordanstig Municipality	253	69.91	361.89	7154
Jävre	Piteå Municipality	576	181.17	317.93	8648
Jönköping	Jönköping Municipality	89396	4482.04	1994.54	1544
Jönåker	Nyköping Municipality	617	95.72	644.59	780
Jörlanda	Stenungsund Municipality	789	66.74	1182.20	4436
Jörn	Skellefteå Municipality	797	202.68	393.23	8212
Jössefors	Arvika Municipality	732	148.06	494.39	5700
Kalix	Kalix Municipality	7299	757.36	963.74	8656
Kallax	Luleå Municipality	321	85.70	374.56	8658
Kallinge	Ronneby Municipality	4561	485.46	939.52	2672
Kalmar	Kalmar Municipality	36392	1950.08	1866.18	2280
Kalvsund	Öckerö Municipality	221	18.39	1201.74	4434
Kangos	Pajala Municipality	252	146.63	171.86	8660
Karby	Vallentuna Municipality	865	45.91	1884.12	208
Kareby	Kungälv Municipality	292	27.25	1071.56	4438
Karesuando	Kiruna Municipality	303	93.49	324.10	8664
Karlholmsbruk	Tierp Municipality	1150	236.96	485.31	572
Karlsborg	Kalix Municipality	351	204.05	172.02	8668
Karlsborg	Karlsborg Municipality	3551	540.36	657.15	5324
Karlshamn	Karlshamn Municipality	19075	1347.72	1415.35	2676
Karlskoga	Karlskoga Municipality	27084	2732.53	991.17	6008
Karlskrona	Karlskrona Municipality	35212	2172.38	1620.90	2680
Karlstad	Karlstad Municipality	61685	3030.63	2035.39	5704
Karlsvik	Luleå Municipality	256	23.11	1107.75	8670
Karungi	Haparanda Municipality	232	123.17	188.36	8672
Karups sommarby	Sjöbo Municipality	344	76.53	449.50	2952
Kastlösa	Mörbylånga Municipality	201	90.69	221.63	2284
Katrinedal	Vänersborg Municipality	270	13.99	1929.95	4330
Katrineholm	Katrineholm Municipality	21993	1146.25	1918.69	784
Kattarp	Helsingborg Municipality	688	52.58	1308.48	3516
Kaxholmen	Jönköping Municipality	1458	87.40	1668.19	1548
Kebal	Strömstad Municipality	258	27.66	932.75	4439
Kil	Kil Municipality	7842	675.20	1161.43	5708
Kil	Nacka Municipality	731	75.66	966.16	212
Kilafors	Bollnäs Municipality	1126	162.38	693.44	7156
Killeberg	Osby Municipality	585	105.12	556.51	2956
Kilsmo	Örebro Municipality	263	50.00	526.00	6012
Kimstad	Norrköping Municipality	1510	143.87	1049.56	1128
Kinna	Mark Municipality	14776	1423.97	1037.66	4912
Kinnared	Hylte Municipality	287	90.96	315.52	3996
Kinnarp	Falköping Municipality	917	128.15	715.57	5328
Kinnarumma	Borås Municipality	253	40.50	624.69	4916
Kiruna	Kiruna Municipality	18148	1652.61	1098.14	8676
Kisa	Kinda Municipality	3687	402.69	915.59	1132
Kivik	Simrishamn Municipality	960	125.26	766.41	2960
Kjulaås	Eskilstuna Municipality	837	100.22	835.16	788
Klagstorp	Trelleborg Municipality	323	38.13	847.10	3528
Klevshult	Vaggeryd Municipality	264	56.42	467.92	1552
Klingsta och Allsta	Sundsvall Municipality	342	68.07	502.42	7402
Klintehamn	Gotland Municipality	1363	212.09	642.65	2520
Klippan	Klippan Municipality	8116	500.12	1622.81	2964
Klippans bruk	Klippan Municipality	314	43.56	720.84	2968
Klockestrand	Kramfors Municipality	315	101.96	308.94	7516
Klockrike	Motala Municipality	272	51.60	527.13	1136
Klädesholmen	Tjörn Municipality	385	28.84	1334.95	4440
Kläppa	Kungsbacka Municipality	318	26.21	1213.28	3998
Klässbol	Arvika Municipality	293	58.40	501.71	5712
Klågerup	Svedala Municipality	1904	106.93	1780.60	3532
Klöverträsk	Luleå Municipality	246	66.52	369.81	8680
Klövsjö	Berg Municipality	291	221.58	131.33	7886
Knislinge	Östra Göinge Municipality	3030	273.05	1109.69	2972
Knivsta	Knivsta Municipality	7081	420.65	1683.35	576
Knutby	Uppsala Municipality	564	54.87	1027.88	580
Knäred	Laholm Municipality	1088	225.83	481.78	4000
Kode	Kungälv Municipality	1380	127.25	1084.48	4444
Kolbäck	Hallstahammar Municipality	1951	221.80	879.62	6244
Kolsva	Köping Municipality	2453	325.49	753.63	6248
Konga	Tingsryd Municipality	476	106.17	448.34	1892
Kopparberg	Ljusnarsberg Municipality	3016	672.78	448.29	6016
Kopparmora	Värmdö Municipality	631	82.08	768.76	214
Koppom	Eda Municipality	643	203.00	316.75	5716
Korpilombolo	Pajala Municipality	529	125.13	422.76	8688
Korsberga	Hjo Municipality	214	38.92	549.85	5332
Korsberga	Vetlanda Municipality	694	118.82	584.08	1752
Korsträsk	Älvsbyn Municipality	323	72.86	443.32	8692
Koskullskulle	Gällivare Municipality	874	277.92	314.48	8694
Kosta	Lessebo Municipality	884	161.73	546.59	1896
Kovland	Sundsvall Municipality	486	47.69	1019.08	7520
Kramfors	Kramfors Municipality	5990	733.85	816.24	7524
Kristdala	Oskarshamn Municipality	945	140.49	672.65	2288
Kristianstad	Kristianstad Municipality	35711	1768.62	2019.14	2980
Kristineberg	Lycksele Municipality	257	104.29	246.43	8220
Kristinehamn	Kristinehamn Municipality	17839	1335.83	1335.42	5720
Kristvallabrunn	Nybro Municipality	246	60.11	409.25	2292
Krokek	Norrköping Municipality	4285	424.49	1009.45	1140
Krokom	Krokom Municipality	2277	262.86	866.24	7888
Krägga	Håbo Municipality	331	65.50	505.34	584
Kulltorp	Gnosjö Municipality	334	74.77	446.70	1556
Kullö	Vaxholm Municipality	889	27.62	3218.68	222
Kumla kyrkby	Sala Municipality	206	55.39	371.91	6252
Kumla	Kumla Municipality	14062	778.70	1805.83	6020
Kummelnäs	Nacka Municipality	3848	530.09	725.91	216
Kungsbacka	Kungsbacka Municipality	19057	1002.57	1900.81	4008
Kungsberga	Ekerö Municipality	406	51.65	786.06	218
Kungsgården	Sandviken Municipality	1033	215.52	479.31	7168
Kungshamn	Sotenäs Municipality	2814	208.37	1350.48	4448
Kungshult	Eslöv Municipality	354	32.52	1088.56	3540
Kungsängen	Upplands-Bro Municipality	9382	362.57	2587.64	220
Kungsäter	Varberg Municipality	353	71.88	491.10	4012
Kungsör	Kungsör Municipality	5452	471.33	1156.73	6256
Kungälv	Kungälv Municipality	22768	1152.33	1975.82	4452
Kurland	Trelleborg Municipality	507	38.66	1311.43	3538
Kusmark	Skellefteå Municipality	441	114.86	383.95	8224
Kuttainen	Kiruna Municipality	333	59.73	557.51	8704
Kvibille	Halmstad Municipality	925	86.45	1069.98	4016
Kvicksund	Västerås Municipality Eskilstuna Municipality	1768	311.26	568.01	792
Kvidinge	Åstorp Municipality	1854	153.06	1211.29	2984
Kvillsfors	Vetlanda Municipality Hultsfred Municipality	500	94.76	527.65	1560
Kvisljungeby	Gothenburg Municipality	639	44.19	1446.03	4456
Kvissleby	Sundsvall Municipality	2614	189.24	1381.31	7532
Kvänum	Vara Municipality	1277	160.40	796.13	5336
Kvärlöv	Landskrona Municipality	226	36.49	619.35	3542
Kyrkheddinge	Staffanstorp Municipality	276	38.53	716.32	3543
Kyrkhult	Olofström Municipality	937	116.91	801.47	2684
Kyrksten	Storfors Municipality	258	30.46	847.01	5722
Kälarne	Bräcke Municipality	451	144.61	311.87	7896
Källby	Götene Municipality	1586	135.82	1167.72	5340
Källö-Knippla	Öckerö Municipality	369	28.92	1275.93	4476
Kärda	Värnamo Municipality	320	37.35	856.76	1564
Kärna	Kungälv Municipality	430	45.20	951.33	4480
Kärsta och Bredsdal	Västerås Municipality Enköping Municipality	261	27.24	958.15	6266
Kättilsmåla	Karlskrona Municipality	253	36.45	694.10	2686
Kättilstorp	Falköping Municipality	253	44.33	570.72	5344
Kävlinge	Kävlinge Municipality	9049	468.47	1931.61	3552
Kåge	Skellefteå Municipality	2248	247.35	908.83	8228
Kågeröd	Svalöv Municipality	1446	161.12	897.47	3544
Kåhög	Partille Municipality	832	47.94	1735.50	4464
Kållekärr	Tjörn Municipality	560	53.86	1039.73	4468
Kållered	Mölndal Municipality	7456	479.82	1553.92	4472
Kånna	Ljungby Municipality	352	42.78	822.81	1900
Kårsta	Vallentuna Municipality	457	44.45	1028.12	224
Köping	Köping Municipality	17743	1185.89	1496.18	6268
Köpingebro	Ystad Municipality	1134	98.16	1155.26	3556
Köpingsvik	Borgholm Municipality	599	118.17	506.90	2296
Köpmanholmen	Örnsköldsvik Municipality	1237	251.36	492.12	7540
Lagan	Ljungby Municipality	1744	272.95	638.94	1904
Laholm	Laholm Municipality	6150	465.75	1320.45	4028
Lammhult	Växjö Municipality	1459	225.33	647.49	1908
Landeryd	Hylte Municipality	367	79.74	460.25	4032
Landfjärden	Nynäshamn Municipality	241	109.93	219.23	226
Landsbro	Vetlanda Municipality	1426	185.41	769.11	1568
Landskrona	Landskrona Municipality	30499	1208.50	2523.71	3560
Landvetter	Härryda Municipality	7152	540.19	1323.98	4484
Lanesund och Överby	Uddevalla Municipality	347	65.15	532.62	4482
Lanna	Lekeberg Municipality Örebro Municipality	537	111.36	482.22	6028
Lanna	Värnamo Municipality Gnosjö Municipality	329	83.15	395.67	1572
Latorpsbruk	Örebro Municipality	597	84.82	703.84	6032
Laxvik	Halmstad Municipality	475	55.24	859.88	4034
Laxå	Laxå Municipality	3064	453.58	675.51	6036
Lekeryd	Jönköping Municipality	817	69.95	1167.98	1576
Leksand	Leksand Municipality	5934	779.38	761.37	6608
Lenhovda	Uppvidinge Municipality	1744	232.76	749.27	1912
Lerdala	Skövde Municipality	409	63.22	646.95	5348
Lerkil	Kungsbacka Municipality	505	138.69	364.12	4038
Lerum	Lerum Municipality	16855	1426.87	1181.26	4920
Lesjöfors	Filipstad Municipality	1062	245.04	433.40	5732
Lessebo	Lessebo Municipality	2737	339.83	805.40	1916
Liatorp	Älmhult Municipality	555	85.30	650.64	1920
Lidatorp och Klövsta	Nynäshamn Municipality	340	34.29	991.54	254
Liden	Sundsvall Municipality	254	64.78	392.10	7548
Lidhult	Ljungby Municipality	611	109.32	558.91	1924
Lidingö	Lidingö Municipality	31561	1250.51	2523.85	228
Lidköping	Lidköping Municipality	25644	1552.14	1652.17	5352
Lilla Edet	Lilla Edet Municipality	4862	425.93	1141.50	4924
Lilla Harrie	Kävlinge Municipality	371	40.83	908.65	3568
Lilla Stenby	Ekerö Municipality	244	25.32	963.67	230
Lilla Tjärby	Laholm Municipality	914	79.73	1146.37	4036
Lillhaga	Ljusdal Municipality	379	45.66	830.05	7178
Lillhärdal	Härjedalen Municipality	335	114.46	292.68	7904
Lillkyrka	Enköping Municipality	301	35.08	858.04	588
Lillpite	Piteå Municipality	429	165.76	258.81	8720
Lima	Malung-Sälen Municipality	398	215.80	184.43	6612
Limedsforsen	Malung-Sälen Municipality	441	316.54	139.32	6616
Limmared	Tranemo Municipality	1412	146.20	965.80	4928
Linderöd	Kristianstad Municipality	404	75.84	532.70	2988
Lindesberg	Lindesberg Municipality	9149	782.19	1169.66	6040
Lindholmen	Vallentuna Municipality	860	70.99	1211.44	232
Lindome	Mölndal Municipality	11037	729.06	1513.87	4488
Lindsdal	Kalmar Municipality	5510	359.08	1534.48	2300
Lindö	Norrköping Municipality	4915	319.86	1536.61	1144
Lingbo	Ockelbo Municipality	429	250.61	171.18	7180
Linghed	Falun Municipality	618	209.76	294.62	6620
Linghem	Linköping Municipality	2804	174.62	1605.77	1148
Linköping	Linköping Municipality	104232	4215.68	2472.48	1152
Linneryd	Tingsryd Municipality	488	120.10	406.33	1932
Listerby	Ronneby Municipality	883	131.51	671.43	2688
Lit	Östersund Municipality	1040	125.01	831.93	7908
Ljugarn	Gotland Municipality	238	155.88	152.68	2524
Ljung	Herrljunga Municipality	734	86.41	849.44	4932
Ljunga	Norrköping Municipality	688	68.41	1005.70	1156
Ljungaverk	Ånge Municipality	885	283.05	312.67	7552
Ljungby	Ljungby Municipality	15205	1193.49	1273.99	1936
Ljungbyhed	Klippan Municipality	2046	296.89	689.14	2992
Ljungbyholm	Kalmar Municipality	1604	171.92	932.99	2304
Ljunghusen	Vellinge Municipality	2555	381.39	669.92	3572
Ljungsarp	Tranemo Municipality	203	40.46	501.73	4936
Ljungsbro	Linköping Municipality	6620	420.91	1572.78	1160
Ljungskile	Uddevalla Municipality	3375	360.14	937.14	4492
Ljungstorp och Jägersbo	Höör Municipality	401	60.90	658.46	3574
Ljusdal	Ljusdal Municipality	6230	529.02	1177.65	7184
Ljusfallshammar	Finspång Municipality	327	65.47	499.47	1164
Ljusne	Söderhamn Municipality	1917	395.15	485.13	7188
Loftahammar	Västervik Municipality	404	85.52	472.40	2308
Lomma	Lomma Municipality	10837	481.99	2248.39	3576
Los	Ljusdal Municipality	387	160.73	240.78	7192
Lotorp	Finspång Municipality	701	95.91	730.89	1168
Lottefors	Bollnäs Municipality	392	137.44	285.22	7196
Lucksta	Sundsvall Municipality	346	35.65	970.55	7560
Ludvigsborg	Hörby Municipality	1041	149.02	698.56	3580
Ludvika	Ludvika Municipality Smedjebacken Municipality	14498	1099.63	1318.44	6624
Lugnet och Skälsmara	Värmdö Municipality	625	198.77	314.43	314
Lugnås	Mariestad Municipality	653	90.06	725.07	5356
Luleå	Luleå Municipality	46607	2908.97	1602.18	8724
Lund	Gävle Municipality	444	112.70	393.97	7198
Lund	Lund Municipality	82800	2575.03	3215.50	3584
Lunde	Kramfors Municipality	399	136.62	292.05	7568
Lundsbrunn	Götene Municipality	887	123.73	716.88	5360
Lungvik	Kramfors Municipality	349	125.83	277.36	7564
Lunnarp	Tomelilla Municipality	339	46.21	733.61	2996
Lurudden	Ekerö Municipality	205	44.45	461.19	246
Lycksele	Lycksele Municipality	8513	852.64	998.43	8232
Lyrestad	Mariestad Municipality	479	59.66	802.88	5364
Lysekil	Lysekil Municipality	7628	375.43	2031.80	4496
Lysvik	Sunne Municipality	341	80.96	421.20	5744
