Name	Country	Seasons	Championship Titles	Race entries (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Massimiliano Papis Category:Articles with hCards	Italy	1993 – 1994	0	17	1	1	1	0	19
Andrej Pavicevic Category:Articles with hCards	Australia	1999	0	10 (4)	0	0	0	0	0
Oscar Pedersoli Category:Articles with hCards	Italy	1986	0	1 (0)	0	0	0	0	0
Luis Pérez-Sala Category:Articles with hCards	Spain	1986 – 1987	0	22 (21)	2	4	6	2	57.5
Christian Pescatori Category:Articles with hCards	Italy	1994 – 1996	0	26	0	0	1	1	13
Andrea Piccini Category:Articles with hCards	Italy	1999 – 2001	0	32 (27)	0	0	0	0	6
Alessandro Piccolo Category:Articles with hCards	Italy	2003	0	4 (3)	0	0	0	0	0
Emanuele Pirro Category:Articles with hCards	Italy	1985 – 1986	0	22	4	4	9	3	70
Antônio Pizzonia Category:Articles with hCards	Brazil	2001 – 2002	0	24	1	1	3	1	40
Fernando Plata Category:Articles with hCards	Mexico	1991	0	5 (0)	0	0	0	0	0
Jérôme Policand Category:Articles with hCards	France	1992 – 1995	0	34	0	0	1	0	11
Stéphane Proulx Category:Articles with hCards	Canada	1989 – 1990	0	21	0	0	0	1	2
Luca Rangoni Category:Articles with hCards	Italy	1996	0	1	0	0	0	0	1
Laurent Redon Category:Articles with hCards	France	1996 – 1997	0	20	0	0	1	0	17
Gareth Rees Category:Articles with hCards	United Kingdom	1995 , 1997 – 1998	0	26 (25)	0	0	1	0	14
Otto Rensing Category:Articles with hCards	Germany	1990	0	1 (0)	0	0	0	0	0
Rodrigo Ribeiro Category:Articles with hCards	Brazil	2004	0	4	0	0	0	0	1
Steve Robertson Category:Articles with hCards	United Kingdom	1992	0	9 (7)	0	0	0	0	0
Gonzalo Rodríguez Category:Articles with hCards	Uruguay	1997 – 1999	0	29 (27)	0	3	7	4	60.5
Marzio Romano Category:Articles with hCards	Switzerland	1986 – 1987	0	2 (0)	0	0	0	0	0
Carl Rosenblad Category:Articles with hCards	Sweden	1996	0	10 (9)	0	0	0	0	0
Ricardo Rosset Category:Articles with hCards	Brazil	1995	0	8	1	2	3	2	29
Marc Rostan Category:Articles with hCards	France	1994 – 1996	0	6	0	0	0	0	0
Paolo Ruberti Category:Articles with hCards	Italy	1998 – 1999	0	16 (14)	0	0	0	0	0
Michele Rugolo Category:Articles with hCards	Italy	2004	0	1	0	0	0	0	0
Rickard Rydell Category:Articles with hCards	Sweden	1989	0	1	0	0	0	0	0
David Saelens Category:Articles with hCards	Belgium	1999 – 2002	0	35 (30)	2	0	4	0	33
Eliseo Salazar Category:Articles with hCards	Chile	1986 – 1987	0	20 (14)	0	0	0	1	1.5
Maurizio Sandro Sala Category:Articles with hCards	Brazil	1988	0	1	0	0	0	0	0
Bernard Santel Category:Articles with hCards	Switzerland	1986	0	1	0	0	0	0	0
Alessandro Santin Category:Articles with hCards	Italy	1985 – 1988	0	21 (20)	0	0	0	0	1.5
Stéphane Sarrazin Category:Articles with hCards	France	1998 – 2001	0	29	1	2	5	3	48
Cyrille Sauvage Category:Articles with hCards	France	1996 – 1999	0	34 (32)	0	0	0	0	8
Franco Scapini Category:Articles with hCards	Italy	1986 , 1988 – 1989	0	19 (7)	0	0	0	0	0
Valerio Scassellati Category:Articles with hCards	Italy	2003	0	4	0	0	0	0	0
Dave Scott Category:Articles with hCards	United Kingdom	1986	0	1 (0)	0	0	0	0	0
Tomas Scheckter Category:Articles with hCards	South Africa	2000 – 2001	0	5 (4)	0	0	1	0	6
Andreas Scheld Category:Articles with hCards	Germany	2000	0	9 (5)	0	0	0	0	0
Thomas Schie Category:Articles with hCards	Norway	1997	0	10 (5)	0	0	0	0	0
Tony Schmidt Category:Articles with hCards	Germany	2002 – 2004	0	31	0	0	0	0	25
Yannick Schroeder Category:Articles with hCards	France	2003 – 2004	0	16	0	0	1	0	26
Dominik Schwager Category:Articles with hCards	Germany	1998	0	12 (11)	0	0	0	0	3
Mark Shaw Category:Articles with hCards	United Kingdom	1998	0	12 (10)	0	0	0	0	0
Norman Simon Category:Articles with hCards	Germany	1999	0	9 (5)	0	0	0	0	0
Gianpiero Simoni Category:Articles with hCards	Italy	1992 – 1993	0	14	0	0	0	0	2
Mark Skaife Category:Articles with hCards	Australia	1992	0	2	0	0	0	0	0
Brian Smith Category:Articles with hCards	Argentina	1998 – 1999	0	10 (8)	0	0	0	0	0
Vincenzo Sospiri Category:Articles with hCards	Italy	1990 – 1991 , 1993 – 1995	1 ( 1995 )	37 (35)	0	3	10	1	91
Emiliano Spataro Category:Articles with hCards	Argentina	1997	0	9 (6)	0	0	0	0	0
Russell Spence Category:Articles with hCards	United Kingdom	1986 – 1988	0	33 (26)	0	0	2	0	10.5
Alexandre Sperafico Category:Articles with hCards	Brazil	2002	0	9	0	0	0	0	0
Ricardo Sperafico Category:Articles with hCards	Brazil	2001 – 2003	0	34	4	3	12	2	89
Rodrigo Sperafico Category:Articles with hCards	Brazil	2001 – 2002	0	22	0	1	3	0	20
Paul Stewart Category:Articles with hCards	United Kingdom	1991 – 1993	0	29 (26)	0	0	1	0	13
Robbie Stirling Category:Articles with hCards	Canada	1994	0	1	0	0	0	0	0
Philippe Streiff Category:Articles with hCards	France	1985	0	11	0	0	1	0	12
Aguri Suzuki Category:Articles with hCards	Japan	1988	0	3 (2)	0	0	0	0	0
Franco Tacchino Category:Articles with hCards	Italy	1986	0	7 (2)	0	0	0	0	0
Antonio Tamburini Category:Articles with hCards	Italy	1990 – 1991 , 1993	0	24 (23)	0	1	2	1	28
Gabriele Tarquini Category:Articles with hCards	Italy	1985 – 1987	0	32 (31)	0	0	4	1	33
Marcel Tarrès Category:Articles with hCards	France	1986	0	1 (0)	0	0	0	0	0
Thierry Tassin Category:Articles with hCards	Belgium	1985 – 1987	0	10	0	0	0	1	1
James Taylor Category:Articles with hCards	United Kingdom	1994 – 1998	0	23 (16)	0	0	0	0	0
Wayne Taylor Category:Articles with hCards	South Africa	1986	0	1	0	0	0	0	0
Felice Tedeschi Category:Articles with hCards	Italy	1991	0	8 (5)	0	0	0	0	0
Nicola Tesini Category:Articles with hCards	Italy	1986 – 1987	0	4 (0)	0	0	0	0	0
David Terrien Category:Articles with hCards	France	1998	0	10 (6)	0	0	0	0	0
Mike Thackwell Category:Articles with hCards	New Zealand	1985 – 1986 , 1988	0	16	5	4	7	4	55.5
Oliver Tichy Category:Articles with hCards	Austria	1996 – 1998	0	25 (24)	0	0	3	0	19
Olivier Tielemans Category:Articles with hCards	Netherlands	2004	0	5	0	0	0	0	0
Christophe Tinseau Category:Articles with hCards	France	1995 – 1996	0	18	0	1	2	0	19
Enrico Toccacelo Category:Articles with hCards	Italy	2001 – 2004	0	36	1	3	10	1	100
Michel Trollé Category:Articles with hCards	France	1987 – 1988	0	18 (17)	0	1	3	2	25.5
Esteban Tuero Category:Articles with hCards	Argentina	1996	0	6	0	0	0	0	0
Eric van de Poele Category:Articles with hCards	Belgium	1989 – 1990	0	21	0	3	5	0	49
Alan van der Merwe Category:Articles with hCards	South Africa	2004	0	7	0	0	0	0	2
Mikke van Hool Category:Articles with hCards	Belgium	1994 – 1995	0	16 (14)	0	0	0	0	0
Jeffrey van Hooydonk Category:Articles with hCards	Belgium	1999 – 2000 , 2003 – 2004	0	36 (33)	1	0	0	0	23
Fabiano Vandone Category:Articles with hCards	Italy	1991 – 1992	0	14 (6)	0	0	0	0	0
Gabriele Varano Category:Articles with hCards	Italy	2001	0	5	0	0	0	0	0
David Velay Category:Articles with hCards	France	1989 , 1991	0	2	0	0	0	0	0
Nico Verdonck Category:Articles with hCards	Belgium	2004	0	10	0	0	0	0	1
Polo Villaamil Category:Articles with hCards	Spain	1998 – 1999	0	12 (3)	0	0	0	0	0
Jacques Villeneuve Category:Articles with hCards	Canada	1987	0	1 (0)	0	0	0	0	0
Giorgio Vinella Category:Articles with hCards	Italy	1998	0	11 (7)	0	0	0	0	0
Ernesto Viso Category:Articles with hCards	Venezuela	2004	0	6	0	0	0	0	7
Walter Voulaz Category:Articles with hCards	Italy	1988	0	1 (0)	0	0	0	0	0
Fermín Vélez Category:Articles with hCards	Spain	1988	0	8 (4)	0	0	0	0	0
Fabrice Walfisch Category:Articles with hCards	France	1998 – 2000	0	29 (24)	1	0	1	0	4
Andy Wallace Category:Articles with hCards	United Kingdom	1987 – 1988	0	20 (18)	0	0	0	0	4.5
Mario Waltner Category:Articles with hCards	Austria	1997	0	2 (0)	0	0	0	0	0
Paul Warwick Category:Articles with hCards	United Kingdom	1990	0	4 (3)	0	0	0	0	0
Stephen Watson Category:Articles with hCards	South Africa	1995 – 1997	0	28 (27)	0	0	0	0	2
Jason Watt Category:Articles with hCards	Denmark	1997 – 1999	0	32 (31)	2	4	11	0	85
James Weaver Category:Articles with hCards	United Kingdom	1985 – 1986 , 1988	0	6 (4)	0	0	0	0	0
Mark Webber Category:Articles with hCards	Australia	2000 – 2001	0	22	2	4	7	5	60
Volker Weidler Category:Articles with hCards	West Germany	1986 , 1988	0	18 (14)	0	0	0	0	5
Karl Wendlinger Category:Articles with hCards	Austria	1990 – 1991	0	14 (11)	0	0	1	0	8
Justin Wilson Category:Articles with hCards	United Kingdom	1999 – 2001	1 ( 2001 )	32	2	3	12	1	89
Max Wilson Category:Articles with hCards	Brazil	1997 – 1999	0	31 (30)	2	0	7	0	44
Björn Wirdheim Category:Articles with hCards	Sweden	2002 – 2003	1 ( 2003 )	22	6	4	12	7	107
Pascal Witmeur Category:Articles with hCards	Belgium	1991	0	1 (0)	0	0	0	0	0
Alex Yoong Category:Articles with hCards	Malaysia	1999	0	4 (2)	0	0	0	0	0
Peter Zakowski Category:Articles with hCards	Germany	1991	0	3 (2)	0	0	0	0	0
Alessandro Zampedri Category:Articles with hCards	Italy	1992 – 1993	0	19 (18)	0	0	1	0	8
Alessandro Zanardi Category:Articles with hCards	Italy	1989 , 1991	0	11	3	2	6	3	42
Vittorio Zoboli Category:Articles with hCards	Italy	1990 – 1993	0	22 (17)	0	0	0	0	3
